Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,4336,001,2,2,,2,2,1,1,5,,,,,,,7,,0,"Bowen, Richard M","Wilson, Ravin M",,,,
ACCT,4337,001,,5,,1,5,,1,2,,,,,,,5,,0,"Richards, James R",,,,,
ACCT,4340,001,16,12,10,6,3,3,,,2,,,,,,3,1,1,"Johnson, Jennifer","Nunez, Belinda A",,,,
ACCT,4342,001,6,1,12,11,6,4,,1,2,,,,,,14,1,0,"Johnson, Jennifer","Nunez, Belinda A",,,,
ACCT,4342,501,1,2,4,5,6,3,1,1,1,1,,,,,3,,0,"Johnson, Jennifer","Nunez, Belinda A",,,,
ACCT,4342,PP1,5,8,3,9,2,,,,,,,,,,,,0,"Johnson, Jennifer","Hoang, Quynh M",,,,
ACCT,4342,PP2,6,9,4,5,,,,,,,,,,,10,,0,"Johnson, Jennifer","Hoang, Quynh M",,,,
ACCT,6193,SS1,,58,,,24,,,2,,,,,1,7,,,1,"Betanzos, Christina L",,,,,
ACCT,6202,501,,8,7,9,5,1,,,,,,,,22,,,0,"Natarajan, Ramachandran","Tatiparti, Venu Madhav",,,,
ACCT,6202,CH1,,12,,,,,,,,,,,,,,,0,"Sadka, Gil","Zhang, Yang",,,,
ACCT,6202,GW1,,31,,,,,,,,,,,,1,,,0,"Sadka, Gil","Zhang, Yang",,,,
ACCT,6202,MBC,,23,9,9,2,,,,,,,,,6,,,0,"Natarajan, Ramachandran","Tatiparti, Venu Madhav",,,,
ACCT,6202,MBP,,8,6,4,4,,,,,,,,,19,,,0,"Natarajan, Ramachandran","Tatiparti, Venu Madhav",,,,
ACCT,6202,XS1,,34,,,,,,,,,,,,2,,,0,"Sadka, Gil","Zhang, Yang",,,,
ACCT,6291,SS1,,81,,,13,,,,,,,,,,,,3,"Zolton, Kathy",,,,,
ACCT,6292,SS1,,78,,,7,,,3,,,,,,5,,,0,"Linsteadt, Chris C",,,,,
ACCT,6301,0W1,,20,10,3,5,,,,,,,,,8,,,4,"Ali, Ashiq","Li, Chenchen",,,,
ACCT,6301,501,,11,8,6,2,1,1,1,,,,,,10,,,1,"Hes, Christopher A","Lietha, Cassidy R",,,,
ACCT,6305,001,,33,,16,,,,,,,,,,2,,,0,"Loumioti, Maria",,,,,
ACCT,6305,002,,34,,9,,,,,,,,,,4,,,0,"Loumioti, Maria",,,,,
ACCT,6305,0W1,,5,14,4,2,2,,,,,,,,7,,,0,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,
ACCT,6305,501,,34,1,11,,,,,,,,,,3,,,1,"Loumioti, Maria",,,,,
ACCT,6320,0W1,,4,2,,3,,,,,,,,2,3,,,0,"Cavusoglu, Huseyin","Tunc, Murat M",,,,
ACCT,6330,501,,11,,,11,,,2,,,,,1,3,,,2,"Cready, William M","Gencer, Nur Pinar",,,,
ACCT,6331,501,,2,1,3,2,2,,,,,,,,1,,,2,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,
ACCT,6332,501,,13,,,10,,,,,,,,,8,,,2,"Zolton, Kathy","Thompson, Colby S",,,,
ACCT,6332,SS1,,5,3,4,2,1,1,,,,,,,1,,,0,"Zhang, Jieying","Gu, Dongdi",,,,
ACCT,6333,001,,7,,,7,,,1,,,,,,11,,,0,"Zolton, Kathy","Thompson, Colby S",,,,
ACCT,6333,0W1,,10,,,9,,,1,,,,,,9,,,0,"Zolton, Kathy","Thompson, Colby S",,,,
ACCT,6334,501,,11,,,7,,,,,,,,,,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,6334,SS1,,10,,,5,,,1,,,,,,1,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,6335,0W1,,11,11,7,19,3,,7,,,,,1,,,,1,"Bortz, Tiffany A","Lietha, Cassidy R",,,,
ACCT,6335,PP1,,11,5,3,7,,,,,,,,,,,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,
ACCT,6335,PP2,,11,9,2,6,,,,,,,,,11,,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,
ACCT,6336,501,,14,4,3,2,,,,,,,,,8,,,1,"Mauriello, Joseph A","Truong, Timothy T",,,,
ACCT,6338,501,,16,1,2,3,,,,,,,,,8,,,0,"Goodrich, Mary Beth W","Ajayi, Olamiposi O",,,,
ACCT,6343,0W1,,3,8,2,,,,,,,,,,5,,,0,"Johnson, Jennifer","Nunez, Belinda A",,,,
ACCT,6344,0W1,,13,11,7,2,,,,,,,,,14,,,2,"Gurun, Umit","Gencer, Nur Pinar",,,,
ACCT,6344,501,,15,5,2,2,,1,,,,,,,8,,,0,"Bowen, Richard M","Wilson, Ravin M",,,,
ACCT,6350,501,,9,6,2,,,,,,,,,,2,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,
ACCT,6353,502,,39,2,1,,,,,,,,,,10,,,0,"Gamino, John P",,,,,
ACCT,6353,PP1,,3,9,13,,1,,,,,,,,,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,
ACCT,6353,PP2,,6,13,6,,,,,,,,,,13,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,
ACCT,6353,SS1,,8,6,1,,,,,,,,,,2,,,0,"Solcher, Steven J","Pardiwalla, Arish K",,,,
ACCT,6367,501,,11,2,1,1,,1,1,,,,,,2,,,0,"Gamino, John P",,,,,
ACCT,6377,501,,12,6,,,,,,,,,,,2,,,0,"McCuistion, Dennis",,,,,
ACCT,6380,501,,11,4,2,1,,,,,,,,1,5,,,0,"Mauriello, Joseph A","Sauer, Ashlyn M",,,,
ACCT,6382,001,,5,4,2,1,,,,,,,,,1,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
ACCT,6383,501,,7,1,4,4,1,,1,,,,,,5,,,0,"Bracy, Dana","Thompson, Colby S",,,,
ACCT,6384,501,,27,9,,,,,,,,,,1,5,,,1,"Kromer, Jeffrey","Hoang, Quynh M",,,,
ACCT,6388,501,,24,4,,,,,,,,,,,2,,,0,"Goodrich, Mary Beth W","Ajayi, Olamiposi O",,,,
ACN,5314,501,,26,1,,,,,,,,,,,,,,0,"Golden, Richard","Ryland, James W",,,,
ACN,6312,001,,7,2,2,,,,2,,,,,,2,,,0,"Juhn, Nancy H","Austin, Kathryn A","Meldrum, Shelia",,,
ACN,6313,001,,6,2,1,1,1,,,,,,,,,,,0,"Juhn, Nancy H","Austin, Kathryn A","Meldrum, Shelia",,,
ACN,6333,001,,4,,,3,2,,,,,,,,1,,,0,"Basak, Chandramallika",,,,,
ACN,6334,001,,28,,,2,,,,,,,,,,,,0,"Dowling, Walter J",,,,,
ACN,6337,001,,6,4,,,,,,,,,,,3,,,0,"Brown, Matthew",,,,,
ACN,6338,001,,22,,,14,,,,,,,,,3,,,0,"Kennedy, Kristen M","Miranda, Giuseppe G",,,,
ACN,6342,0W1,,25,,,,,,1,,,,,,2,,,0,"Orrick, Erika D",,,,,
ACN,6346,001,,13,,,2,,,,,,,,,3,,,0,"Sultana, Rukhsana",,,,,
ACN,6372,501,,23,,,,,,,,,,,,,,,0,"Dussor, Gregory O",,,,,
ACN,6374,001,,12,2,,,,,,,,,,,,,,0,"Jahangiri, Faisal R",,,,,
ACN,6395,001,,7,,,9,,,2,,,,,1,3,,,1,"Wig, Gagandeep S",,,,,
ACN,7343,001,,12,3,3,5,,,,,,,,,3,,,0,"Thompson, Lucien",,,,,
ACTS,4301,001,11,,2,5,2,1,2,,1,1,,,,,5,,0,"Makhijani, Neha","Guo, Qi",,,,
ACTS,4302,001,3,5,5,6,7,1,3,2,1,1,,,,,8,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,6302,501,,5,1,1,1,2,,,,,,,1,1,,,0,"Makhijani, Neha",,,,,
ACTS,6308,001,,7,1,,1,1,,1,,,,,1,2,,,0,"Makhijani, Neha",,,,,
AHST,1303,001,15,12,11,18,15,8,2,,,1,2,,3,,13,5,6,"Marcus, Diana","Mei, Kehan",,,,
AHST,1303,002,10,11,8,5,7,5,5,3,4,2,1,1,2,,12,6,4,"Marcus, Diana","Dunbar, Amanda R",,,,
AHST,2331,001,3,27,11,7,11,1,2,1,5,,1,1,5,,23,6,9,"Terranova, Charissa","Anderson, Linda K","Zawng, Ze","Koo, So Y",,
AHST,3320,001,8,10,12,2,4,3,,,1,,,,,,2,3,3,"Alibhai, Ali Asgar H",,,,,
AHST,3324,501,4,16,4,5,3,3,1,,1,,2,1,1,,1,,0,"Waligore, Marilyn A",,,,,
AMS,2300,001,7,17,10,6,4,2,2,2,,,,,,,3,3,0,"Pogue, Neall W",,,,,
AMS,2300,002,11,13,8,5,4,2,2,,1,,2,,3,,3,1,1,"Pogue, Neall W",,,,,
AMS,2300,HN1,,9,4,2,,,,,,,,,,,7,1,1,"Smith, Erin",,,,,
AMS,2341,001,,4,4,3,2,2,,,,,,,,,1,,0,"Naqvi, Syed K",,,,,
AMS,2341,002,,9,6,5,3,,,,,,,,,,7,,0,"Naqvi, Syed K",,,,,
AMS,2390,001,,2,5,,1,1,,,,,,,,,,1,0,"Naqvi, Syed K",,,,,
AMS,3302,001,,5,3,6,2,,,,,,,,,,6,,2,"Werhnyak, Larissa",,,,,
AMS,3316,0W1,19,6,3,2,1,1,,,1,,1,2,2,,2,,0,"Winstead, Elizabeth L",,,,,
AMS,3322,001,,12,10,6,8,3,,,,,,,1,,2,,0,"Naqvi, Syed K",,,,,
AMS,3350,0W1,20,5,2,2,1,1,,,,,,,3,,3,,1,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,6,3,2,,2,,2,1,,,,,1,,1,,1,"Ross, Alyssa N",,,,,
ARAB,1311,001,15,10,,,1,,,,,,,,,,2,,1,"Anjum, Zafar",,,,,
ARAB,1312,001,7,8,,,1,,,,,,,,,,1,,0,"Anjum, Zafar",,,,,
ARHM,2340,001,,8,2,1,2,,,1,,,2,,1,,1,1,4,"Grohman, Magdalena G",,,,,
ARHM,3342,002,1,12,4,2,6,,,,,,,,2,,6,,4,"Gossin, Pamela","Hairston, Marc R",,,,
ARHM,3342,003,11,6,3,,4,4,,,,1,,,1,,3,,2,"Valente, Sarah d","Gonzalez Corona, Pedro Jose","Roemer, Nils H",,,
ARHM,3342,502,,12,3,4,1,1,2,,,,1,,,,4,1,0,"Evans, Kathryn C",,,,,
ARTS,1301,001,28,45,3,7,6,,1,1,,,,1,2,,5,,1,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,
ARTS,1301,002,25,46,8,2,3,2,,2,1,,,1,,,5,5,0,"Grandjean, Kelly","Iftikhar, Shabnum",,,,
ARTS,1316,001,3,13,1,,,,,,,,,,,,,,1,"Min, Inki A","Ahn, Jung-Mo",,,,
ARTS,1316,002,,13,2,,,,,,,,,,,,3,,1,"Fridge, Brian D",,,,,
ARTS,1316,003,6,1,1,2,,,,,,,,,,,2,1,4,"Booker, Rebecca M",,,,,
ARTS,1316,004,1,4,5,1,,,1,,,,,,1,,4,,1,"Carter, Rebecca S",,,,,
ARTS,1316,005,4,3,1,,1,1,,,2,,,1,1,,3,,1,"Booker, Rebecca M",,,,,
ARTS,1316,006,3,3,8,,1,1,,,,,,,,,,1,0,"Ishii, Sara T",,,,,
ARTS,1316,501,,3,,6,5,,,,,,,,,,3,,0,"Lacy, Mary E",,,,,
ARTS,2315,001,2,2,1,,,,,,,,3,,2,,,1,0,"Durant, Stephanie D",,,,,
ARTS,2316,001,,3,4,,,1,,,,,,,,,2,1,2,"Ligon, Peter A",,,,,
ARTS,2316,501,6,9,2,,,,,,,,,,,,,1,1,"Egan, Trey T",,,,,
ARTS,2350,001,2,3,3,3,,,1,1,1,,,,,,2,2,1,"Copeland, Colette",,,,,
ARTS,2350,002,,1,8,3,,1,,,,,,,,,1,,2,"Palmer, Marcy A",,,,,
ARTS,2380,001,5,7,3,,,1,,,,,,,,,1,,1,"Egan, Trey T",,,,,
ARTS,2381,001,2,6,3,,,,,,,,,,,,3,,1,"Travis, Audrey",,,,,
ARTS,3311,001,1,,3,,,,,2,,,,,1,,3,,0,"Copeland, Colette",,,,,
ARTS,3315,001,7,3,1,,,1,,,1,,,,,,1,,1,"Curry, Val",,,,,
ARTS,3340,001,1,5,6,,1,,,1,,,,,,,1,,0,"Carter, Rebecca S",,,,,
ARTS,3341,001,,16,,,1,,,,,,,,,,1,,0,"Shi, Carle",,,,,
ARTS,3363,001,5,6,,1,2,,1,,1,,,,1,,1,,0,"Tady, Lorraine T",,,,,
ARTS,3367,001,,5,1,2,6,,,,,,,,,,3,,1,"Lacy, Mary E",,,,,
ARTS,3367,501,17,2,,,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,
ARTS,3368,001,,18,,,,,,,,,,,,,1,,0,"Lapthisophon, Stephen M",,,,,
ARTS,3369,001,,9,,,1,,,,,,,,,,1,,1,"Tady, Lorraine T",,,,,
ARTS,3371,001,3,1,2,2,1,,,,1,,,,4,,,1,0,"Miller, Cynthia M",,,,,
ARTS,3371,002,2,6,3,,1,1,,,,,,,1,,2,,1,"Durant, Stephanie D",,,,,
ARTS,3372,001,,2,8,2,1,,,,,,,,1,,3,,1,"Palmer, Marcy A",,,,,
ARTS,3372,501,,10,2,,1,,,,,,,,,,3,,0,"Loving, Emily",,,,,
ARTS,3373,001,6,5,,,1,,,,,,,,,,,,2,"Tady, Lorraine T",,,,,
ARTS,3377,501,,8,3,,1,,,,1,,,,3,,,1,0,"Martinez, Daniel R",,,,,
ARTS,3379,001,,13,,,,,,,,,,,,,2,1,2,"Loving, Emily",,,,,
ARTS,4310,501,3,2,,,2,1,,1,,,,,,,5,,1,"Metz, Greg L",,,,,
ARTS,4366,001,3,6,4,,2,,,1,,,,,,,,,0,"Travis, Audrey",,,,,
ARTS,4368,001,7,7,,,,,,,,,,,,,1,,0,"Pomara, John",,,,,
ATCM,1100,001,,6,2,,,,,1,,,,,2,,,,0,"Gutierrez, Alejandra",,,,,
ATCM,2300,001,25,44,28,7,10,3,1,,3,,3,,5,,6,2,5,"Cooley, Heidi","Adelman, David","Andic, Atanur","Rashid, Mohammed Mizanur","Irby, Cameron L","Ramakrishnan, Sharathchandra"
ATCM,2301,001,8,9,5,3,2,2,,,,,,,,,,,0,"Nielsen, Christina R","Nguyen, Tuoc K",,,,
ATCM,2301,002,5,7,3,2,5,1,,,1,,,,,,4,,2,"Nielsen, Christina R","Nguyen, Tuoc K",,,,
ATCM,2301,003,,19,,,4,,,1,,,,,,,3,,0,"Lester, Paul",,,,,
ATCM,2301,004,4,9,6,2,2,1,1,1,1,,,,,,,,2,"Veras de Souza, Christine","Enam, Victor J",,,,
ATCM,2301,005,6,9,9,,2,,2,,,,,,,,1,1,0,"Veras de Souza, Christine","Enam, Victor J",,,,
ATCM,2301,006,,10,8,2,2,,,1,,1,,,,,2,1,1,"Veras de Souza, Christine","Enam, Victor J",,,,
ATCM,2301,007,1,24,,2,,1,,1,,,,,,,,,0,"Stewart, Michael C",,,,,
ATCM,2301,501,4,10,4,1,3,3,,,,1,,,1,,,2,0,"Bernfeld, Luke S",,,,,
ATCM,2302,001,7,10,3,3,3,,1,,,1,,,1,,,,1,"Minnish, Roxanne W","Paiva Homsi, Murilo",,,,
ATCM,2302,002,5,11,7,,,1,,,1,,,,,,,,0,"Minnish, Roxanne W","Paiva Homsi, Murilo",,,,
ATCM,2302,003,1,4,6,3,3,,,1,,,1,,2,,,1,1,"Salter, Monika","Paiva Homsi, Murilo",,,,
ATCM,2302,004,6,9,2,4,2,1,1,1,,,,1,1,,,1,0,"Minnish, Roxanne W","Paiva Homsi, Murilo",,,,
ATCM,2302,005,4,11,4,,,,,1,2,,2,,,,,1,0,"Minnish, Roxanne W","Paiva Homsi, Murilo",,,,
ATCM,2302,006,11,6,2,2,1,1,,,,,1,,,,2,2,0,"Barr, Ivey B","Paiva Homsi, Murilo",,,,
ATCM,2302,503,5,5,3,3,2,,,2,,,,,4,,1,2,2,"Gonzalez, Isi J",,,,,
ATCM,2303,001,7,39,26,8,4,4,3,4,,,,1,1,,3,,0,"Oropallo, Kara I","Hoggatt, Zane C","Wilson, David N",,,
ATCM,2303,002,19,46,22,6,2,1,2,,,,,,,,1,,1,"Oropallo, Kara I","Wilson, David N","Hoggatt, Zane C",,,
ATCM,2310,001,17,24,17,12,11,3,6,1,3,,2,2,2,,3,4,7,"Salter, Monika","Caldwell, Bryon A","Lewis, Timothy M","Veras de Souza, Christine",,
ATCM,2320,001,,3,6,3,1,3,,,,,1,,2,,,1,1,"Imaoka, Laura",,,,,
ATCM,2321,001,3,10,2,8,1,,2,,,,2,,,,2,,0,"Sung, Wendy",,,,,
ATCM,2321,002,1,3,5,9,2,6,,1,,,,,,,3,,0,"Imaoka, Laura",,,,,
ATCM,2322,001,16,3,5,1,4,,1,,,,,,,,,,0,"Wu, Hong An","Whitlock, Kathryn",,,,
ATCM,2322,002,12,3,4,1,4,1,,,1,,,,,,2,,1,"Wu, Hong An","Whitlock, Kathryn",,,,
ATCM,2335,001,,20,,,1,,,,,,,,3,,1,1,4,"Stewart, Michael C",,,,,
ATCM,2335,501,11,4,,3,4,,,1,,,,,,,3,1,3,"Li, Mary A",,,,,
ATCM,2335,502,4,10,,2,2,,1,,,,2,,3,,4,1,1,"Li, Mary A",,,,,
ATCM,2335,503,6,5,8,1,,1,,,,,,,2,,3,3,1,"Starzer, Kenneth W",,,,,
ATCM,2335,504,1,2,7,7,3,4,,,,1,1,,1,,1,,1,"Chiu, Yu-Kwong",,,,,
ATCM,2345,001,2,5,,1,1,4,,2,1,1,3,,,,,,2,"Fitzgerald, Harold E",,,,,
ATCM,2345,002,,6,1,4,2,2,1,1,1,,,,2,,,2,2,"Fitzgerald, Harold E",,,,,
ATCM,2345,003,4,16,,4,,1,,1,,,,,,,2,,1,"Fitzgerald, Harold E",,,,,
ATCM,2355,001,2,4,,2,3,,3,1,,,,,,,,,2,"Scott, Andrew F","Monjoree, Uttamasha",,,,
ATCM,3301,001,,4,14,,1,,,,,,,,,,,,0,"Mulla, Ayesha",,,,,
ATCM,3301,002,,2,4,4,4,2,,,,,,,,,2,1,0,"Imaoka, Laura","Remington, William A",,,,
ATCM,3301,003,,3,5,4,2,,,2,,,,,1,,1,1,0,"Imaoka, Laura","Remington, William A",,,,
ATCM,3301,004,1,4,5,1,2,1,,1,,,,,2,,2,,0,"Ferreira de Souza, Leticia",,,,,
ATCM,3301,005,,12,5,,,1,,,,,,1,,,,,0,"Mulla, Ayesha",,,,,
ATCM,3301,501,3,5,6,1,1,,1,,1,,,,,,1,,1,"Field, Jamie M",,,,,
ATCM,3301,502,1,3,10,,2,,,,,,,,,,2,,0,"Landers, Sean M",,,,,
ATCM,3301,503,1,4,5,2,1,2,,,1,,,1,,,,,1,"Rheams, David C",,,,,
ATCM,3301,504,,3,4,2,4,2,1,,1,,,,,,1,,1,"Rheams, David C",,,,,
ATCM,3305,001,,6,13,6,1,,1,,,,,,,,1,,1,"Caldwell, Bryon A",,,,,
ATCM,3305,002,3,4,8,2,1,6,1,,,2,,,,,2,,1,"Caldwell, Bryon A",,,,,
ATCM,3306,001,3,13,2,4,1,1,1,,1,,,,,,1,2,1,"Fechter, Todd A",,,,,
ATCM,3306,002,1,2,6,6,3,3,2,,2,,,,,,,,5,"Salter, Monika",,,,,
ATCM,3306,003,9,2,3,6,1,3,,2,,,,1,1,,1,,1,"McCord, Peter A",,,,,
ATCM,3307,001,6,5,6,3,3,2,,1,,,,,1,,1,,2,"McCord, Peter A",,,,,
ATCM,3307,002,11,6,4,2,2,1,,,1,,,,,,,1,2,"McCord, Peter A",,,,,
ATCM,3307,003,,5,6,2,2,2,,,,1,,,,,1,1,0,"Lim, Fengjie",,,,,
ATCM,3308,001,,4,3,2,6,4,1,2,3,1,2,1,,,,,1,"Johnson, Casey A",,,,,
ATCM,3308,002,8,3,8,2,2,,,,1,1,,,,,2,,1,"Camacho, Christopher J",,,,,
ATCM,3309,001,,6,3,1,1,1,,,,,,,,,,,0,"McComber, Sean",,,,,
ATCM,3311,001,,8,3,4,3,4,1,2,,,,,,,2,,2,"Johnson, Casey A",,,,,
ATCM,3320,001,2,11,5,1,,1,,1,,,,,,,4,,0,"Llamas Rodriguez, Juan A",,,,,
ATCM,3321,001,1,17,7,2,1,,,,,,,,,,2,,0,"Banner, Olivia P",,,,,
ATCM,3330,001,11,10,1,3,1,1,,,,,1,,,,1,,1,"Nielsen, Christina R",,,,,
ATCM,3331,001,,10,1,2,,,,,,,,,,,8,,0,"Knight, Kim A","Alzate, Catalina",,,,
ATCM,3335,001,1,4,,1,1,,,,1,,1,,,,5,,3,"Kane, Simon A",,,,,
ATCM,3336,001,1,15,5,6,,,,,,,,,,,1,,0,"Fee, Robert",,,,,
ATCM,3336,002,,6,5,3,,,,,,,,,,,15,,0,"Fee, Robert",,,,,
ATCM,3337,001,6,12,7,3,2,,,,,,,,,,1,,0,"Nazir, Cassini",,,,,
ATCM,3337,002,8,7,3,1,4,,,,,,,,1,,4,1,1,"Wood, Harold G",,,,,
ATCM,3338,001,18,4,3,,2,1,,,,,,,,,1,,0,"Camacho, Christopher J",,,,,
ATCM,3338,002,19,4,2,1,,2,,,,,,,,,1,,1,"Camacho, Christopher J","Beverly, Diamond E",,,,
ATCM,3338,003,12,7,2,1,1,1,,,,,1,,1,,1,,2,"Camacho, Christopher J",,,,,
ATCM,3340,001,6,13,4,,2,3,,,,,,,,,1,,1,"Wood, Harold G",,,,,
ATCM,3340,002,9,12,3,1,2,,,,,,,,,,3,,0,"Wood, Harold G",,,,,
ATCM,3340,003,11,11,4,1,1,,,,1,,,,,,1,,0,"Wood, Harold G",,,,,
ATCM,3346,001,10,10,4,3,2,,,,,,,,,,,,0,"Marks, David E",,,,,
ATCM,3350,001,16,5,3,,1,,1,,,,,,2,,,,1,"Hewitt, Sharon","Ikebude, Chukwuemeka",,,,
ATCM,3350,002,13,7,4,,,1,1,,1,,,,1,,,,2,"Hewitt, Sharon","Ikebude, Chukwuemeka",,,,
ATCM,3350,003,12,4,6,2,1,,,,,,,,1,,1,2,0,"Hewitt, Sharon","Ikebude, Chukwuemeka",,,,
ATCM,3350,501,2,12,3,3,1,1,,1,,,,,,,3,,3,"Cox, Cydney",,,,,
ATCM,3355,001,7,6,1,3,2,,,1,,,,,,,,1,4,"Scott, Andrew F",,,,,
ATCM,3365,001,8,11,5,,1,1,,,1,,,,1,,,,0,"Christopher, Timothy V",,,,,
ATCM,3365,002,4,16,8,1,,,,,,,,,,,1,,0,"Chandler, Adam W",,,,,
ATCM,3366,001,,23,2,1,1,,,,,,,,,,1,1,0,"Evans, Monica J",,,,,
ATCM,3366,501,,16,7,2,,2,,,,,,,1,,,,1,"Mallory, Stephen R",,,,,
ATCM,3367,001,3,5,11,5,1,1,1,,,1,,,2,,,,0,"Lewis, Timothy M",,,,,
ATCM,3367,501,,20,8,,,1,,,,,,,,,,,1,"Billingslea, Steven L",,,,,
ATCM,3368,001,4,5,3,3,1,1,3,,2,1,,2,1,,3,,1,"Chandler, Adam W",,,,,
