Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,"Total W",Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
GISC,4381,001,1,4,1,2,1,,,1,,,,,,0,"Yuan, May","Karale, Yogita Y",,,,
GISC,6301,501,,3,6,,,,,,,,,,,1,"Tiefelsdorf, Michael","Yang, Yalin",,,,
GISC,6363,001,,6,2,,1,,,,,,,,1,0,"Qiu, Fang","Venigalla, Lasya",,,,
PA,7306,001,,5,4,1,,,,,,,,,,0,"Gorina, Evgenia",,,,,
ED,3371,501,7,,1,1,,,,,,,,,1,0,"Mahmoud, Ramy A",,,,,
BUAN,6346,001,,3,2,4,1,,,,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,
BUAN,6346,003,,1,1,,6,,2,,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,
ENTP,3360,001,,,3,2,1,1,1,2,,,,,,0,"Murray, Jennifer R",,,,,
ENTP,6360,501,,3,7,,,,,,,,,,,0,"Chambers, Bryan D",,,,,
FIN,7335,001,,10,,,,,,,,,,,,0,"Zhao, Feng",,,,,
MECO,6318,501,,5,5,,,,,,,,,,,0,"Sibley, Daniel C",,,,,
REAL,3305,001,1,1,,,5,,,1,,,2,,,0,"Guttery, Randall",,,,,
BIOL,4356,001,4,3,3,,,,,,,,,,,0,"Du, Heng","Srikanth, Uma","Tian, Jing",,,
GEOS,2409,001,,2,,1,,1,2,2,1,,,,,1,"Manton, William I",,,,,
PHYS,2422,HN1,3,3,3,1,,,,,,,,,,0,"Zhang, Fan","Cheung, Patrick K",,,,
STAT,6341,001,,5,2,1,1,,,1,,,,,,0,"Chiou, Sy Han",,,,,
CS,6352,001,,6,1,1,,,,1,,,,,,0,"Jue, Jason","Guo, Jinghui",,,,
HUSL,6312,002,,6,1,1,1,,,,,,,,,1,"Towner, Theresa",,,,,
STAT,6390,001,,5,4,,,,,,,,,,,0,"Shin, Sunyoung",,,,,
HUHI,7315,001,,8,1,,,,,,,,,,,0,"Channell, David",,,,,
ARTS,3372,002,,3,3,3,1,,,,,,,,1,0,"Palmer, Marcy A",,,,,
ARTS,3379,001,,1,2,3,,2,,1,,,,,2,0,"Palmer, Marcy A",,,,,
DANC,2333,001,10,1,,,,,,,,,,,,0,"Owens, Misty",,,,,
HIST,4359,002,5,2,3,1,,,,,,,,,,0,"Gonzalez Corona, Pedro Jose",,,,,
HUSL,6312,001,,6,3,,1,,,1,,,,,,0,"Greer, Erin",,,,,
MUSI,3112,001,,11,,,,,,,,,,,,0,"Rodriguez, Robert X",,,,,
AUD,6V20,102,,11,,,,,,,,,,,,0,"Lobarinas, Edward","Warner-Czyz, Andrea D","Wiseman, Kathryn","Trevino, Monica",,
AUD,7338,001,,2,8,,1,,,,,,,,,0,"Cokely, Carol G","Fowler, Stephanie L",,,,
CGS,4359,501,1,7,,,2,,,,,,1,,,0,"Rypma, Bart P","Himes, Lyndahl M",,,,
HDCD,6315,001,,10,1,,,,,,,,,,,0,"Ewing, Donna M",,,,,
HDCD,6360,001,,11,,,,,,,,,,,,0,"Anderson, Carol A",,,,,
NSC,4V90,004,3,3,1,,2,1,,,,,,,1,0,"Krawczyk, Daniel C",,,,,
CE,2305,003,1,4,,1,2,2,,,,1,,,,0,"Willson, James K",,,,,
CE,4390,002,,3,8,,,,,,,,,,,0,"Farago, Andras","Gour, Riti",,,,
CE,4390,501,,2,,1,2,1,2,1,,1,,1,,0,"Cobb, Jorge","Dakle, Parag Pravin",,,,
CS,6301,003,1,10,,,,,,,,,,,,0,"Thuraisingham, Bhavani",,,,,
EE,3111,104,,8,,,,,1,,,,,,2,0,"Lee, Gil S","Chen, Chen",,,,
EE,3150,104,1,2,3,1,1,,1,1,,,,,1,0,"Bhatt, Tanay M","Helwa, Sherief M",,,,
EESC,6366,001,,7,1,,2,1,,,,,,,,0,"Hansen, John",,,,,
MECH,6308,001,,9,2,,,,,,,,,,,0,"Fey, Ann Majewicz",,,,,
SE,3340,501,,3,1,2,1,1,2,,,,,,1,0,"Nguyen, Nhut",,,,,
SE,3345,004,1,1,2,,3,,1,,,1,,,1,1,"Chappidi, Sruthi",,,,,
SE,3354,002,1,1,,,2,1,,3,1,1,,1,,0,"Paulk, Mark C","Sarwat, Maliha",,,,
CRIM,6303,001,,6,,3,1,1,,,,,,,,0,"Jacobs, Bruce A",,,,,
GISC,4385,001,4,5,2,,,,,,,,,,,0,"Gearey, Wayne",,,,,
PA,3310,001,2,2,3,3,,1,,,,,,,,0,"Rabbi, Md. Fazle",,,,,
PA,6399,501,,11,,,,,,,,,,,,0,"McCaskill, John R",,,,,
AMS,4305,501,,2,4,3,,1,1,,,,,,,0,"Cotton, Scott C",,,,,
ED,4359,0W1,,2,1,,,2,1,1,,,,,4,0,"Root, Alexey",,,,,
BA,4V00,001,,7,2,2,,,,,,,,,,0,"Lewin, Peter",,,,,
ENGY,3301,001,,5,3,1,1,,,,,,,,1,0,"Sibley, Daniel C",,,,,
ENGY,6330,501,,5,5,1,,,,,,,,,,0,"Sibley, Daniel C",,,,,
FIN,6321,501,,3,,,6,2,,,,,,,,0,"Guttery, Randall",,,,,
FIN,7330,001,,6,1,4,,,,,,,,,,0,"Zhang, Huibing",,,,,
OB,6301,PS1,,5,2,1,2,1,,,,,,,,0,"Hicks, Jeffrey N",,,,,
OB,6332,001,,8,,2,1,,,,,,,,,0,"Ziegler, Laurie","Boncoeur, Olivier D",,,,
OPRE,6301,SS1,,5,2,2,2,,,,,,,,,0,"Sethi, Awanti",,,,,
OPRE,6382,0W1,,9,1,1,,,,,,,,,,0,"Vicario, Joe","Divin, Diane",,,,
MATH,3305,501,1,10,,,,,,,,,,,,0,"Andreescu, Titu",,,,,
MATH,6301,501,,2,4,2,3,,,,,,,,,0,"Balanov, Zalman",,,,,
MATH,6390,501,,8,1,1,,1,,,,,,,,0,"Akbar, Mohammad M",,,,,
NATS,4141,501,,7,,2,1,,,,,,,,,1,"Gammons Jr, Billy G","McConnell, James S",,,,
PHYS,2126,608,3,6,,,,,,1,,,,,,1,"Macalevey, Paul J","Saleh, Lamya","Azhiri, Reza B",,,
CRIM,4396,002,,6,3,1,,,,,,,,,,1,"Piquero, Alexis M",,,,,
PA,7320,501,,11,,,,,,,,,,,,0,"Battaglio, Randy P",,,,,
MATH,6303,001,,4,2,2,,2,,,,,,,1,0,"Dragovic, Vladimir",,,,,
HUSL,6308,501,,5,2,,2,,,,,,,,,1,"Prieto, Rene",,,,,
HIST,4360,001,,7,,1,1,,,,,,,,1,1,"Fischer, Anne G",,,,,
HUSL,7309,001,,3,5,2,1,,,,,,,,,0,"Gu, Ming D",,,,,
ARTS,3371,001,,4,2,2,1,1,1,,1,,,,,0,"Miller, Cynthia M",,,,,
ARTS,3376,001,,3,5,,1,,,,,,,,2,1,"Carter, Rebecca S",,,,,
CHIN,2311,001,4,1,3,3,1,,,,,,,,,0,"Chen, Bei",,,,,
HIST,2370,001,6,3,1,1,,,,,,,,,1,0,"Roemer, Nils H","Valente, Sarah d","Gonzalez Corona, Pedro Jose",,,
HUSL,6324,501,,10,1,,1,,,,,,,,,0,"Greene, Kendra",,,,,
LIT,1301,502,2,3,2,2,,2,,,,,,,,1,"Mariboho, Rachael A",,,,,
MUSI,2315,501,1,6,2,,,,,1,,,,,,2,"Hodan, Daniel M",,,,,
MUSI,3380,001,1,8,1,2,,,,,,,,,,0,"Madriguera, Enric F",,,,,
MUSI,4322,001,,9,1,1,,1,,,,,,,,0,"Evans, Kathryn C",,,,,
SPAN,1312,001,1,4,1,,3,,,1,1,,1,,,0,"Leverone, Julia",,,,,
ACN,6312,001,,1,1,,4,3,2,,,,,,,1,"Juhn, Nancy H","Meldrum, Shelia","Austin, Kathryn A",,,
ACN,6V81,002,,9,2,,,,,,,,,,,1,"Jahangiri, Faisal R",,,,,
AUD,7324,001,,6,4,2,,,,,,,,,,0,"Warner-Czyz, Andrea D","Wiseman, Kathryn",,,,
AUD,7327,001,,10,1,,1,,,,,,,,,0,"Lobarinas, Edward",,,,,
NSC,3344,001,,5,1,2,2,1,1,,,,,,,0,"Powers, Katharine A","Eppes, Anna A",,,,
PSYC,6312,001,,5,1,,2,4,,,,,,,,0,"Juhn, Nancy H","Meldrum, Shelia","Austin, Kathryn A",,,
CE,3320,002,,1,2,1,2,2,,1,1,2,,,,0,"Balsara, Poras","Goswami, Pingakshya",,,,
CE,3354,003,,1,2,1,3,,1,1,1,1,,1,,0,"Wei, Shiyi","Zhang, Zenong",,,,
CS,6328,001,,12,,,,,,,,,,,,0,"Fishwick, Paul",,,,,
MSEN,5310,001,,2,3,2,2,,1,1,,,,,,1,"Hsu, Julia","Badhe, Yutika Ravindra",,,,
SE,3162,054,6,4,,1,,1,,,,,,,,0,"Smith, Klyne",,,,,
SE,3162,555,8,,1,,2,1,,,,,,,,0,"Debroy, Vidroha",,,,,
SE,3345,002,1,3,2,3,,,2,1,,,,,,0,"Ozbirn, Greg A",,,,,
SE,3377,0W4,,2,,,2,,1,3,,1,,,3,0,"Belkoura, Mohamed Amine",,,,,
SYSM,6305,001,,10,,,1,1,,,,,,,,0,"Spong, Mark W",,,,,
ECON,6306,502,,7,,3,1,,,,,,,,,1,"Beron, Kurt","Han, Minyu",,,,
EPPS,6302,001,,10,,,1,,,1,,,,,,0,"Ho, Karl",,,,,
PA,7330,001,,8,4,,,,,,,,,,,0,"Harrington, James",,,,,
SOC,6350,001,,11,1,,,,,,,,,,,0,"Scotch, Richard",,,,,
ED,3342,001,,12,,,,,,,,,,,,0,"Parker, Teresa L",,,,,
ED,4345,001,3,4,1,1,1,,,,,,,,2,0,"Haun, Julia T",,,,,
ED,4353,501,,12,,,,,,,,,,,,0,"Brooks, Lori L",,,,,
HONS,3199,HN4,1,11,,,,,,,,,,,,0,"Davies, Katherine",,,,,
BA,4101,001,3,9,,,,,,,,,,,,0,"Knox, Alan R",,,,,
ENTP,4340,001,5,6,,,,1,,,,,,,,0,"Goodrich, Mary Beth W","Khasacha, Sidney O",,,,
FIN,4334,001,4,,,2,,2,1,1,,,1,,1,0,"Kaplan, Larry S",,,,,
MKT,6337,001,,2,2,4,4,,,,,,,,,0,"Murthi, B P","Roshangarzadeh, Reza",,,,
OPRE,6302,PS1,,12,,,,,,,,,,,,0,"Widdifield, David S",,,,,
SYSM,6313,SS1,,3,1,5,1,1,,1,,,,,,0,"Ziegler, Laurie","Boncoeur, Olivier D",,,,
SYSM,6318,SS1,,6,3,3,,,,,,,,,,0,"Biswas, Abhijit","Iyer, Smruti Viswanath","Shetty, Reema R","Kulkarni, Chinmayi S",,
BIOL,3455,802,1,2,1,2,3,,,,,1,,1,1,0,"Ramirez, Ruben D",,,,,
BIOL,4380,301,2,4,2,,3,,1,,,,,,,0,"Sadat, Eva","Ghosh, Poorva G",,,,
GEOS,2306,001,,2,,2,5,,1,1,,,,,1,0,"Mueller, Nicholas J","Akatakpo, Solomon O",,,,
GEOS,5315,001,,7,1,3,1,,,,,,,,,0,"Manton, William I",,,,,
STAT,6331,001,,1,1,1,4,2,1,,,,,,1,1,"Choudhary, Pankaj K",,,,,
COMM,3342,002,1,3,1,,,2,,1,1,,,,2,0,"King, Carie S",,,,,
CRWT,3351,501,,5,4,1,1,1,,,,,,,,0,"Stone, Nomi",,,,,
PPPE,6359,001,,5,1,,5,,,,,,,,1,0,"Hicks, Donald",,,,,
ARTS,3315,001,7,5,,,,,,1,,,,,,0,"Curry, Val",,,,,
CHIN,1312,001,6,1,2,,2,1,,,,,1,,,0,"Chen, Bei",,,,,
COMM,3342,001,7,2,1,2,,,,1,,,,,,0,"Schlobohm, Maribeth L",,,,,
COMM,4314,001,4,,2,,3,1,,1,,,,,,2,"King, Carie S",,,,,
CRWT,2301,001,1,7,2,,2,,,,,,,,,1,"Greene, Kendra",,,,,
CRWT,3307,HN1,9,2,2,,,,,,,,,,,0,"Watkins, Latoya S",,,,,
CRWT,4354,501,,5,3,4,1,,,,,,,,,0,"Goldberg, Paula",,,,,
HIST,6360,501,,6,4,3,,,,,,,,,,0,"Rankin, Monica A",,,,,
ATCM,4305,001,,3,2,5,2,1,,,,,,,,0,"Caldwell, Bryon A",,,,,
AUD,7253,001,,11,1,1,,,,,,,,,,0,"Griffiths, Scott K",,,,,
AUD,7310,001,,13,,,,,,,,,,,,0,"Clark, Jackie L",,,,,
HCS,7309,001,,8,2,,3,,,,,,,,,0,"Hart, John",,,,,
NSC,4353,102,,2,3,4,1,1,,,,,1,,1,0,"McWilliams, Steven P","Duong, Nhy Y","Wilhelm, Rachel",,,
NSC,4353,103,,5,4,,,1,2,,,,1,,,0,"McWilliams, Steven P","Brougher, Jackson J",,,,
PSY,3393,004,2,5,2,3,,,1,,,,,,,0,"Shirvani, Forouz","Hafiz, Mariam",,,,
BMEN,6366,001,,12,,,,1,,,,,,,,0,"Sirsi, Shashank R",,,,,
CE,2305,504,1,,1,1,1,2,1,2,,1,1,,2,0,"Soncodi, Adrian C",,,,,
CE,2336,005,,2,2,2,2,2,1,1,,,,,1,0,"Feng, Ranran",,,,,
CE,6301,001,,11,2,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,
CS,6304,001,,,1,3,2,5,1,,,,,,,1,"Carrion Schaefer, Benjamin",,,,,
CS,7301,003,,13,,,,,,,,,,,,0,"Natarajan, Sriraam",,,,,
EE,3110,101,1,2,1,,1,1,1,3,1,,1,,1,0,"Lee, Jeong-Bong","Liu, Jinbo",,,,
EE,3202,001,,6,1,1,1,3,,1,,,,,,0,"Kiasaleh, Kamran","Shankar, Nikhil",,,,
EE,4388,004,,10,,2,1,,,,,,,,,0,"Skinner, Neal G",,,,,
SE,3341,002,2,,1,2,2,2,1,,,,1,,2,0,"Whalen, Tristan G","Zimmer, Kevin C",,,,
SE,4348,001,,1,1,3,2,1,1,1,,3,,,,0,"Ozbirn, Greg A","Mai, Kelvin K",,,,
GISC,2305,001,1,2,4,1,,1,1,1,,,,,2,0,"Dell, Brent",,,,,
PSCI,6311,001,,4,4,4,,,,,,,,,,1,"Miller, Banks",,,,,
AMS,4300,5H1,3,6,2,,1,,,,,,,,1,0,"Ross, Alyssa N",,,,,
ED,3345,001,,5,5,,,1,1,,,,,,1,0,"McNulty, Angela B",,,,,
BPS,6332,501,,2,,,11,,,,,,,,,0,"Dess, Gregory","Li, Jianan",,,,
ENGY,3302,001,2,1,5,3,,1,,1,,,,,,0,"Sibley, Daniel C",,,,,
ENTP,4350,001,,5,,,8,,,,,,,,,0,"Shah, Rajiv","Dode, Shrutik G",,,,
FERM,6305,FS1,,7,2,,1,2,,1,,,,,,0,"Song, Kaisheng",,,,,
FERM,6V99,FS2,,6,5,,,,,1,,,,,1,0,"Wang, Yi",,,,,
ITSS,3312,003,1,2,1,3,4,,1,,,,1,,,0,"Sun, Geng",,,,,
MIS,6356,001,,2,5,1,1,3,,,,,,,,1,"Parker, Jason A","Rawat, Manavi",,,,
MIS,6375,0W1,,2,,3,4,1,1,1,,,,,1,0,"Bochsler, Daniel C",,,,,
MIS,6383,001,,8,2,2,,,,,,,,,,1,"Narayan, Ravishankar L","Kasturi, Sai Nikhilesh",,,,
MIS,6384,001,,4,4,3,1,1,,,,,,,,0,"Shroff, Tejas N","Jadhav, Sukruta",,,,
MKT,4320,501,6,3,1,,,1,,1,1,,,,,0,"Carraher, Shawn M",,,,,
OPRE,6369,0W1,,7,,,3,,,2,,,,,1,0,"Subramoniam, Ramesh","Pandita, Binny",,,,
REAL,3305,501,,1,2,2,2,1,1,3,,,,,1,0,"DeCourcy, George A",,,,,
REAL,3365,001,,2,,1,4,3,,2,,,,,1,0,"DeCourcy, George A",,,,,
BIOL,6343,001,,8,4,1,,,,,,,,,,0,"Du, Heng","Srikanth, Uma","Tian, Jing",,,
CHEM,1112,103,1,6,2,,2,,,,,,1,,1,0,"Hashami, Zohreh","Pope, Mitchell A",,,,
MATH,3303,001,4,2,1,1,,,1,,2,2,,,,0,"Lalani, Amin","Martin, Jody",,,,
MATH,4V91,001,2,3,5,,1,,,,,,,,,2,"Dragovic, Vladimir","Babbitt, Matthew W",,,,
NATS,3343,002,2,8,,,,2,,,,,,,,1,"McConnell, James S",,,,,
PHYS,4373,101,,11,,,2,,,,,,,,,0,"Slinker, Jason D","Wettasinghe, Ashan P",,,,
PPOL,4396,002,8,2,1,,,,,,,,,,1,0,"Bray, Timothy M",,,,,
HUHI,7314,001,,10,1,,,,,,,,,,,0,"Roemer, Nils H",,,,,
SMED,5303,501,,10,2,,,,,,,,,,,0,"McConnell, James S",,,,,
ARTS,3371,002,1,3,,2,1,2,1,,1,,,,2,0,"Durant, Stephanie D",,,,,
HUAS,6310,001,,8,2,1,1,,,,,,,,,1,"McLean, Adrienne L",,,,,
MECH,5373,001,,5,4,2,2,,,,,,,,,0,"Dai, Xianming",,,,,
ARTS,2380,501,,11,1,1,,,,,,,,,1,0,"Fridge, Brian D",,,,,
ARTS,3382,001,1,9,1,1,,,,,,,1,,,1,"Tady, Lorraine T",,,,,
CRWT,2301,002,,13,,,1,,,,,,,,,0,"Glass, Seraphina",,,,,
CRWT,3307,002,2,11,,,,,,,,,,,,1,"Martinez, Manuel L",,,,,
HIST,3302,001,,1,5,2,1,3,,1,,,,,1,0,"Jakobsson, Pia K",,,,,
LIT,2329,001,,9,,,1,,,,,,,,4,0,"Redman, Timothy P","Rosen, Mark S",,,,
MUSI,2325,001,,11,1,,,,,,,,,2,,0,"Riemer Bueckert, Nili",,,,,
MUSI,2325,002,,11,1,1,,,,,,,1,,,0,"Riemer Bueckert, Nili",,,,,
MUSI,2328,002,1,4,2,,,,,1,,,,,2,4,"Mcvay, Michael",,,,,
MUSI,2328,003,6,4,,1,,,1,,,,1,,,1,"Mcvay, Michael",,,,,
MUSI,3186,001,,14,,,,,,,,,,,,0,"Durbin, Kelly",,,,,
PHIL,4325,001,,6,2,4,1,,1,,,,,,,0,"Bambach, Charles",,,,,
SPAN,1311,001,1,4,2,3,,,1,,,,,,2,1,"Lambert, Thomas M",,,,,
ATCM,1100,004,6,3,,3,,,,2,,,,,,0,"Scott, Andrew F","Paiva Homsi, Murilo",,,,
ATCM,4326,001,,2,3,2,5,,1,,1,,,,,0,"Imaoka, Laura",,,,,
ATCM,6377,001,,9,2,1,,2,,,,,,,,0,"Burrough, Xtine",,,,,
CGS,3361,501,2,2,,2,1,,2,3,1,,,,,1,"Roark, Dana A","Han, Liang",,,,
COMD,7V89,001,,11,,,3,,,,,,,,,0,"Rackley, Audette M",,,,,
HCS,7311,001,,7,3,,4,,,,,,,,,0,"Nelson Taylor, Jackie A",,,,,
HCS,7351,001,,12,2,,,,,,,,,,,0,"Thompson, Lucien",,,,,
PSY,4386,001,,3,1,2,5,3,,,,,,,,0,"Drew, Linda M",,,,,
BMEN,6379,001,,5,7,1,1,,,,,,,,,0,"Varner, Victor",,,,,
BMEN,6395,001,,13,,,,,,1,,,,,,0,"Hays, Seth A",,,,,
CE,3201,001,3,3,4,1,,1,1,,,,,,,1,"Nikoubin, Tooraj","Caicedo-Narvaez, Carlos A","Movahed Mohammadi, Seyed Ehsan","Khoshlessan, Mahshid","Steele, Alec M",
CS,3162,595,7,1,1,,,3,,,,,,,2,0,"Debroy, Vidroha",,,,,
CS,6377,001,,2,2,1,2,2,2,2,,,,,1,0,"Desmedt, Yvo G",,,,,
CS,6396,001,,10,2,,1,,,,,,,,,1,"Liu, Cong",,,,,
MECH,3150,103,,7,2,1,1,1,1,,1,,,,,0,"Park, Wooram","Ahsan, Faraz",,,,
MECH,4381,008,,2,2,3,4,,,2,1,,,,,0,"Hart, Robert A","Little, Ryan C","Upasham, Sayali S","Ouyang, Hui",,
MECH,6335,001,,8,2,3,1,,,,,,,,,0,"Stecke, Kathryn","Vu, Duc D",,,,
MECH,7392,001,,7,2,1,1,3,,,,,,,,0,"Thamban, P.L.Stephan",,,,,
SE,3341,003,2,2,,,,2,2,1,,1,,2,2,0,"Whalen, Tristan G","Langford, John","Zimmer, Kevin C",,,
SE,3377,001,1,5,1,1,2,1,3,,,,,,,0,"Peterson, Erik A",,,,,
SE,3377,0W5,2,3,,4,2,,1,,,,,,1,1,"Satpute, Meghana N",,,,,
SE,4348,003,,,,2,3,3,1,1,2,,,,1,1,"Salazar, Elmer E","Haque, Mirazul",,,,
GEOG,3382,501,2,6,3,2,,,1,,,,,,,0,"Vakulenko, Irina","Chen, Meifang",,,,
GISC,6325,501,,10,3,,1,,,,,,,,,0,"Cummings, Anthony R","Liau, Yan-Ting",,,,
GISC,6381,501,,9,1,2,,1,,,,,,,,1,"Chun, Yongwan","Yu, Xiaohe",,,,
PA,2325,501,,8,3,2,,,,,,,,,1,0,"Harrington, James","Park, Yong Jun",,,,
PA,3382,001,,11,1,1,,,,1,,,,,,0,"McCaskill, John R",,,,,
PSCI,6350,001,,4,4,2,2,,,,,,,,,2,"Brandt, Patrick",,,,,
SOC,3305,001,3,2,3,3,,1,,1,,,,,1,0,"Skaggs, Sheryl L","Wilds, Katherine M",,,,
ED,4352,501,,3,4,2,4,,,,,,,,1,0,"McNulty, Angela B",,,,,
HONS,3111,HN1,5,9,,,,,,,,,,,,0,"Thompson, Christina M",,,,,
HONS,3199,H17,4,9,1,,,,,,,,,,,0,"Williams, Nathan",,,,,
HONS,3199,HN6,,6,5,2,1,,,,,,,,,0,"Rosen, Mark S",,,,,
HONS,3199,HN8,,14,,,,,,,,,,,,0,"Kratz, Dennis M",,,,,
FERM,6310,FS1,,3,3,4,2,1,,,,,,,,1,"Scott, James A",,,,,
FIN,4340,001,,4,,,3,,,1,,,5,,1,0,"Saretto, Alessio","Lee, Pil-Seng",,,,
MECO,6345,001,,6,2,1,2,2,,1,,,,,,0,"Hyndman, Kyle B",,,,,
MIS,6320,0W1,,4,3,2,3,1,,,,,,,1,0,"Cavusoglu, Huseyin","Jayaraman, Jayanth",,,,
MKT,6337,0W1,,3,1,3,5,1,,,,,,,,1,"Subramanian, Upender","Saremi, Ehsan","Lee, Ga Hyun",,,
MKT,6337,501,,2,2,4,6,,,,,,,,,0,"Murthi, B P","Kasaian, Keyvan","Elmi, Omid",,,
OPRE,3310,5E1,1,4,,4,2,,1,1,,,1,,,0,"Sajjadi, Reza","Ramakrishnan, Jaishree",,,,
REAL,3305,002,,1,,,1,3,,5,,,3,,1,0,"Guttery, Randall",,,,,
BIOL,4360,001,4,4,1,,2,,1,1,1,,,,,0,"Pickett, Elizabeth A",,,,,
MATH,2333,001,2,,3,1,1,1,,1,1,,,,2,2,"Martynova, Irina",,,,,
MATH,5303,001,,14,,,,,,,,,,,,0,"Eydelzon, Anatoly",,,,,
PHYS,3411,001,3,4,1,3,1,,,,,,,,,2,"Macalevey, Paul J","Fox, Logan K",,,,
STAT,6348,001,,4,3,1,1,1,1,1,,,,,1,1,"Biswas, Swati",,,,,
STAT,7331,001,,12,2,,,,,,,,,,,0,"Gel, Yulia",,,,,
EERF,6396,001,,1,4,,4,2,2,,,,,,,0,"Lehmann, Randall E","Gemsheim, Alex J","Fang, Lei",,,
BUAN,6V99,501,,14,,,,,,,,,,,,0,"Elkhodari, Gasan","Sultana, Yasmin",,,,
NSC,4353,101,4,3,4,2,,,,1,,,,,,0,"Taylor, Anna M","Naik, Dhananjay K",,,,
