Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
OPRE,6390,501,,10,,,,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,
REAL,3305,001,,1,,,2,1,,3,,,2,,1,,"Guttery, Randall","Zhao, Yabo",,,,
GEOS,3304,001,1,3,1,,1,,1,2,,,,,1,,"Shah, Muna",,,,,
MATH,6325,501,,5,2,3,,,,,,,,,,,"Krawcewicz, Wieslaw Z",,,,,
MILS,180,101,,10,,,,,,,,,,,,,,,,,,
COMD,7V82,001,,8,,2,,,,,,,,,,,"Goffman, Lisa A",,,,,
PHYS,4V11,001,,7,2,,1,,,,,,,,,,"Zhang, Chuanwei",,,,,
ATCM,3320,001,2,1,1,2,1,2,1,,,,,,,,"Llamas Rodriguez, Juan A",,,,,
COMD,7336,001,,10,,,,,,,,,,,,,"Rollins, Pamela R",,,,,
PA,7305,001,,4,5,1,,,,,,,,,,,"Kiel, Lowell D",,,,,
OPRE,6301,CW1,,3,4,1,,2,,,,,,,,,"Kim, Dohyeong",,,,,
HDCD,6315,002,,7,4,,,,,,,,,,,,"Ewing, Donna M",,,,,
PSY,3362,001,,3,1,1,2,1,,1,,,1,,1,,"Mills, Candice M","Zhao, Yuguang",,,,
CS,6367,001,,4,5,2,,,,,,,,,,,"Wong, Weichen E",,,,,
EE,3110,101,3,6,,1,,,,,1,,,,,,"Lee, Jeong-Bong","Liu, Jinbo",,,,
EE,3110,103,3,3,,,1,,1,1,2,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,
EPCS,3100,001,,4,1,1,4,,,,,,1,,,,"Gans, Nicholas R",,,,,
MSEN,5300,501,,5,3,1,1,1,,,,,,,,,"Kim, Jiyoung",,,,,
SE,3340,002,,1,,,5,,,1,,,,,4,,"Goodrum, Richard A","Tran, Trung Hieu","Shahbazi, Nima",,,
SE,3341,001,2,1,1,2,,,,,2,1,,1,1,,"Whalen, Tristan G","Thompson, Patrick A",,,,
AMS,4305,501,,3,,4,2,2,,,,,,,,,"Cotton, Scott C",,,,,
MATH,3305,501,,9,1,,1,,,,,,,,,,"Andreescu, Titu",,,,,
CS,6301,008,,6,5,,,,,,,,,,,,"Hao, Shuang",,,,,
SE,3340,001,,1,,3,1,3,2,,,,,,1,,"Nguyen, Nhut",,,,,
ECON,6332,001,,7,1,2,1,,,,,,,,,,"Andrews, Rodney J",,,,,
ED,4359,0W1,1,4,1,1,1,,,,,,1,,2,,"Root, Alexey",,,,,
RMIS,3370,001,2,3,2,1,,2,,,1,,,,,,"Richardson, Debra L",,,,,
HUMA,6300,501,,3,6,,2,,,,,,,,,,"Rodriguez, Robert X",,,,,
HONS,3199,HN4,,7,3,1,,,,,,,,,,,"Wickberg, Daniel",,,,,
BCOM,3310,008,4,3,1,,1,1,1,,,,,,,,"Marchant, Joe T",,,,,
ENTP,6315,501,,2,5,2,1,1,,,,,,,,,"Pedigo, Madison F",,,,,
FIN,4334,501,,1,1,1,1,2,,1,1,,,1,2,,"Kaplan, Larry S",,,,,
OPRE,6398,002,,5,,,6,,,,,,,,,,"Alimirzaei, Athena","Armaghan, Milad",,,,
ARTS,2316,501,2,5,4,,,,,,,,,,,,"Egan, Trey T",,,,,
OPRE,6382,0W1,,10,,1,,,,,,,,,,,"Vicario, Joe","Divin, Diane",,,,
THEA,3310,501,2,8,1,,,,,,,,,,,,"Hibbs, Shelby A",,,,,
CE,3102,101,,9,,,2,,,,,,,,,,"Hu, Yang","Bo, Yu","Wei, Haoran","Azarang, Arian",,
CE,3110,101,2,1,,2,,,3,1,1,,1,,,,"Lee, Jeong-Bong","Liu, Jinbo",,,,
CE,3110,105,4,3,,3,1,,,,,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,
EE,3111,103,1,9,,,,1,,,,,,,,,"Lee, Gil S","Chen, Chen",,,,
EE,3120,105,,10,,,,,,,,,,,1,,"Zhou, Dian","Wang, Yifan",,,,
PSCI,6350,001,,5,2,1,2,,,,,,,,1,,"Brandt, Patrick",,,,,
HMGT,6324,0W1,,10,,1,,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,
GEOS,5315,001,,4,5,1,1,,,,,,,,,,"Manton, William I",,,,,
NATS,3343,001,,6,,1,2,,,1,,,,,1,,"Dorsey, Floyd Z",,,,,
NATS,3343,002,,3,4,,,2,,,,,,1,1,,"McConnell, James S","Kirkland, Pamela I",,,,
PHYS,2126,117,2,7,1,,,,,,,,,,1,,"Sun, Kuei","Koirala, Pawan",,,,
MECO,7312,001,,,,,,,,,,,,,,,"Chiong, Khai X",,,,,
BIS,3320,005,,2,2,2,3,,1,1,,,,,,,"Pogue, Neall W",,,,,
ECON,5397,501,,10,1,,,,,,,,,,,,"Valcarcel, Victor J",,,,,
MIS,6363,001,,5,4,,2,,,,,,,,,,"Ahluwalia, Gurvinder S","Dandra, Pravin Basanna",,,,
HUSL,7372,001,,5,2,4,,,,,,,,,,,"Hatfield, Charles D",,,,,
GISC,4380,001,,3,,1,3,3,,,,,1,,,,"Yuan, May","Karale, Yogita Y",,,,
DANC,3340,001,,3,5,1,1,1,,1,,,,,,,"Hanlon, Michele J",,,,,
ATCM,4319,002,3,5,1,,2,1,,,,,,,,,"Kitagawa, Midori",,,,,
CS,7301,004,,11,1,,,,,,,,,,,,"Wu, Wei L","Li, Yi",,,,
EE,3101,102,,6,,1,2,1,1,,,,,,1,,"Friedman, Joseph S","Bo, Yu","Thakur, Sneha","Nahar, Lubaba M",,
GEOG,3304,001,2,4,3,,1,,1,,,,,,1,,"Shah, Muna",,,,,
AMS,4304,001,,3,2,2,2,,,,1,1,,,1,,"Naqvi, Syed K",,,,,
ED,4352,501,,4,3,1,1,2,1,,,,,,,,"McNulty, Angela B",,,,,
BUAN,6340,003,,4,3,3,2,,,,,,,,,,"Ge, Ling","Shankar, Santhosh",,,,
FIN,4337,501,1,2,3,3,,,,2,1,,,,,,"Richards, James R",,,,,
IMS,6365,001,,8,2,2,,,,,,,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,
MIS,6378,001,,4,2,1,1,4,,,,,,,,,"Bradbury, Judd D","Sharma, Aman",,,,
MATH,6324,001,,5,3,4,,,,,,,,,,,"Rachinskiy, Dmitry",,,,,
CE,3345,003,1,6,,2,2,1,,,,,,,,,"Chida, Anjum","Mousavi, Pooneh",,,,
ECON,5321,001,,3,1,2,3,,,3,,,,,,,"Hedlund, Jonas","Zhang, Jinglun",,,,
EPPS,7313,501,,4,3,2,1,1,,1,,,,,,,"Kim, Dohyeong","Zaychik, Danielle",,,,
MECO,6312,0W1,,1,1,3,2,4,1,,,,,,,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,
OPRE,6367,001,,12,,,,,,,,,,,,,"Parks, David","Seripalli, Dilip Kumar",,,,
BIOL,4356,001,4,3,,2,2,1,,,,,,,,,"Du, Heng","Srikanth, Uma","Gauba, Esha",,,
HONS,3112,HN1,4,2,1,3,1,,1,,,,,,,,"Kaplan, Marilyn R",,,,,
ACCT,6370,501,,6,4,1,1,,,,,,,,,,"Betanzos, Christina L",,,,,
ENTP,6380,501,,3,,3,3,1,,2,,,,,,,"Picken, Joseph C",,,,,
MIS,6320,501,,6,1,1,2,1,1,,,,,,,,"Cavusoglu, Huseyin","Pham, Trang T",,,,
FIN,6315,501,,,4,3,5,,,,,,,,,,"Pedigo, Madison F",,,,,
MIS,6369,501,,6,,,6,,,,,,,,,,"Deluke, Eugene","Gaglani, Kajal M",,,,
HUHI,6351,001,,5,3,3,1,,,,,,,,,,"Gossin, Pamela",,,,,
HCS,7351,001,,12,,,,,,,,,,,,,"Thompson, Lucien",,,,,
BMEN,3120,101,,2,2,2,4,,2,,,,,,,,"Winter, Patrick M","Atmaramani, Rahul","Lam, Kevin Hao Su","Abbott, Justin","Ganguly, Antra",
BMEN,3120,106,,5,1,3,2,,,,,,,,1,,"Ali, Tariq M","Atmaramani, Rahul",,,,
BMEN,3120,108,4,2,3,3,,,,,,,,,,,"Ali, Tariq M","Lam, Kevin Hao Su",,,,
EE,3101,105,,10,,1,,,,,,,,,1,,"Friedman, Joseph S","Li, Chen","Nahar, Lubaba M",,,
EE,3110,104,2,6,,,1,,,,2,,,,1,,"Lee, Jeong-Bong","Wang, Zhengyang",,,,
EE,3120,101,,11,,,,,,1,,,,,,,"Zhou, Dian","Ren, Jiajun",,,,
EEPE,7356,001,,11,1,,,,,,,,,,,,"Fahimi, Babak",,,,,
MECH,4382,002,,2,5,2,1,2,,,,,,,,,"Hart, Robert A","Gravell, Jamie D",,,,
SE,4347,502,,8,2,2,,,,,,,,,,,"Culver, Timothy L","Torabi, Behnam",,,,
CRIM,6313,001,,2,4,3,3,,,,,,,,,,"Vieraitis, Lynne M",,,,,
PSCI,4V67,HN1,10,2,,,,,,,,,,,,,"Kirby, Barbara E",,,,,
ED,3342,501,,8,3,,,,1,,,,,,,,"Parker, Teresa L",,,,,
ED,4345,001,,5,4,1,1,1,,,,,,,,,"Haun, Julia T",,,,,
ED,4345,501,,9,2,,,,,1,,,,,,,"Weiner, Michelle L",,,,,
OB,6303,501,,7,4,1,,,,,,,,,,,"Olsztynska, Agnieszka",,,,,
SCI,5340,0W1,,12,,,,,,,,,,,,,"Stuart, Georgia K",,,,,
HCS,7121,001,,,,,,,,,,,,,,,"Kroener, Sven",,,,,
BUAN,6V99,004,,10,,,,,,,,,,,,,"Jilani, Shakoor A","Dheram, Geyasruti",,,,
HIST,3302,001,,1,5,4,,1,1,1,,,,,,,"Jakobsson, Pia K",,,,,
LIT,2329,501,3,2,1,1,1,2,2,1,,,,,,,"Starnaman, Sabrina",,,,,
CLDP,3339,002,,7,,1,1,,,2,1,,1,,,,"Santrock, John W",,,,,
CE,3120,104,,12,,,,,,,,,,,1,,"Zhou, Dian","Ren, Jiajun",,,,
EE,3110,102,2,5,,4,1,,1,,,,,,,,"Lee, Jeong-Bong","Chen, Ziyu",,,,
PA,6348,0W1,,13,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,
MATH,6346,001,,2,5,,6,,,,,,,,,,"Cao, Yan",,,,,
NATS,4141,501,,10,1,1,,1,,,,,,,,,"Gammons Jr, Billy G","McConnell, James S",,,,
ACCT,6349,0W1,,12,1,,,,,,,,,,,,"Majumdar, Sumit K","Sun, Geng",,,,
HONS,3113,HN1,8,5,,,,,,,,,,,,,"Page, Ivor",,,,,
MIS,6319,501,,9,,,4,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,
PSY,3100,501,8,4,1,,,,,,,,,,,,"Choate, Michael J",,,,,
CS,6301,002,,8,2,3,,,,,,,,,,,"Chandrasekaran, Ramaswamy",,,,,
ARTS,4368,001,7,6,,,,,,,,,,,,,"Pomara, John",,,,,
BMEN,3120,107,2,3,2,3,2,,,1,,,,,,,"Ali, Tariq M","Ganguly, Antra",,,,
CE,3101,101,,6,3,,1,,1,,,,,,2,,"Friedman, Joseph S","Thakur, Sneha","Nahar, Lubaba M",,,
MECH,4382,001,,2,5,1,3,2,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Wilt, James C",,,
AMS,4300,001,13,,,,,,,,,,,,,,"Starke, Tamera",,,,,
ED,4363,001,,5,5,,2,1,,,,,,,,,"Leek, Patricia A",,,,,
ENTP,3360,001,1,,2,,3,3,1,2,1,,,,,,"Pedigo, Madison F",,,,,
HMGT,6331,CH1,,10,2,,1,,,,,,,,,,"Jacob, Stephen",,,,,
SYSM,6312,SS1,,4,3,1,3,2,,,,,,,,,"Sanderson, Scott",,,,,
CHEM,6V69,501,,12,1,,,,,,,,,,,,"Lee, Jiyong",,,,,
MATH,3303,001,2,1,3,3,2,,,,1,1,,,,,"Lalani, Amin",,,,,
PHYS,4386,501,4,4,3,,1,1,,,,,,,,,"Lou, Xinchou",,,,,
BIOL,6252,001,,,,,,,,,,,,,,,"Kim, Tae Hoon",,,,,
AUD,7V82,001,,,,,,,,,,,,,,,"Thibodeau, Linda K",,,,,
AUD,7338,001,,4,5,2,1,,,,,,,,,,"Cokely, Carol G","Fowler, Stephanie L",,,,
SE,6356,MS1,,6,,2,1,,2,,,,,,1,,"Marcus, Andrian","Chaparro Arenas, Oscar Javier",,,,
HUSL,6308,001,,6,1,4,1,1,,,,,,,,,"Cotter, Sean J",,,,,
BUAN,6346,003,,8,5,,,,,,,,,,,,"Perez, Jerry","Sharma, Supriya",,,,
AUD,7327,001,,8,3,1,1,,,,,,,,,,"Lobarinas, Edward",,,,,
PPPE,6329,501,,8,3,1,1,,,,,,,,,,"Leaf, Murray J",,,,,
ARTS,3315,001,5,8,,,,,,,,,,,1,,"Curry, Val",,,,,
CRWT,3330,001,,5,4,,2,1,1,1,,,,,,,"Vincent, Shelby D",,,,,
LIT,3319,001,,3,1,5,,1,1,1,,,,,2,,"Starnaman, Sabrina",,,,,
THEA,2371,001,11,2,,,,,,1,,,,,,,"Trevino, Christopher L",,,,,
HDCD,6312,001,,9,4,,1,,,,,,,,,,"Ewing, Donna M",,,,,
NSC,4353,103,1,1,6,2,3,1,,,,,,,,,"McWilliams, Steven P","Driskill, Christopher M",,,,
MECH,4381,003,,2,3,6,3,,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Park, Wooram",,,
SOC,3315,HN1,2,11,1,,,,,,,,,,,,"De Olivares, Karen L",,,,,
HONS,3199,H11,,13,1,,,,,,,,,,,,"Ubellacker, Jessalyn",,,,,
ENTP,3320,001,,3,2,1,7,1,,,,,,,,,"Wright, Robert G",,,,,
OBHR,3310,503,1,2,2,4,3,,1,,,,,,1,,"Boncoeur, Olivier D",,,,,
BIOL,4380,301,,3,1,4,,2,1,,1,2,,,,,"Borovkov, Irina G","Brathaban, Nivetha",,,,
STAT,6390,001,,13,,,,,,,,,,,1,,"Chiou, Sy Han",,,,,
MECH,3120,108,6,5,2,1,,,,,,,,,,,"Hassanipour, Fatemeh","Jiang, Lin",,,,
SE,3354,002,,,5,1,1,3,1,,2,1,,,,,"Paulk, Mark C","Chaparro Arenas, Oscar Javier","Dong, Hailiang",,,
PA,3378,001,6,3,2,1,1,1,,,,,,,,,"Hoang, Trang T",,,,,
SOC,2300,001,1,3,1,3,5,,,,,,1,,,,"Smith, Erin",,,,,
HONS,3114,HN1,2,12,,,,,,,,,,,,,"Thompson, Christina M",,,,,
HONS,3199,H12,9,5,,,,,,,,,,,,,"Basuray, Soumik",,,,,
HONS,3199,HN1,3,8,3,,,,,,,,,,,,"Rippel, Scott A","Thompson, Christina M",,,,
BIOL,4360,001,2,2,1,2,1,1,1,,,,2,1,1,,"Pickett, Elizabeth A",,,,,
MUSI,2325,001,5,4,1,,1,,,1,,,,,2,,"Hughes, William K",,,,,
BMEN,6V87,005,,13,,1,,,,,,,,,,,"Porter, Benjamin A",,,,,
CS,6301,004,,5,2,4,,,,,,,,,3,,"Hamlen, Kevin",,,,,
ACCT,6334,501,,1,4,2,2,3,2,,,,,,,,"Hes, Christopher A","Anwer, Jordan J",,,,
HONS,3199,H15,1,7,5,,,,,,1,,,,,,"Harrington, James","Park, Yong Jun",,,,
MIS,6364,501,,3,3,5,3,,,,,,,,,,"Narayan, Ravishankar L",,,,,
CRWT,3307,002,,12,2,,,,,,,,,,,,"Kimzey, Blake G",,,,,
CRWT,3351,HN1,2,8,3,,1,,,,,,,,,,"Leverone, Julia",,,,,
ATCM,4379,002,5,1,8,,,,,,,,,,,,"Chandler, Adam W",,,,,
AUD,6V20,102,,14,,,,,,,,,,,,,"Lobarinas, Edward","Warner-Czyz, Andrea D","Wiseman, Kathryn","Grinn, Sarah",,
AUD,7324,001,,5,5,2,1,1,,,,,,,,,"Warner-Czyz, Andrea D","Wiseman, Kathryn",,,,
BMEN,6V87,006,,9,2,,2,,1,,,,,,,,"Varner, Victor",,,,,
CE,4388,003,,9,1,,2,1,1,,,,,,,,"Skinner, Neal G",,,,,
EE,3111,102,,8,2,,3,,,1,,,,,,,"Lee, Gil S","Cheng, Qi",,,,
MECH,4381,004,,4,3,3,3,1,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Dai, Xianming",,,
SE,3341,004,3,1,,1,1,1,2,3,,,1,,1,,"Whalen, Tristan G","Rajapaksha, Rajapaksha Mudalige S",,,,
SE,6367,MS1,,14,,,,,,,,,,,,,"Wong, Weichen E",,,,,
ED,3342,001,,13,,,1,,,,,,,,,,"Parker, Teresa L",,,,,
ED,3345,001,,7,4,,1,2,,,,,,,,,"McNulty, Angela B",,,,,
ED,4344,501,1,4,5,4,,,,,,,,,,,"Huisman, Ingrid",,,,,
ED,4353,001,14,,,,,,,,,,,,,,"Starke, Tamera",,,,,
ACCT,6301,GH1,,12,1,1,,,,,,,,,,,"Barden, John P",,,,,
BCOM,3100,003,1,5,3,,2,1,,,,,,,2,,"de los Santos, Veronica",,,,,
MIS,6204,GH1,,13,1,,,,,,,,,,,,"Nietubicz, Richard A",,,,,
MKT,4370,001,6,5,,1,,1,1,,,,,,,,"Egeland, Rita E",,,,,
MKT,4380,001,,6,2,2,4,,,,,,,,,,"Wu, Fang","Zihagh, Fereshteh",,,,
OB,6301,CH2,,14,,,,,,,,,,,,,"Ferrante, Anne M",,,,,
OB,6301,GH1,,8,5,,,,1,,,,,,,,"Hicks, Jeffrey N",,,,,
OPRE,6301,GH1,,8,3,1,1,,,1,,,,,,,"Bush, Rhonda L","Wang, Shouqiang",,,,
PHYS,4373,101,,10,2,2,,,,,,,,,,,"Slinker, Jason D","Wettasinghe, Ashan P",,,,
HONS,3199,H13,1,12,,,,,,,,,,,,,"Hatfield, Charles D",,,,,
HONS,3108,HN1,2,12,,,,,,,,,,,,,"Prakash, Ravi",,,,,
HCS,7309,001,,5,3,2,3,,1,,,,,,,,"Hart, John",,,,,
HUSL,6350,501,,6,4,1,1,,,2,,,,,,,"Prieto, Rene",,,,,
HONS,3199,HN2,3,7,4,,,,,,,,,,,,"LaDow, Eva S",,,,,
SMED,5303,501,,12,1,,,,,1,,,,,,,"McConnell, James S",,,,,
CHIN,1311,001,7,3,4,,,,,,,,,,1,,"Chen, Bei",,,,,
CRWT,2301,501,,10,4,1,,,,,,,,,,,"Kimzey, Blake G",,,,,
MUSI,3186,001,,14,,,,,,1,,,,,,,"Durbin, Kelly",,,,,
CE,3102,103,,14,,,1,,,,,,,,,,"Hu, Yang","Wang, Jianda","Wei, Haoran","Bo, Yu",,
SE,3162,094,,10,1,1,,,1,,,,,,2,,"Smith, Klyne",,,,,
GISC,6325,501,,5,5,,2,,,1,,,,,2,,"Cummings, Anthony R","Liau, Yan-Ting",,,,
HONS,3101,HN1,,13,,,2,,,,,,,,,,"Harpham, Edward",,,,,
HONS,3111,HN1,2,12,1,,,,,,,,,,,,"Thompson, Christina M",,,,,
HONS,3199,H14,,15,,,,,,,,,,,,,"Rankin, Monica A",,,,,
HONS,3199,HN6,,15,,,,,,,,,,,,,"Stefan, Mihaela C",,,,,
ENGY,6V99,001,,15,,,,,,,,,,,,,"Molina, Stephen",,,,,
FERM,6332,FS1,,4,3,2,3,3,,,,,,,,,"Xiao, Wenjing",,,,,
BIOL,3357,001,2,2,7,3,,1,,,,,,,,,"Hill, Brenna R",,,,,
ARTS,3364,001,4,11,,,,,,,,,,,,,"Brown-Pearn, Spencer S",,,,,
BMEN,4110,101,6,1,1,4,2,,,,,,,,1,,"Ardestani Khoubrouy, Soudeh","Sanchez, Camilo A",,,,
BMEN,4110,104,4,2,1,2,,,2,,4,,,,,,"Ardestani Khoubrouy, Soudeh","Abraham, Alejandro",,,,
ACCT,6332,0W1,,2,1,2,2,2,4,2,,,,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,
OPRE,7353,001,,6,3,3,3,,,,,,,,,,"Dawande, Milind",,,,,
CRWT,2301,001,5,8,1,1,,,,,,,,,,,"Norman, Susan M",,,,,
MKT,6352,502,,3,1,6,5,,,,,,,,,,"Friedman, Joshua B",,,,,
BIOL,4380,304,,3,1,3,3,3,,1,,,,1,,,"Borovkov, Irina G","Wei, Hong",,,,
GEOS,2302,001,1,1,2,1,3,3,3,,1,,,,,,"Cummings, Anthony R","Liau, Yan-Ting",,,,
DANC,2333,001,12,1,1,1,,,,,,,,,,,"Owens, Misty",,,,,
ARTS,3376,001,1,7,4,,2,,,1,,,,,,,"Carter, Rebecca S",,,,,
MECO,6312,502,,7,6,1,1,,,,,,,,,,"Zentner, Alejandro","Rupp, Anin D",,,,
MIS,6357,001,,15,,,,,,,,,,,,,"Johnston, Walter L",,,,,
BUAN,6340,002,,4,8,2,,,,,,,,,1,,"Ge, Ling","Shankar, Santhosh",,,,
LIT,2341,501,,4,6,2,3,,,,,,,,,,"Austin-Bolt, Caroline M",,,,,
MUSI,3380,001,,8,5,2,,,,,,,,,,,"Madriguera, Enric F",,,,,
ATCM,4320,001,,4,8,2,,,,,,,,,1,,"Nguyen, Josef D",,,,,
ATCM,4395,001,,6,1,,2,,1,2,,,1,,2,,"Nguyen, Josef D",,,,,
AUD,7310,001,,14,,1,,,,,,,,,,,"Clark, Jackie L",,,,,
CGS,3361,001,1,1,1,1,1,3,3,1,1,2,,,,,"Wig, Gagandeep S","Agres, Phillip F",,,,
HDCD,6319,001,,13,,,1,,,1,,,,,,,"Touchstone, Emily W",,,,,
BMEN,3130,102,,3,6,3,1,,,1,,,,,1,,"Bian, Fang","Shihabeddin, Tarik",,,,
BMEN,4110,105,1,5,1,,3,3,,2,,,,,,,"Pacheco, Joe","Sanchez, Camilo A","Jang, Jaein",,,
BMEN,4110,106,,5,4,1,4,,1,,,,,,,,"Pacheco, Joe","Sanchez, Camilo A","Jang, Jaein",,,
CS,4141,115,13,,,,,,1,,,,,,1,,"Becker, Eric W","Shah, Trusit Sandipbhai","Adebiyi, Abdulmateen A",,,
EE,3111,101,,8,5,1,,,,,,,,,1,,"Lee, Gil S","Cheng, Qi",,,,
EE,4391,001,,3,1,1,3,1,,4,,,1,1,,,"Overzet, Lawrence","Wang, Zhengyang",,,,
MECH,4381,002,,2,4,5,1,1,1,1,,,,,,,"Hart, Robert A","Gravell, Jamie D","Fadda, Dani Z",,,
MECH,4381,005,,3,6,4,2,,,,,,,,,,"Hart, Robert A","Gravell, Jamie D",,,,
MECH,4381,006,,4,7,1,2,,1,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Wilt, James C",,,
