Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BIOL,3101,0U4,4,8,6,7,2,1,1,,1,,,,,,,"Srikanth, Uma","Tandon, Neha Ramesh",,,,
BIOL,3101,0U5,4,8,8,3,2,6,1,,,,,,,,,"Srikanth, Uma","Upreti, Chahat",,,,
BIOL,3102,0U1,2,2,2,5,3,1,1,2,1,,,,,,,"Srikanth, Uma",,,,,
BIOL,3102,0U2,4,1,2,2,1,1,1,1,,,,1,,,,"Srikanth, Uma","Alemi, Parinazsadat",,,,
BIOL,3102,0U3,2,3,2,6,4,7,4,1,1,,,,,,,"Srikanth, Uma","Bautista, Monica A",,,,
BIOL,3161,0U1,,9,8,7,10,9,6,4,1,1,,,,,,"Candas, Mehmet",,,,,
BIOL,3161,0U2,1,4,7,15,10,5,3,3,2,,,1,,,,"Candas, Mehmet",,,,,
BIOL,3161,0U3,2,9,4,13,7,8,5,2,1,,,,1,,,"Candas, Mehmet",,,,,
BIOL,3162,0U1,1,1,5,9,4,2,3,,,,,,,,,"Candas, Mehmet",,,,,
BIOL,3162,0U2,,2,3,,2,3,1,,,,,,,,,"Candas, Mehmet",,,,,
BIOL,3162,0U3,1,1,1,2,5,1,,2,1,,,,,,,"Candas, Mehmet",,,,,
BIOL,3301,0U1,31,38,39,25,14,19,5,,2,,,,,,,"Srikanth, Uma","Tandon, Neha Ramesh","Cao, Lian","Upreti, Chahat","Tian, Jing",
BIOL,3302,0U1,8,6,6,13,8,9,6,4,2,,,1,,,,"Srikanth, Uma","Thomas-Jardin, Shayna E","Alemi, Parinazsadat","Bautista, Monica A",,
BIOL,3361,0U1,3,21,15,32,23,21,12,9,3,1,,,1,,,"Candas, Mehmet","Ashrafi, Adnin","Kunder, Nikesh Prakash","Chen, Hao",,
BIOL,3362,0U1,2,4,7,10,10,5,4,2,1,,,,,,,"Candas, Mehmet","Petter, Andrew T","Song, Ming","Ray, Ashvini",,
BIOL,3380,1U1,,1,3,4,3,2,1,2,1,,4,,3,,,"Rippel, Scott A","Zhi, Jiahe",,,,
BIOL,3380,1U2,1,1,3,1,3,4,3,2,1,,,,2,,,"Pickett, Elizabeth A","Hulyalkar, Neha V",,,,
BIOL,3380,1U3,1,,2,2,6,4,,2,1,3,1,,,,,"Rippel, Scott A","Konduri, Purna Chaitanya",,,,
BIOL,3380,1U4,2,3,4,,3,1,,2,,1,1,1,1,,,"Pickett, Elizabeth A","Wang, Tianyuan",,,,
BIOL,3455,0U1,1,15,23,16,19,15,6,6,1,3,,1,3,,,"Ramirez, Ruben D","Zhang, Bei","Daescu, Kelly J","Zhang, Bo",,
BIOL,3456,1U1,1,6,2,3,1,5,,3,,,1,,,,,"Yu, Wen H",,,,,
BIOL,3456,1U2,1,6,4,5,4,3,1,1,1,,,,,,,"Yu, Wen H",,,,,
BIOL,3520,3U1,10,12,1,4,2,1,,,,,,,,,,"Mehta, Iti","Ebrahimzadeh Pirshahid, Tahmineh","Ratna, Tahira Amdid","Sawant, Namrata V",,
BIOL,3520,3U2,5,11,7,1,3,1,1,1,,,,,,,,"Mehta, Iti","Sharon, Belle M","Dahl, Haley C",,,
BIOL,4353,5U1,2,11,5,1,7,2,,3,,,1,,,,,"Burr, John G","Easterwood, Shayne","Lewis, Anthony J",,,
BIOL,4366,5U1,2,7,,,5,,,,,,,,,,,"Burr, John G","Dey, Sanchareeka","Easterwood, Shayne",,,
BIOL,4380,1U1,,5,2,7,7,,,1,1,,,,,,,"Braitsch, Caitlin M","Nowak, Chance M","Parekh, Trusha",,,
BIOL,6341,5U1,,15,,,4,,,,,,,,,,,"Burr, John G","Dey, Sanchareeka","Easterwood, Shayne",,,
BIOL,6345,5U1,,13,1,1,1,,,,,,,,,,,"Burr, John G","Easterwood, Shayne","Lewis, Anthony J",,,
BIS,2190,0W1,15,3,,,1,,2,1,,,,,,,,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,
BIS,3320,091,2,1,4,1,3,1,1,,,,,,1,,,"Wright, David A",,,,,
BIS,3320,0U1,11,6,7,3,3,,,3,,,,,2,,,"Wright, David A",,,,,
BLAW,2301,5U1,,7,5,14,11,11,8,4,6,,1,,9,,,"Betanzos, Christina L","Sandhu, Gurvinder",,,,
BMEN,3150,001,,,3,1,2,4,2,3,1,,,,,,,"Winter, Patrick M","Kashef, Sina",,,,
BMEN,3320,0U1,2,2,1,3,2,1,1,,,,,,1,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,
BMEN,3350,0U1,2,2,3,5,4,3,1,1,,,1,,1,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,
BMEN,3402,0U1,1,2,,,1,1,2,1,2,,1,1,1,,,"Ardestani Khoubrouy, Soudeh","Kashef, Sina",,,,
BMEN,4388,0U1,,3,10,8,9,3,4,,,,,,,,,"Polk, Todd W",,,,,
BMEN,4V95,5U1,14,10,3,1,1,,,,,,,,,,,"Porter, Benjamin A","Kashef, Sina",,,,
BPS,4305,0U1,28,2,2,2,2,3,,1,1,,,,2,,,"Carraher, Shawn M",,,,,
BPS,4305,5E1,12,1,1,,1,2,,,,,1,,1,,,"Carraher, Shawn M",,,,,
BPS,4305,5U1,,12,10,8,8,2,,,,,,2,,,,"Kim, Dong Shin",,,,,
BPS,6310,0W1,,20,4,2,,,,,,,,,1,,,"Kaplan, Marilyn R",,,,,
BPS,6310,GW1,,11,3,1,,,,,,,,,,,,"Choi, Emily",,,,,
BPS,6310,MBP,,20,6,3,4,,1,,,,,,,,,"Chasteen, Larry H","Balaji, Pavithra",,,,
BPS,7303,0U1,,21,,,,,,,,,,,,,,"Watson, John M",,,,,
BUAN,6312,0W1,,6,10,14,4,3,1,,,,,,,,,"Blueshtein, Moran","Smith, Jake A",,,,
BUAN,6320,0U1,,22,,,,,,,,,,,,,,"Narayan, Ravishankar L","Kulkarni, Aniket S",,,,
BUAN,6320,SW1,,11,,,,,,,,,,,,,,"Narayan, Ravishankar L","Kulkarni, Aniket S",,,,
BUAN,6337,0W1,,11,19,6,,,,,,,,,,,,"Subramanian, Upender","Alavi, Seyyedeh Soogand",,,,
BUAN,6340,5U1,,30,8,3,4,2,1,,,,,,,,,"Parker, Jason A","Zhang, Hong",,,,
BUAN,6341,0W1,,12,4,3,8,1,,,,,,,,,,"Sohaee, Nassim",,,,,
BUAN,6346,5U1,,20,5,,2,,,,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,
BUAN,6346,5U2,,51,,,,,,,,,,,,,,"Elkhodari, Gasan",,,,,
BUAN,6356,5U1,,20,1,,1,,,,,,,,,,,"Johnston, Walter L",,,,,
BUAN,6356,5U2,,1,4,,2,3,,,,,,,,,,"Chatterjee, Sourav",,,,,
BUAN,6357,0U1,,3,5,4,2,1,,,,,,,,,,"Chatterjee, Sourav","Sun, Kai",,,,
BUAN,6398,5U1,,6,2,2,1,5,3,2,,,,,,,,"Ramezani, Rasoul","Zhang, Minmin",,,,
CE,3201,0U1,1,3,2,3,,,,,,,1,,,,,"Nikoubin, Tooraj","Steele, Alec M","Jain, Apurva",,,
CE,3202,0U1,,2,1,1,5,,,3,1,,,,,,,"Kiasaleh, Kamran","Apalak, Merve",,,,
CE,3301,0U1,3,10,,1,2,1,,2,1,,,1,1,,,"Tacca, Marco","Abousaba, Mohammad F","Wang, Jianda",,,
CE,3310,0U1,1,2,1,2,4,4,2,8,2,,,,1,,,"Lee, Jeong-Bong",,,,,
CE,3311,5U1,,5,1,4,1,,,,,,,,,,,"Sechen, Carl","Hu, Bo","Palit, Prithviraj",,,
CE,3320,0U1,1,3,2,1,2,,2,,,,2,,,,,"Nikoubin, Tooraj","Sears, Mark R",,,,
CE,4389,0U1,3,5,,5,,,,,,,,,,,,"Bhatia, Dinesh","Gandluru, Veerabharathchandrareddy",,,,
CGS,3361,0U1,,4,1,3,1,,,,,1,1,,,,,"Cavazos, Jacqueline G","Lung, Tzu-Chen",,,,
CHEM,1111,1U1,5,4,4,2,3,3,,2,,1,,,2,,,"Dissanayake, Dushanthi S","Perez Medina, Luciano","Sheybani, Simin",,,
CHEM,1111,1U2,12,4,1,,2,3,3,,,,1,1,2,,,"Qin, Yanping","Rifat, Samia","Ahrari, Samira","Firouzi, Hamid Reza","Yan, Qing",
CHEM,1112,1U1,6,6,2,1,2,1,2,,,,,2,3,,,"Qin, Yanping","Ahrari, Samira","Firouzi, Hamid Reza",,,
CHEM,1112,1U2,6,7,2,2,2,2,1,,1,,,,2,,,"Huang, Yu","Sra, Amandeep K","Beck, Erling","Faisal, Tahmid",,
CHEM,1311,0U1,10,33,19,22,11,8,6,6,6,,3,,2,,,"Sra, Amandeep K","Pope, Mitchell A","Alberto, Kevin A","Nguyen, Trang",,
CHEM,1312,0U1,8,29,17,13,11,19,6,8,9,,3,,6,,,"Huang, Yu","Tripathi, Kiran","Miller, Justin T","Shafie, Arefeh",,
CHEM,2123,1U1,20,4,3,,,,,,1,,1,,,,,"Dissanayake, Dushanthi S","Gamage, Prabhath Lakmal",,,,
CHEM,2123,1U2,13,7,3,3,,,,,1,,,,,,,"Cortes, Sergio J","Haque, Syed Fahad Bin",,,,
CHEM,2123,1U3,6,8,2,2,,1,,,1,,,,,,,"Tran, Daniel N","Abbas, Muhammad",,,,
CHEM,2125,1U1,8,10,1,2,1,2,,1,1,1,,,,,,"Abeykoon, Nimali C","Shah, Tejas V",,,,
CHEM,2125,1U2,10,13,3,1,,,,,,,,,1,,,"Abeykoon, Nimali C","Hernandez, Jayoh A",,,,
CHEM,2125,1U3,10,8,3,1,2,1,,,,1,,,,,,"Abeykoon, Nimali C","Lumata, Jenica",,,,
CHEM,2323,0U1,13,16,7,12,12,14,9,5,4,8,,,5,,,"Tran, Daniel N","Boardman, Samuel",,,,
CHEM,2325,0U1,10,13,15,13,15,4,8,9,9,,10,,2,,,"Sibert, John W",,,,,
CHEM,3361,0U1,,1,4,3,4,1,2,1,1,,,1,,,,"Candas, Mehmet","Ashrafi, Adnin","Kunder, Nikesh Prakash","Chen, Hao",,
CLDP,3310,5U1,,4,2,2,2,2,1,,1,,,,,,,"Smith, Olivia","Hafiz, Mariam",,,,
CLDP,3342,0U1,11,9,2,1,2,,,,,1,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,
COMD,5340,0U1,,26,,,,,,,,,,,,,,"Aldridge, Michelle A",,,,,
COMD,6377,0U1,,11,,,1,,,,,,,,,,,"Kenedi, Helen","Sale, Felicity F",,,,
COMD,6V09,0U1,,41,,,,,,,,,,,,,2,"Aldridge, Michelle A",,,,,
COMD,7303,0U1,,104,,,4,,,,,,,,,,,"Dean, Lucinda L","Kenedi, Helen","Poudel, Sonali",,,
COMD,7323,0U1,,16,,,1,,,,,,,,,,2,"Sweeney, Melissa",,,,,
COMD,7345,0U1,,40,,,3,,,,,,,,,,14,"Cook, Lori G","Berglund, Amy",,,,
COMD,7V68,0U1,,37,,,,,,,,,,,,,1,"Sale, Felicity F",,,,,
COMD,7V89,0U1,,30,1,,,1,,,,,,,,,2,"Walsh, Diane G","Moustafa, Rana",,,,
COMM,1311,001,1,1,5,4,2,1,1,,,,1,,1,,,"Arnold, Bob",,,,,
COMM,1311,0W1,5,4,7,1,2,1,,,,,,,1,,,"Templeton, Allison A",,,,,
COMM,1311,0W2,14,4,,2,1,1,,,,,,,,,,"Tanner, Lari J",,,,,
COMM,1311,0W4,5,2,1,1,,,,,,,,,2,,,"Moss, Daniel J",,,,,
COMM,3352,0H1,9,6,,,1,,1,1,,,,,1,,,"Johnson, Janet L",,,,,
COMM,4370,051,,16,4,,,,,,,,,,,,,"Hernandez-Katz, Melissa M",,,,,
CRIM,1301,0U1,,3,6,1,,3,1,,,,,,,,,"Hernandez, Richard",,,,,
CRIM,1307,0U1,1,4,3,1,3,1,1,1,2,,,2,1,,,"Han, Sungil",,,,,
CRIM,3301,0W1,1,10,7,6,4,3,,2,3,1,1,,1,,,"Yim, Haneul","Sanil Mannumood, Merin",,,,
CRIM,3302,0W1,10,6,2,1,,,,,,,1,,1,,,"Polk, Elmer O",,,,,
CRIM,3310,0U1,,28,,,4,,,8,,,3,,2,,,"Park, Yeonjae","Kanvinde, Vrishali",,,,
CRIM,3311,0U1,,2,1,2,2,1,5,2,,,,1,,,,"Riddell, Jordan R",,,,,
CRIM,3320,0U1,5,11,10,11,4,,3,,1,,1,,1,,,"Corey, Jessica","Hayslip, Melissa P",,,,
CRIM,3324,0W1,5,7,7,6,9,7,8,3,,,,1,2,,,"Derlic, Dragana","Sanders, Whitney S",,,,
CRIM,6308,0W1,,17,1,,,,,,,,,,,,,"Polk, Elmer O",,,,,
CRWT,3307,551,3,3,3,,,1,1,,,,,,,,,"Hashim, Sahalie S",,,,,
CS,1134,1U1,18,,1,1,,,,1,,,,,,,,"Min, Richard K",,,,,
CS,1136,1U1,16,,2,,,,,,,1,,,,,,"Min, Richard K",,,,,
CS,1136,1U2,9,,1,,1,,1,,2,,,,,,,"Min, Richard K",,,,,
CS,1325,0U1,4,7,4,7,8,1,1,1,,,,,2,,,"Paulk, Mark C","Tian, Zijing",,,,
CS,1334,0U1,2,5,5,2,2,2,2,,,,1,,1,,,"Arnold, Gordon L",,,,,
CS,1335,0U1,1,5,4,1,3,4,,1,1,2,1,,,,,"Erbatur, Serdar","Guo, Hung-Jui",,,,
CS,1336,0U1,2,6,3,2,3,6,1,,2,,,,3,,,"Arnold, Gordon L",,,,,
CS,1336,5U1,3,5,2,5,2,,,1,2,,,,1,,,"Gupta, Neeraj K","Mahzari, Anahita","Guo, Jianxiong",,,
CS,1337,0U1,2,,2,3,5,2,4,4,1,1,2,1,4,,,"Shields, Charles O","Benton, Samuel D",,,,
CS,1337,0U2,4,2,8,2,2,1,,5,,,,,2,,,"DeGroot, Doug","Guo, Hung-Jui","Benton, Samuel D",,,
CS,2305,0U1,2,6,2,2,4,2,2,1,,1,,,3,,,"Feng, Ranran","Garg, Srishti",,,,
CS,2305,5U1,8,11,,,8,1,,,,,,,1,,,"Farage, Timothy P",,,,,
CS,2336,0U1,18,6,2,2,1,1,,,,,,,,,,"Khan, Ziaullah","Song, Zihe","Lam, Tan D",,,
CS,2336,0U2,,2,4,3,1,3,,1,,1,,1,2,,,"Feng, Ranran","Guo, Jinghui",,,,
CS,2336,5U1,12,16,3,,,,,1,1,,,,,,,"Khan, Ziaullah","Lam, Tan D",,,,
CS,3305,0U1,4,25,,1,3,,1,,,,1,,,,,"Farage, Timothy P",,,,,
CS,3305,0U2,2,2,6,6,9,3,,1,,,,,,,,"Prakash, Ravi",,,,,
CS,3305,0U3,3,4,7,4,4,2,1,,2,,1,,,,,"Kumar, Pushpa S","Guo, Junfeng",,,,
CS,3340,0U1,2,3,5,3,3,3,3,4,,1,,2,,,,"Mazidi, Karen J","Kobayashi, Hideo","Kong, Zelun",,,
CS,3340,0U2,12,3,4,4,3,5,1,3,,,1,,,,,"Karami, Gity","Kong, Zelun","Wang, Haoliang",,,
CS,3341,0U1,15,4,4,4,6,3,2,1,2,,1,1,2,,,"Whalen, Tristan G","Zhen, Zhiwei","Wasala Mudiyanselage, Indrajith K",,,
CS,3345,0U1,5,8,1,3,3,3,,,,1,,,,,,"Ozbirn, Greg A","Wang, Guanghua","Gour, Riti",,,
CS,3345,0U2,2,6,3,5,3,1,2,,,1,,,,,,"Ozbirn, Greg A","Hu, Linghuan",,,,
CS,3345,5U1,9,5,,2,,,,,,,,,,,,"Khan, Ziaullah",,,,,
CS,3354,0U1,6,10,5,,1,1,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,
CS,3354,5U1,3,7,3,1,2,,1,,1,,1,,,,,"Paulk, Mark C","Tian, Zijing",,,,
CS,3360,5U1,2,3,,1,1,2,,1,1,,1,,2,,,"Arnold, Gordon L",,,,,
CS,3377,0W1,6,4,6,8,3,3,3,2,,,,,,,,"Min, Richard K","Rangasamy, Obuli Vignesh",,,,
CS,4141,6U1,15,2,2,1,2,,,1,,,,,,,,"Nguyen, Nhut","Malouf, Brian D",,,,
CS,4301,0U1,14,1,6,2,2,3,2,2,1,,,,1,,,"Karami, Gity","Wang, Haoliang",,,,
CS,4336,0U1,11,8,5,4,2,1,,,1,,,1,4,,,"Ozbirn, Greg A","Wang, Guanghua",,,,
CS,4337,0U1,4,8,5,3,,2,1,,2,,,,,,,"Davis, Chris I","Liu, Bohan",,,,
CS,4337,0U2,12,2,2,5,1,2,1,1,2,,2,,1,,,"Karami, Gity","Ricks, Brian W",,,,
CS,4341,0U1,1,4,6,3,2,,,,3,3,2,,1,,,"Nguyen, Nhut","Malouf, Brian D",,,,
CS,4347,0U1,1,13,4,5,1,,,1,1,1,,,1,,,"Cankaya, Ebru C","Li, Xiao",,,,
CS,4347,0U2,6,3,4,5,1,,,,,,1,,1,,,"Christiansen, Michael G","Garg, Srishti",,,,
CS,4348,0U1,3,4,9,4,8,7,1,,2,,1,,,,,"Christiansen, Michael G","Mukherjee, Kunal",,,,
CS,4348,5U1,1,3,2,4,2,5,,,3,,,1,2,,,"Salazar, Elmer E","Wang, Chengen",,,,
CS,4349,0U1,7,13,3,1,7,,,1,,,,,,,,"Cankaya, Ebru C","Ashtiani, Omeed E","Guo, Junfeng",,,
CS,4349,0U2,1,7,7,2,2,3,1,,,,,,,,,"Erbatur, Serdar",,,,,
