Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,6301,501,,30,16,8,5,1,,2,,,,,3,,,,,0,"Barden, John P","Gonzalez, Jacob E",,,,
ACCT,6301,CH1,,28,,2,,,,,,,,,,,,,,0,"Barden, John P",,,,,
ACCT,6301,GW1,,40,1,,1,,,,,,,,,,,,,0,"Barden, John P",,,,,
ACCT,6301,MBC,,34,8,,,,,1,,,,,,,,,,1,"Radhakrishnan, Suresh","Zhang, Ye",,,,
ACCT,6301,MBP,,23,5,,2,,,1,,,,,,,,,,2,"Radhakrishnan, Suresh","Zhang, Ye",,,,
ACCT,6301,X01,,12,3,6,2,,,,,,,,,,,,,0,"Ali, Ashiq",,,,,
ACCT,6305,001,,12,7,13,4,4,5,,,,,,,,,,,0,"Li, Ningzhong","Kim, Jongha",,,,
ACCT,6305,501,,8,5,11,2,2,2,,,,,,1,,,,,0,"Li, Ningzhong","Kim, Jongha",,,,
ACCT,6305,502,,10,6,10,4,4,3,,,,,,,,,,,0,"Li, Ningzhong","Kim, Jongha",,,,
ACCT,6330,501,,6,,,1,,,6,,,,,1,,,,,2,"Cready, William M",,,,,
ACCT,6331,501,,4,,2,1,,1,,,,,,,,,,,2,"Janakiraman, Surya","Huang, Ziqi",,,,
ACCT,6331,S01,,4,4,1,,2,1,,,,,,1,,,,,0,"Janakiraman, Surya","Huang, Ziqi",,,,
ACCT,6332,501,,9,,,4,,,6,,,,,2,,,,,3,"Zolton, Kathy","Huang, Ziqi",,,,
ACCT,6333,501,,16,,,10,,,6,,,,,1,,,,,3,"Zolton, Kathy","Kim, Jongha",,,,
ACCT,6333,PPA,,26,,,29,,,11,,,,,,,,,,0,"Zolton, Kathy","Kim, Jongha",,,,
ACCT,6333,S01,,8,,,4,,,5,,,,,,,,,1,0,"Zolton, Kathy","Kim, Jongha",,,,
ACCT,6334,0W1,,12,,,15,,,2,,,,,,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,
ACCT,6335,0W1,,19,18,14,10,,,2,,,,,1,,,,,1,"Bortz, Tiffany A","Sam, Brittany R",,,,
ACCT,6336,001,,11,5,4,3,,2,3,,,,,1,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACCT,6341,5H1,,19,6,4,5,,,2,,,,,,,,,,0,"Goodrich, Mary Beth W",,,,,
ACCT,6344,0W1,,34,13,8,4,1,,,,,,,1,,,,,1,"Gurun, Umit","Yayvak, Berk",,,,
ACCT,6345,501,,10,8,5,4,,,,,,,,1,,,,,0,"Janakiraman, Surya","Huang, Ziqi",,,,
ACCT,6349,0W1,,8,9,,,,,,,,,,,,,,,0,"Majumdar, Sumit K","Bhattacharjee, Rajesh",,,,
ACCT,6350,501,,13,4,5,1,,,,,,,,1,,,,,1,"Solcher, Steven J","Estevan, Ellery B",,,,
ACCT,6350,S01,,9,,,1,1,,,,,,,,,,,,0,"Gamino, John P",,,,,
ACCT,6353,501,,8,14,10,7,1,,,,,,,,,,,,0,"Solcher, Steven J","Estevan, Ellery B",,,,
ACCT,6353,PPA,,6,20,6,4,,,,,,,,,,,,,0,"Solcher, Steven J","Estevan, Ellery B",,,,
ACCT,6354,501,,5,,2,2,1,,2,,,,,,,,,,0,"Pang, Wenjin",,,,,
ACCT,6356,501,,24,4,4,5,,,1,,,,,,,,,,1,"Gamino, John P",,,,,
ACCT,6365,501,,7,6,11,9,7,4,2,,,,,,,,,,1,"Cheng, Samuel",,,,,
ACCT,6365,S01,,1,3,2,3,2,,2,,,,,,,,,,1,"Cheng, Samuel",,,,,
ACCT,6374,501,,11,11,7,1,,,,,,,,,,,,,0,"Mauriello, Joseph A",,,,,
ACCT,6377,501,,25,10,4,3,1,,,,,,,,,,,,0,"Ballew, Gregory E",,,,,
ACCT,6380,501,,6,3,1,1,,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACCT,6383,501,,16,,8,21,,1,1,,,,,,,,,,0,"Bracy, Dana",,,,,
ACCT,6386,001,,12,12,6,2,1,,1,,,,,,,,,,1,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACCT,6392,501,,19,9,1,1,,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACN,6312,003,,13,2,5,2,1,,,,,,,,,,,,1,"Fearon, Danielle","Gryder, Kieth",,,,
ACN,6312,004,,7,2,2,2,1,2,3,,,,,,,,,,4,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Behboudi, Mohammad Hossein",,,
ACN,6323,001,,14,,1,1,,,3,,,,,,,,,,0,"Rennaker, Robert L",,,,,
ACN,6340,001,,9,3,3,4,2,1,2,,,,,3,,,,,1,"Kroener, Sven",,,,,
ACN,6341,0W1,,31,3,,,,,,,,,,1,,,,,0,"Orrick, Erika D",,,,,
ACN,6345,001,,9,1,4,2,2,,,,,,,1,,,,,0,"Rodriguez, Christa M",,,,,
ACN,6346,001,,29,9,1,1,1,2,2,,,,,,,,,,1,"Thompson, Lucien",,,,,
ACN,6348,501,,8,5,2,3,,,,,,,,,,,,,1,"Golden, Richard","Malaiya, Ritesh K",,,,
ACN,6373,0W1,,20,,3,1,,,,,,,,,,,,,0,"Overzet, Kathryn M",,,,,
ACN,6388,001,,8,2,1,,,,,,,,,1,,,,,2,"Kilgard, Michael",,,,,
ACN,6395,001,,7,,,9,,,3,,,,,2,,,,,2,"Wig, Gagandeep S",,,,,
ACN,6395,0W1,,32,3,3,2,,1,,,,,,,,,,,0,"Hooge, Kimberley O",,,,,
ACN,7372,0H1,,15,,,,,,,,,,,,,,,,1,"Jahangiri, Faisal R",,,,,
ACTS,4303,001,1,5,2,1,2,,,1,,2,1,,,,,,,0,"Humphreys, Natalia A","Liu, Jingzhou",,,,
ACTS,4304,001,1,3,5,2,2,4,4,1,,,,,,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,4307,001,9,2,4,1,2,1,1,,,,,,,,,,,0,"Hong, Liang","Yang, Haopeng",,,,
ACTS,4308,501,9,6,4,5,3,4,1,2,,,,1,2,,,,,0,"Koshevnik, Yuly","Yang, Haopeng",,,,
ACTS,4309,001,,1,3,3,3,2,2,1,,1,,,,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,6307,001,,6,3,,,,,,,,,,,,,,,0,"Hong, Liang",,,,,
AHST,1304,001,22,19,23,8,15,10,6,4,,,1,1,5,,,,,1,"McDonald, Jacquelyn D","Barnes, Claudia",,,,
AHST,1304,002,31,17,19,14,13,5,3,2,,,1,1,3,,,,,4,"McDonald, Jacquelyn D","Ghahari Kermani, Arash",,,,
AHST,2331,001,20,15,15,9,12,7,7,8,6,2,3,2,8,,,,,1,"Alibhai, Ali Asgar H","Esmail, Fatima N",,,,
AHST,2331,HN1,16,8,1,1,,,,,,,,,1,,,,,0,"Hofland, Amy",,,,,
AHST,3316,001,10,21,3,3,4,4,,,,1,1,,1,,,,1,1,"Rosen, Mark S","Sahin, Merve",,,,
AHST,3320,001,12,2,2,2,1,3,,,,,1,2,3,,,,1,1,"Alibhai, Ali Asgar H",,,,,
AMS,2341,001,,8,14,6,24,3,3,1,3,,1,,3,,,,,2,"Naqvi, Syed K",,,,,
AMS,2341,HN1,,16,5,2,1,,,,,,,,,,,,,0,"Naqvi, Syed K",,,,,
AMS,2390,001,,3,1,3,2,1,1,,,,,,4,,,,,0,"Pogue, Neall W",,,,,
AMS,2390,002,,3,4,1,2,,1,1,,,,,,,,,,0,"Naqvi, Syed K",,,,,
AMS,3316,0W1,14,11,9,1,4,4,,3,1,,,,2,,,,,0,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,2,5,2,,3,,,1,,,,,1,,,,,0,"Ross, Alyssa N",,,,,
AMS,4305,5H1,,2,4,2,1,2,,,,,,,,,,,,0,"Cotton, Scott C",,,,,
AMS,4379,0W1,1,3,1,2,2,1,1,1,,,,,1,,,,,0,"Hudson, Jennifer M",,,,,
AMS,4379,0W2,9,9,2,2,2,,1,1,,,,2,4,,,,,1,"Winstead, Elizabeth L",,,,,
ARAB,1311,002,3,5,7,,,,,,,,,,,,,,,0,"Arrabai, Mustafa M",,,,,
ARHM,1100,001,14,19,,5,2,1,1,1,2,,1,,7,,,,,4,"Gray, Megan L",,,,,
ARHM,2340,001,5,12,,1,,,,,,,,1,,,,,,0,"Avram, Danielle M",,,,,
ARHM,2340,002,6,7,,2,4,1,2,3,,1,1,,1,,,,,2,"Grohman, Magdalena G",,,,,
ARHM,3342,001,,3,1,6,8,3,2,3,,,,,1,,,,,2,"Wickberg, Daniel",,,,,
ARHM,3342,002,1,3,1,,4,,,1,,,,,,,,,,1,"Gossin, Pamela",,,,,
ARHM,3342,501,4,3,3,3,,1,,,,1,,,1,,,,,2,"Pfister, Debra H",,,,,
ARHM,6310,501,,11,,,4,,,2,,,,,1,,,,1,1,"Malina, Roger F","Riccio, Thomas P",,,,
ARTS,1301,0W1,102,15,5,5,4,1,1,2,,1,,1,2,,,,,1,"Wilder, James E","Takaloubighash, Maryam","Song, Haoyi",,,
ARTS,1316,001,3,8,6,1,,,,,,,,,,,,,,0,"Min, Inki A",,,,,
ARTS,1316,002,2,7,5,1,,,1,,1,,,,,,,,,1,"Cochran, Kristen N",,,,,
ARTS,1316,003,1,8,6,,3,,,1,,,,,,,,,,0,"Travis, Audrey",,,,,
ARTS,1316,004,4,9,4,,,,,,,,,,,,,,,1,"Fridge, Brian D",,,,,
ARTS,1316,501,8,4,1,,1,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,
ARTS,2315,001,,4,4,2,2,3,1,,,,,,,,,,,0,"Palmer, Marcy A",,,,,
ARTS,2316,001,,5,5,2,2,1,,,,,,,,,,,,1,"Ligon, Peter A",,,,,
ARTS,2316,501,11,4,,,,,,,,,,,2,,,,,0,"Egan, Trey T",,,,,
ARTS,2348,001,8,3,2,2,,,,,,,,,1,,1,,,2,"Reyes, Marcela",,,,,
ARTS,2350,001,,6,4,3,1,,1,,,,,,2,,,,,0,"Copeland, Colette",,,,,
ARTS,2350,002,6,,3,2,1,1,,,1,,1,,,,,,,1,"Lyon, Tara L",,,,,
ARTS,2380,001,9,4,3,,,,,,,,1,,1,,,,,0,"Egan, Trey T",,,,,
ARTS,2380,501,15,,,,,1,,,,,,,1,,,,1,0,"Curry, Val",,,,,
ARTS,2381,001,2,5,,1,,3,,,,,1,,1,,,,,2,"Cochran, Kristen N",,,,,
ARTS,3311,001,2,4,2,1,,1,2,1,,,2,,1,,,,,0,"Copeland, Colette",,,,,
ARTS,3340,001,3,4,,,,,,,,,,,3,,,,,0,"Loving, Emily",,,,,
ARTS,3341,001,,18,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,
ARTS,3363,001,5,5,,1,1,,1,2,,,,,2,,,,1,1,"Tady, Lorraine T",,,,,
ARTS,3364,001,6,8,2,,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,
ARTS,3366,501,8,3,1,4,2,1,,,,,,,,,,,,0,"Reyes, Marcela",,,,,
ARTS,3367,001,6,9,4,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,
ARTS,3367,002,19,,,,,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,
ARTS,3368,001,,8,5,1,,,1,1,,,,,,,,,,1,"Cochran, Kristen N",,,,,
ARTS,3369,001,,12,,,,,,,,,,,,,,,,1,"Tady, Lorraine T",,,,,
ARTS,3371,001,,,5,2,3,2,1,,,,,,1,,,,,0,"Miller, Cynthia M",,,,,
ARTS,3371,002,2,4,3,1,2,2,,,,,,,1,,,,,0,"Durant, Stephanie D",,,,,
ARTS,3372,001,,1,11,1,1,2,,1,,,,,,,,,,0,"Palmer, Marcy A",,,,,
ARTS,3372,501,2,9,1,1,1,,,,,,,,2,,,,,1,"Loving, Emily",,,,,
ARTS,3375,001,7,4,3,1,,,,,,,,,,,,,,0,"Randall, Steven V",,,,,
ARTS,3377,001,2,4,3,5,2,,,,1,,,,,,,,,0,"Waligore, Marilyn A",,,,,
ARTS,3382,001,2,13,,1,2,,,1,,,,,,,,,,0,"Tady, Lorraine T",,,,,
ARTS,3383,001,7,7,1,3,1,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,
ARTS,4308,001,1,7,,3,3,,,,,,1,,,,,,,1,"Durant, Stephanie D",,,,,
ARTS,4310,001,2,8,,2,1,,,,,,,,1,,,,,0,"Avram, Danielle M",,,,,
ARTS,4368,001,3,8,,,,,,,,,,,,,,,,0,"Pomara, John",,,,,
ATCM,1100,001,14,9,1,3,7,,1,2,,,,,7,,,,,0,"Roberts, Jazzmyn C",,,,,
ATCM,1100,002,14,8,3,,6,1,3,4,,,2,,3,,,,,0,"Roberts, Jazzmyn C",,,,,
ATCM,1100,003,11,15,7,4,1,,,1,1,,2,,2,,,,,0,"Gutierrez, Alejandra",,,,,
ATCM,1100,0L1,20,5,3,3,3,1,1,1,,1,2,,,,,,,1,"Henderson, Kelley A",,,,,
ATCM,1100,5L1,19,4,1,4,,,2,3,,2,1,,3,,,,,1,"Henderson, Kelley A",,,,,
ATCM,2300,001,77,75,50,30,33,8,3,8,4,,1,2,5,,,,,4,"Balsamo, Anne","Khatri, Hamida","Whitlock, Kathryn","Hernandez, Luke A","Cole, Abby","Acton, Logan H"
ATCM,2301,001,8,10,2,,1,3,,1,,,,,2,,,,,1,"Simsek, Cansu Nur",,,,,
ATCM,2301,002,,17,,,10,,,,,,1,,1,,,,,1,"Fladager, Evan J",,,,,
ATCM,2301,003,,1,2,2,8,5,2,2,4,,,,1,,,,,3,"Jones, Jazmine Q",,,,,
ATCM,2301,004,2,9,5,3,3,3,,1,1,,,,2,,,,,1,"Hoggatt, Zane C",,,,,
ATCM,2301,005,25,,1,1,,,,,,,,,3,,,,,0,"Banditrat, Emily",,,,,
ATCM,2301,0L1,1,2,6,3,4,,4,2,3,,1,1,1,,,,,2,"Jones, Jazmine Q",,,,,
ATCM,2301,0L2,3,5,6,4,2,1,2,1,,,,,1,,,,,0,"Trosper, Elizabeth M","Gupta, Suvash",,,,
ATCM,2301,0L3,8,1,4,5,,3,,,3,,,1,3,,,,,2,"Doust-Haghighi, Elham",,,,,
ATCM,2301,501,,2,2,2,3,4,1,4,2,,,,5,,,,,3,"Marder, Amanda K",,,,,
ATCM,2301,502,4,4,6,3,,4,2,,,,1,2,,,,,,1,"Jaeggli, Erika",,,,,
ATCM,2302,001,9,9,1,2,1,2,,1,,,,2,2,,,,,1,"Ashkaboosi, Maryam",,,,,
ATCM,2302,002,10,8,3,2,2,1,,,,1,1,,2,,,,,0,"Beverly, Diamond E",,,,,
ATCM,2302,003,2,11,,,4,1,1,4,1,,1,1,4,,,,,0,"Paiva Homsi, Murilo",,,,,
ATCM,2302,004,10,8,2,,2,1,2,2,,,1,1,2,,,,,0,"McClanahan, Sara N",,,,,
ATCM,2302,005,3,16,1,2,4,,1,,,1,,,2,,,,,0,"Minnish, Roxanne W","Ashouri, Shaghayegh","De Leon, Jennifer M",,,
ATCM,2302,006,7,10,6,1,1,2,,2,,,,,1,,,,,0,"Minnish, Roxanne W","De Leon, Jennifer M","Ashouri, Shaghayegh",,,
ATCM,2302,007,5,6,5,2,4,2,,,,2,2,,1,,,,,0,"Beverly, Diamond E",,,,,
ATCM,2302,0H1,7,4,4,,3,2,6,1,1,,,1,,,,,,0,"Nguyen, Tuoc K",,,,,
ATCM,2302,501,9,6,9,1,,,,1,,1,,,2,,,,,1,"Gonzalez, Isi J",,,,,
ATCM,2302,502,6,2,5,3,2,1,,2,2,,,1,6,,,,,0,"Gonzalez, Isi J",,,,,
ATCM,2303,001,64,71,33,14,2,3,3,1,,1,,,4,,,,,1,"Ayres, Cameron M","Denner, Grace A","Fernandez, Daniel S","Piantino, Raquel C",,
ATCM,2310,001,86,35,36,20,15,16,5,7,3,8,,1,26,,,,1,10,"Salter, Monika M","Lewis, Timothy M","McCord, Peter A","Fechter, Todd A","Johnson, Casey A","Denner, Grace A"
ATCM,2315,001,4,19,32,13,7,4,9,2,2,2,,1,3,,,,1,1,"Veras de Souza, Christine","Wu, Benjamin","Chaudhary, Anisha",,,
ATCM,2320,001,,4,8,6,2,3,1,,,,,1,4,,,,,0,"Imaoka, Laura","Vo, Angelene H",,,,
ATCM,2321,001,,26,1,,,,,,1,,1,,1,,,,,0,"Nguyen, Josef D",,,,,
ATCM,2321,002,,5,9,6,2,1,3,1,,,,,2,,,,,0,"Valkanova, Dora","Rahman, Mohammad K",,,,
ATCM,2322,001,1,8,11,9,10,14,2,7,3,1,1,1,6,,,,,2,"Valkanova, Dora","Rahman, Maruf","Haborak, Fiona K",,,
ATCM,2330,0W2,,6,4,5,4,2,1,,2,,3,1,4,,,,,2,"Nielsen, Christina R","Clement, Shonte M","Martinez Ochoa, Angelica Miriam M","O'Neill, Cynthia M",,
ATCM,2330,0W3,3,2,8,3,4,3,3,1,2,,2,,2,,,,,0,"Nielsen, Christina R","Clement, Shonte M","O'Neill, Cynthia M","Martinez Ochoa, Angelica Miriam M",,
ATCM,2335,503,2,2,2,2,,2,1,,,,,,2,,,,1,1,"Starzer, Kenneth W",,,,,
ATCM,2340,001,,39,,,39,,,16,,,6,,,,,,,0,"Lester, Paul","Trotter, Caroline G","Haws, Tyler",,,
ATCM,2345,001,4,4,4,3,1,4,1,1,1,,,,4,,,,,3,"Fitzgerald, Harold E",,,,,
ATCM,2345,002,2,1,10,5,2,5,1,,1,,,,2,,,,,1,"Fitzgerald, Harold E",,,,,
ATCM,2345,003,3,3,3,4,4,3,,,3,,,,6,,,,,1,"Fitzgerald, Harold E",,,,,
ATCM,2345,004,5,5,5,3,2,2,,3,1,,,,2,,,,,2,"Marks, David E",,,,,
ATCM,2350,001,1,21,,,6,,,1,,,,,1,,,,,0,"Paiva Homsi, Murilo",,,,,
ATCM,2350,002,23,,,1,,,,,,,,,3,,,,,2,"Trosper, Elizabeth M",,,,,
ATCM,2350,003,21,2,2,,,,2,,,,,,2,,,,,0,"Hoggatt, Zane C",,,,,
ATCM,2355,001,4,4,2,1,2,1,1,1,1,,3,,3,,,,,7,"Marder, Amanda K",,,,,
ATCM,2360,001,18,6,6,3,3,1,2,,1,1,,,4,,,,,0,"Cox, Norman L",,,,,
ATCM,3301,002,,3,10,2,2,1,,,,1,,,,,,,,0,"Shukla, Nishanshi A",,,,,
ATCM,3301,003,3,3,10,2,,,,,,,,1,,,,,,0,"Rashid, Mohammed Mizanur",,,,,
ATCM,3301,004,8,5,3,1,1,,,,,,,,1,,,,,0,"Heaslip, Audra","Welwood, Samantha F",,,,
ATCM,3301,005,7,2,4,,2,,,2,,1,,,1,,,,,0,"Heaslip, Audra","Welwood, Samantha F",,,,
ATCM,3301,006,5,5,3,3,,1,,,1,,,,1,,,,,0,"Heaslip, Audra","Lee, Yueh-Jung",,,,
ATCM,3301,007,2,4,6,1,1,,1,2,,,1,,1,,,,,0,"Heaslip, Audra","Lee, Yueh-Jung",,,,
ATCM,3301,008,,4,1,5,3,3,,1,,,,,2,,,,,0,"Imaoka, Laura","Chowdhury, Nusrat Zahan","Winter, Sabine",,,
ATCM,3301,501,,2,5,4,5,1,,1,,,,,,,,,,0,"Andic, Atanur",,,,,
ATCM,3301,503,9,,1,,1,,1,1,2,,,,4,,,,,0,"Rheams, David C",,,,,
ATCM,3305,001,,2,3,4,12,2,2,1,,,2,,1,,,,,1,"McComber, Sean",,,,,
ATCM,3305,002,,4,3,5,6,3,1,2,,,,,2,,,,,4,"Caldwell, Bryon A",,,,,
ATCM,3306,001,2,4,4,5,2,3,1,,1,1,,1,3,,,,1,1,"Salter, Monika M",,,,,
ATCM,3306,003,,1,2,5,1,2,4,,3,1,1,1,7,,,,,2,"Johnson, Casey A",,,,,
ATCM,3307,001,2,,10,9,4,4,,,,1,,,,,,,,0,"McCord, Peter A",,,,,
ATCM,3307,002,,3,5,5,8,2,3,,,,,1,,,,,,3,"McCord, Peter A",,,,,
ATCM,3308,001,,3,3,1,4,2,,4,1,1,,1,5,,,,2,2,"Johnson, Casey A",,,,,
ATCM,3308,501,,4,1,,3,1,2,1,1,2,,,10,,,,2,3,"Johnson, Casey A",,,,,
ATCM,3309,001,4,8,4,1,,,,,1,,,,3,,,,,3,"Fechter, Todd A",,,,,
ATCM,3311,001,,1,1,3,2,,1,1,,2,2,1,3,,,,,2,"Johnson, Casey A",,,,,
ATCM,3311,002,2,1,3,1,2,1,,1,2,,2,,2,,,,,1,"Lim, Fengjie",,,,,
ATCM,3312,101,3,5,2,,2,3,1,,1,,,1,,,,,,1,"Salter, Monika M",,,,,
ATCM,3325,001,,7,3,8,4,3,1,2,,,,,1,,,,1,0,"Valkanova, Dora",,,,,
ATCM,3335,001,2,2,1,1,,,,1,,,1,,2,,,,,3,"Kane, Simon A",,,,,
ATCM,3336,001,2,11,1,,2,10,1,1,,,,,,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,002,2,16,5,3,3,,,,1,,,,,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,003,4,9,4,2,3,4,,1,1,,,,1,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,501,,5,9,5,7,,,1,,,,,2,,,,,0,"McKinney, Mark",,,,,
ATCM,3337,001,8,17,1,,2,,,,,,,,1,,,,,1,"Wood, Harold G",,,,,
