Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CE,1202,301,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Chen, Pengyuan",
CHIN,2312,001,9,,,1,,,,,,,,,,1,,,,,"Shi, Shuai",,,,,
EE,4371,501,,,1,3,3,,2,,1,,,,,1,,,,,"Lee, Jeong-Bong",,,,,
ACCT,4301,001,2,1,2,2,1,1,1,,,,,,,1,,,,,"Narayan, Ravishankar L","Banda, Sanjana",,,,
MAS,6V08,001,,10,,,,,,,,,,,,0,,1,,,"Ozer, Ali O","Simsek, Ahmet S",,,,
RHET,1302,507,,1,3,2,,,,,,1,,,3,1,,,,,"Manes, Christopher L",,,,,
HUAS,7360,001,,8,1,1,,,,,,,,,,0,,1,,,"McLean, Adrienne L",,,,,
CE,3345,002,2,2,1,,3,3,,,,,,,,0,,,,,"Khan, Ziaullah",,,,,
EE,3120,103,,10,,,,,,,,,1,,,0,,,,,"Zhou, Dian","Wang, Yifan","Wang, Xianan",,,
CE,3101,102,1,4,3,1,2,,,,,,,,,0,,,,,"Heins, Matthew S","Nahar, Lubaba M",,,,
ACN,7372,002,,9,2,,,,,,,,,,,0,,,,,"Krawczyk, Daniel C",,,,,
CE,3345,001,,3,,,3,2,1,1,,,,,1,0,,,,,"Ozbirn, Greg A",,,,,
SE,3345,002,2,,1,2,1,3,1,1,,,,,,0,,,,,"Khan, Ziaullah",,,,,
FERM,6331,FS1,,11,,,,,,,,,,,,0,,,,,"Zemoodeh, Amir",,,,,
MECO,6312,003,,5,4,2,,,,,,,,,,0,,,,,"Joo, Joonhwi","Zhu, Yifan",,,,
HUSL,6324,501,,10,,1,,,,,,,,,,0,,,,,"Greene, Kendra",,,,,
SE,3345,003,,1,3,2,3,2,,,,,,,,0,,,,,"Chida, Anjum",,,,,
SE,3354,001,,3,2,1,2,1,,1,,,,,1,0,,,,,"Cankaya, Ebru C","Wang, Xiaoyu",,,,
MECH,4110,105,,2,3,3,1,,1,,1,,,,,0,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,
ED,3345,501,,6,2,,1,,,2,,,,,,0,,,,,"McNulty, Angela B",,,,,
EECT,7327,001,,7,4,,,,,,,,,,,0,,,,,"Liu, Jin",,,,,
EE,3111,103,5,1,2,2,,,,,1,,,,,0,,,,,"Lee, Hoi","Liang, Jingchen",,,,
OPRE,6390,501,,6,,,5,,,,,,,,,0,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,
ENTP,4335,0W2,2,1,3,,1,1,,1,,,,2,,0,,,,,"Edsel, Alexander D","Gupta, Ashna",,,,
LIT,3339,501,,2,2,1,4,2,,,,,,,,0,,,,,"Greer, Erin",,,,,
GEOS,3470,001,4,,2,2,1,1,,,1,,,,,0,,,,,"Pirouz, Mortaza","Johnson, Samuel P",,,,
ENGY,3340,001,3,3,4,1,,,,,,,,,,0,,,,,"Molina, Stephen",,,,,
JAPN,3312,001,1,3,2,1,,1,,1,,,,1,1,0,,,,,"Kroska, Nami",,,,,
SE,4348,001,,,,4,1,2,,2,1,,,,1,0,,,,,"Ozbirn, Greg A","Mi, Feng",,,,
EE,3101,104,,4,2,,1,,2,1,,,,1,,0,,,,,"Heins, Matthew S","Thakur, Sneha",,,,
CS,6301,003,,11,,,,,,,,,,,,0,,,,,"Thuraisingham, Bhavani",,,,,
RMIS,3370,002,,1,1,1,2,1,2,1,,,1,,1,0,,,,,"Kaplan, Larry S",,,,,
COMD,7V82,0W1,,10,1,,,,,,,,,,,0,,,,,"Walsh, Diane G",,,,,
PA,6344,501,,11,,,,,,,,,,,,0,,,,,"Benavides, Teodoro J",,,,,
ATCM,3381,001,,4,2,,1,1,,1,,1,,,1,0,,,,,"Drogos, Kristin L",,,,,
CE,6304,001,,,4,4,3,,,,,,,,,0,,,,,"Shakhakarmi, Niraj","Goswami, Pingakshya","Kong, Zelun",,,
FIN,4307,001,,11,,,,,,,,,,,,0,,,,,"Furst, Jack D",,,,,
ACTS,6305,501,,2,3,2,4,,,,,,,,,0,,,,,"Lu, Wenyi",,,,,
OBHR,4336,001,3,2,3,,,1,,1,,,1,,,0,,,,,"Campbell, Michael",,,,,
CE,3345,003,1,,4,3,1,1,,,,,,,1,0,,,,,"Chida, Anjum",,,,,
COMD,7384,501,,11,,,,,,,,,,,,0,,,,,"Lombardi, Christina L",,,,,
CE,3301,001,,3,1,,2,,1,2,,,1,,1,0,,,,,"Helms, Robert","Palit, Prithviraj",,,,
BIOL,6344,001,,5,3,3,,,,,,,,,,0,,,,,"Du, Heng","Srikanth, Uma","Tian, Jing",,,
ISIS,3309,001,1,2,2,1,1,,1,2,,,1,,,0,,,,,"Salter, Elizabeth",,,,,
HONS,3112,HN1,6,3,,,,1,,,,,,,1,0,,,,,"Kaplan, Marilyn R",,,,,
BIS,3320,005,,1,2,2,5,,,,,,,,1,0,,,,,"Pogue, Neall W",,,,,
EE,3120,101,,7,,,2,,,1,,,,,1,0,,,,,"Zhou, Dian","Wang, Xianan",,,,
SCI,5338,5H1,,11,,,,,,,,,,,,0,,,,,"Taylor, Stephanie M",,,,,
REAL,3305,002,,1,,,3,2,,2,,,3,,,0,,,,,"Guttery, Randall",,,,,
FIN,6323,501,,3,3,2,3,,,,,,,,,0,,,,,"Crumpecker, Brad",,,,,
SE,6361,001,,3,4,1,3,,,,,,,,,0,,,,,"Chung, Lawrence","Ahn, Sung Soo",,,,
CHEM,4473,001,,1,1,1,2,1,,3,2,,,,,0,,,,,"Goux, Warren J","Welch, Raymond P","Calubaquib, Erika Joy",,,
OPRE,6368,PW1,,8,,,3,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar",,,,
MKT,4336,501,6,1,2,2,,,,,,,,,,0,,,,,"Schofield, Joyce",,,,,
HIST,6365,001,,5,1,1,4,,,,,,,,,0,,,,,"Rankin, Monica A",,,,,
COMD,7V86,001,,10,,,1,,,,,,,,,0,,,,,"Evans, Julia L",,,,,
RHET,4302,001,3,2,3,2,1,,,,,,,,,0,,,,,"King, Carie S",,,,,
DANC,2336,001,8,1,,,,,,,,,,,2,0,,,,,"Owens, Misty",,,,,
CE,2305,501,,3,1,,4,,,2,,1,,,,0,,,,,"Farage, Timothy P",,,,,
CE,3354,003,2,,1,,,1,1,4,,1,,,1,0,,,,,"Paulk, Mark C","Mousavi, Pooneh",,,,
THEA,3342,501,,10,,,1,,,,,,,,,0,,,,,"Lingo, Kathy A",,,,,
BA,4V00,001,,9,2,,,,,,,,,,,0,,,,,"Lewin, Peter",,,,,
SE,3345,501,,2,,,4,1,1,1,1,,,,1,0,,,,,"Khan, Ziaullah",,,,,
ARTS,3371,002,1,2,4,,,1,1,1,,,1,,,0,,,,,"Durant, Stephanie D",,,,,
HONS,3199,HN8,,11,,,,,,,,,,,,0,,,,,"Martinez, Manuel L",,,,,
CE,1202,802,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M",,
EE,1202,801,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M","Chen, Pengyuan",
SE,3377,0W1,,3,,2,3,,1,1,1,,,,,1,,,,,"Nguyen, Nhut",,,,,
ACCT,6335,SW1,,5,,3,3,,,,,,,,,1,,,,,"Troutman, Amy B",,,,,
MUSI,3325,001,1,3,1,2,2,,1,,,,,,1,1,,,,,"Durbin, Kelly",,,,,
FIN,4315,001,,4,4,2,1,,,,,,,,,0,,,,,"Hyndman, Kyle B",,,,,
ED,4345,501,4,5,1,1,,,,,,,,,,1,,,,,"Weiner, Michelle L",,,,,
NATS,3343,001,1,3,,1,3,1,,,1,,1,,,1,,,,,"McConnell, James S","Kirkland, Pamela I",,,,
PA,2325,001,,7,2,1,1,,,,,,,,,1,,,,,"Goodman, Doug","Park, Yong Jun",,,,
FIN,6353,501,,3,2,2,2,2,,,,,,,,1,,,,,"Day, Theodore","Kirk, Steven B",,,,
MATH,3307,001,1,6,1,3,,,,,,,,,,1,,,,,"Andreescu, Titu",,,,,
SE,3377,502,,1,1,1,2,3,,,,,2,1,,1,,,,,"Perkins, Stephen J",,,,,
ATCM,4306,001,,1,2,3,3,,,1,,,,1,,1,,,,,"Boyd, Elizabeth",,,,,
BIOL,2111,006,2,,,1,2,3,,,1,,1,1,,1,,,,,"Srikanth, Uma",,,,,
ARTS,2380,501,2,6,1,,,1,,,,,,,2,0,,,,,"Carter, Rebecca S",,,,,
OPRE,6398,003,,9,,1,2,,,,,,,,,0,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,
AUD,6V20,101,,12,,,,,,,,,,,,0,,,,,"Lobarinas, Edward","Clark, Jackie L","Trevino, Monica",,,
ATCM,6301,001,,6,4,1,1,,,,,,,,,0,,,,,"Nadin, Mihai",,,,,
CS,6382,001,,9,1,1,1,,,,,,,,,0,,,,,"Du, Ding Z","Gu, Shuyang",,,,
SYSM,6325,001,,12,,,,,,,,,,,,0,,,,,"Minden, Alixandre R",,,,,
BIOL,3102,006,1,2,1,,,3,2,,2,1,,,,0,,,,,"Srikanth, Uma",,,,,
SYSM,6301,SS1,,10,2,,,,,,,,,,,0,,,,,"Minden, Alixandre R",,,,,
ATCM,6388,001,,10,2,,,,,,,,,,,0,,,,,"Knight, Kim A",,,,,
ACCT,6320,0W1,,4,3,1,3,1,,,,,,,,0,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,
AUD,6318,001,,8,4,,,,,,,,,,,0,,,,,"Warner-Czyz, Andrea D",,,,,
MSEN,6324,001,,3,,3,4,1,,1,,,,,,0,,,,,"Quevedo-Lopez, Manuel",,,,,
EE,3110,101,,7,1,2,1,,,1,,,,,,0,,,,,"Lee, Gil S","Choi, Ye I",,,,
SMED,5304,501,,9,3,,,,,,,,,,,0,,,,,"Urquhart, Mary L","Taylor, Stephanie M","Stuart, Georgia K",,,
ECON,3311,002,,4,,,,3,,3,,1,1,,,0,,,,,"Dumas, Lloyd","Cooper, Glen",,,,
BMEN,1208,105,8,1,,,,,1,,1,,,1,,0,,,,,"Ardestani Khoubrouy, Soudeh","Ravichandran, Arul Vigneswar",,,,
MECH,4382,010,,1,4,2,2,,1,2,,,,,,0,,,,,"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,
CRIM,6315,001,,7,3,2,,,,,,,,,,0,,,,,"Jacobs, Bruce A",,,,,
FIN,6360,501,,4,3,,2,3,,,,,,,,0,,,,,"Kaur, Dupinderjeet",,,,,
OPRE,6304,001,,4,7,,1,,,,,,,,,0,,,,,"Simsek, Ahmet S",,,,,
IMS,6371,PW1,,11,,,1,,,,,,,,,0,,,,,"Szot, James",,,,,
CHEM,1111,108,7,4,1,,,,,,,,,,,0,,,,,"Hashami, Zohreh","Pope, Mitchell A",,,,
ED,4372,5H2,2,1,6,2,,,,,,,,,1,0,,,,,"Christensen, Rhonda",,,,,
EEDG,6301,001,,1,5,1,3,2,,,,,,,,0,,,,,"Gulur, Nagendra","Si, Qilin",,,,
REAL,6323,501,,2,1,3,4,1,,,,,,,1,0,,,,,"Crumpecker, Brad",,,,,
BMEN,3150,107,3,,1,4,,1,1,1,1,,,,,0,,,,,"Pacheco, Joe","Sanchez, Camilo A","Raut, Saurabh Vikas",,,
FIN,4334,001,4,1,,,1,1,,,,1,1,,3,0,,,,,"Kaplan, Larry S",,,,,
CE,3111,104,2,6,2,1,,,,1,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,
EEPE,7V91,001,,9,2,1,,,,,,,,,,0,,,,,"Akin, Bilal","Pu, Shi",,,,
MUSI,3122,001,2,10,,,,,,,,,,,,0,,,,,"Salisbury, Linda J",,,,,
ECON,6306,501,,10,2,,,,,,,,,,,0,,,,,"O'Brien, Daniel M","Choi, Soohyun",,,,
MSEN,5360,001,,2,1,2,4,3,,,,,,,,0,,,,,"Walker, Amy V",,,,,
AUD,7321,001,,7,4,1,,,,,,,,,,0,,,,,"Lobarinas, Edward",,,,,
ED,4345,001,6,6,,,,,,,,,,,,0,,,,,"Haun, Julia T",,,,,
ATCM,4397,004,5,6,,,1,,,,,,,,,0,,,,,"Fitzgerald, Harold E",,,,,
MUSI,4186,001,6,4,1,,,,,,,1,,,,0,,,,,"Durbin, Kelly",,,,,
AMS,4305,501,,2,2,,2,1,,2,,,,,3,0,,,,,"Cotton, Scott C",,,,,
BMEN,3150,103,3,3,,2,,,1,1,1,,,1,,0,,,,,"Ali, Tariq M","Farmer, Sophie E",,,,
IMS,6370,PW1,,11,,,1,,,,,,,,,0,,,,,"Szot, James",,,,,
EE,3111,105,2,1,2,3,2,,1,,,1,,,,0,,,,,"Lee, Hoi","Cheng, Qi",,,,
FIN,4332,501,,3,2,3,2,2,,,,,,,,0,,,,,"Richardson, Debra L",,,,,
AUD,6311,001,,7,4,,,,1,,,,,,,0,,,,,"Roeser, Ross J","Clark, Jackie L",,,,
CHIN,1311,002,1,4,2,3,1,1,,,,,,,,0,,,,,"Shi, Shuai",,,,,
EE,3111,104,3,5,1,1,1,,1,,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,
PHYS,2126,603,7,4,,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A",,,,
BMEN,6372,001,,7,5,,,,,,,,,,,0,,,,,"Kapoor, Bhanu",,,,,
GEOS,4322,001,1,1,2,1,3,1,,3,,,,,,0,,,,,"Manton, William I",,,,,
MATH,2414,342,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,
MATH,2414,341,,,,,,,,,,,,,,0,,,,,"Westbury, Bruce W",,,,,
MATH,2414,349,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,
HIST,3328,001,,2,1,,1,1,,1,,,1,,2,0,,,,,"Brown, Matthew",,,,,
MATH,5302,001,,4,,1,,1,1,,,,,,3,3,,,,,"Zweck, John W",,,,,
CHEM,3361,002,1,2,,1,,2,,3,,,,,1,3,,,,,"Taylor, Stephanie M","Dey, Sanchareeka","Krishnamohan, Aishwarya","Soladogun, Adedamola S","Marco, Belle","Villones, Rhiza Lyne"
BMEN,1208,103,1,4,,2,,3,,,,,,,1,2,,,,,"Levene, Stephen","Jayanand, Kishan","Dolui, Swapnil",,,
PPPE,6354,501,,6,5,1,,,,,,,,,,1,,,,,"Leaf, Murray J",,,,,
CS,6350,MS1,,12,,,,,,,,,,,,1,,,,,"Khan, Latifur R",,,,,
ACCT,6331,0W1,,3,,1,4,,,4,,,,,,1,,,,,"Cready, William M","Gencer, Nur Pinar",,,,
ARTS,3311,001,2,1,1,,3,,2,2,,,,,1,1,,,,,"Copeland, Colette",,,,,
CE,3101,106,2,4,2,1,2,,,,,,,,1,1,,,,,"Heins, Matthew S","Nahar, Lubaba M",,,,
PHIL,3328,001,3,,1,,4,1,,2,1,,,,,1,,,,,"Brown, Matthew",,,,,
HUSL,6308,501,,5,2,2,1,,2,,,,,,,0,,1,,,"Prieto, Rene",,,,,
MECH,3120,104,8,2,2,,,,,,,,,,,1,,,,,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,
CS,6301,MS1,,5,2,3,1,,,,,,,,1,1,,,,,"Nguyen, Nhut",,,,,
OPRE,6378,001,,10,2,1,,,,,,,,,,0,,,,,"Ozer, Ali O","Kucukgul, Can",,,,
ENTP,6394,XS1,,4,5,4,,,,,,,,,,0,,,,,"Kimzey, Jackie",,,,,
BMEN,3150,102,3,3,2,3,1,,,,,,1,,,0,,,,,"Ali, Tariq M","Farmer, Sophie E",,,,
MUSI,3382,001,2,3,2,,2,,,1,1,1,,,1,0,,,,,"Hughes, William K",,,,,
ED,4353,501,7,3,1,,,,,1,,,,,1,0,,,,,"Brooks, Lori L",,,,,
EECS,6331,002,,5,3,1,2,,,2,,,,,,0,,,,,"Moheimani, Seyed Omid Reza","Bing, Mallory A",,,,
ENTP,3360,002,,1,2,1,,4,1,4,,,,,,0,,,,,"Park, Haemin","Wang, Jiyu",,,,
CE,3111,103,6,4,2,1,,,,,,,,,,0,,,,,"Lee, Hoi","Liang, Jingchen",,,,
SOC,4396,002,,2,3,3,2,1,1,,,1,,,,0,,,,,"Boots, Denise P","Saucedo De La Fuente, David",,,,
ATCM,4319,001,,,1,1,2,2,2,1,2,,1,,1,0,,,,,"Salter, Monika",,,,,
FIN,6350,501,,4,3,2,1,,1,2,,,,,,0,,,,,"Baranchuk, Nina",,,,,
MECO,7313,001,,5,2,5,1,,,,,,,,,0,,,,,"Murthi, B P","Kamatham, Sriharsha",,,,
BUAN,6347,501,,13,,,,,,,,,,,,0,,,,,"Perez, Jerry","Guha, Priyanka",,,,
DANC,2334,001,5,4,3,,,,,,,,,,1,0,,,,,"Johnson, Melissa A",,,,,
MIS,6343,001,,3,8,1,1,,,,,,,,,0,,,,,"Narasimhan, Prithi","Agrawal, Pulkit",,,,
MUSI,3388,001,3,7,1,1,,,,,,,,,1,0,,,,,"Medrick, Mary A",,,,,
CE,4337,003,2,2,3,2,3,,,1,,,,,,0,,,,,"McMahan, Timothy","Fan, Zhenbao","De, Partha","Gour, Riti",,
FIN,7340,501,,4,2,5,1,1,,,,,,,,0,,,,,"Baranchuk, Nina",,,,,
SYSM,6328,SS1,,3,3,5,2,,,,,,,,,0,,,,,"Nguyen, Nhut",,,,,
CE,3102,103,3,6,2,,,1,,,,,,,1,0,,,,,"Webb, Jennifer H","Azarang, Arian","Chandra Shekar, Ram Charan M",,,
CRWT,2301,501,,7,2,2,1,,,,1,,,,,0,,,,,"Leverone, Julia",,,,,
CS,6301,504,,4,4,2,3,,,,,,,,,0,,,,,"Yen, I-Ling",,,,,
ECON,6306,503,,12,,,,,1,,,,,,,0,,,,,"Grover, William C",,,,,
PHYS,6301,001,,5,3,5,,,,,,,,,,0,,,,,"Zhang, Chuanwei",,,,,
ARTS,3373,001,,8,,1,2,1,,,,,,,1,0,,,,,"Tady, Lorraine T",,,,,
MECO,6352,001,,9,1,1,2,,,,,,,,,0,,,,,"Ziegler, Laurie","Wijewardana, Galuge Hansani M",,,,
FIN,7330,001,,6,6,1,,,,,,,,,,0,,,,,"Tang, Xiaoxiao",,,,,
GISC,4317,001,,3,1,3,,,3,1,,,1,,1,0,,,,,"Chastain, Bryan J","Shi, Fan",,,,
HDCD,6316,001,,10,2,,1,,,,,,,,,0,,,,,"Ewing, Donna M",,,,,
HUAS,6339,501,,13,,,,,,,,,,,,0,,,,,"Pomara, John",,,,,
LIT,2341,501,2,4,3,,1,2,,,,,,,1,0,,,,,"Tehan, Terin J",,,,,
ATCM,4312,001,,1,3,2,4,2,,,1,,,,,0,,,,,"Boyd, Elizabeth",,,,,
MIS,6346,002,,11,2,,,,,,,,,,,0,,,,,"Perez, Jerry","Guha, Priyanka",,,,
THEA,2372,002,,9,,1,,1,,,1,,,,1,0,,,,,"Lingo, Kathy A",,,,,
ACCT,6383,501,,5,1,1,5,1,,,,,,,,0,,,,,"Bracy, Dana","Walker, Jacob N",,,,
HCS,6313,002,,9,,2,2,,,,,,,,,0,,,,,"Ackerman, Robert A","Austin, Kathryn A",,,,
JAPN,2312,001,2,1,4,1,1,2,,,,,,1,1,0,,,,,"Kroska, Nami",,,,,
ENTP,6315,0W1,,2,2,5,2,1,,,,,,,1,0,,,,,"Pedigo, Madison F",,,,,
ARTS,2316,501,1,10,,,1,1,,,,,,,,0,,,,,"Egan, Trey T",,,,,
BMEN,1208,108,,5,1,3,,1,2,1,,,,,,0,,,,,"Meyer, Clark A","Zhou, Ximing",,,,
CE,3310,001,1,5,4,2,1,,,,,,,,,0,,,,,"Frensley, William",,,,,
EE,1202,304,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M",,
MATH,2414,343,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,
EE,1202,302,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Chen, Pengyuan",
EE,1202,306,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Mohamed, Ahmed M",
CE,6302,001,,,,,,,,,,,,,,0,,,,,"Bennett, Terrell R","Birjandtalab Golkhatm, Javad",,,,
BMEN,1208,104,,,,2,3,2,,2,,,,,,5,,,,,"Levene, Stephen","Jayanand, Kishan","Dolui, Swapnil",,,
PHYS,2421,HN1,1,1,3,4,,1,,,,,,,,2,,2,,,"Izen, Joseph",,,,,
HONS,3199,HN3,,9,1,1,1,,,,,,,,,2,,,,,"Cotter, Sean J",,,,,
ARTS,3315,001,6,3,2,,1,,,,,,,,,2,,,,,"Curry, Val",,,,,
MATH,2333,001,2,1,,1,,3,1,2,,,,,2,2,,,,,"Martynova, Irina",,,,,
PHYS,5395,001,,5,3,1,1,,1,1,,,,,,0,,,,,"Ishak-Boushaki, Mustapha","Fong, Matthew",,,,
EECT,6379,001,,3,5,,3,,,2,,,,,,1,,,,,"Ma, Dongsheng","Yan, Dong",,,,
BMEN,3150,105,2,1,3,,,4,1,1,,,,,1,1,,,,,"Winter, Patrick M","Abraham, Alejandro","Raut, Saurabh Vikas",,,
PA,6399,501,,13,,,,,,,,,,,,1,,,,,"Harrington, James","Abraham, Romeo",,,,
HONS,3199,H11,8,1,3,1,,,,,,,,,,1,,,,,"Marks, William",,,,,
