Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2302,003,3,15,5,6,4,2,,2,3,,3,1,3,8,2,,2,"Copat, Rafael","Frendo, Derek J",,,,
ACCT,2302,004,3,18,7,7,9,2,2,,,1,,,1,7,,,3,"Barden, John P","Herr-Perez, Noe C",,,,
ACCT,2302,005,5,9,5,6,6,5,1,2,,1,2,1,,10,2,,4,"Copat, Rafael","Frendo, Derek J",,,,
ACCT,2302,0W1,4,7,15,9,3,2,2,2,1,,,,,1,1,,2,"Janakiraman, Surya","Jeong, Sihyun",,,,
ACCT,2302,501,1,3,6,3,4,3,1,3,4,,3,,5,3,1,,8,"Hes, Christopher A","Herr-Perez, Noe C",,,,
ACCT,3322,001,4,22,3,3,4,,1,3,1,1,1,,,1,1,,4,"Goodrich, Mary Beth W","Burnette, Naomi R","Pham, Michelle D",,,
ACCT,3331,001,,26,6,,11,3,,1,,,1,,,9,3,,2,"Zhang, Yuan","Le, My-Duyen T",,,,
ACCT,3331,002,,12,3,,13,,,4,,,1,,3,12,7,,8,"Zhang, Yuan","Le, My-Duyen T",,,,
ACCT,3331,003,4,9,3,1,2,4,1,3,,3,,,1,4,3,,25,"Zhou, Yibin","Chaturvedi, Sneha",,,,
ACCT,3331,501,,8,4,,6,,,7,,,3,,6,17,6,,7,"Zhang, Yuan","Le, My-Duyen T",,,,
ACCT,3332,001,1,9,2,3,7,1,,2,,1,7,,,6,3,,18,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,
ACCT,3332,501,1,8,,1,8,3,1,2,,5,6,1,3,5,1,,11,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,
ACCT,3341,001,2,5,4,7,2,2,1,5,2,,,,1,9,1,,12,"Goodrich, Mary Beth W","Pham, Michelle D",,,,
ACCT,3341,002,1,2,4,1,2,2,1,,1,,,,,4,,,2,"Goodrich, Mary Beth W","Pham, Michelle D",,,,
ACCT,3341,501,,6,6,9,2,2,1,1,,,,,2,2,,,2,"Natarajan, Ramachandran","Pham, Michelle D",,,,
ACCT,3350,001,2,2,3,7,8,,,2,,,,,,3,,,4,"Solcher, Steven J","Kim, Eun Sean",,,,
ACCT,3350,002,3,3,6,3,11,5,7,1,,,1,,,3,,,0,"Solcher, Steven J","Kim, Eun Sean",,,,
ACCT,3350,501,3,6,7,5,3,2,1,,1,,,1,,1,,,0,"Gamino, John P",,,,,
ACCT,4301,501,1,1,,1,3,1,2,,3,1,1,1,,,2,,0,"Hagen, John C","Shah, Dhruv Rakesh",,,,
ACCT,4302,PP1,11,3,11,1,1,,,,,,,,,,,,0,"Markov, Stanimir","Holstead, Cameron",,,,
ACCT,4302,PP2,8,2,16,4,1,,,,,,,,,4,,,0,"Markov, Stanimir","Holstead, Cameron",,,,
ACCT,4334,001,,10,,,20,,,9,,,2,,,14,3,,1,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,4334,501,,8,,,13,,,9,,,2,,,3,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,4334,PP1,,14,,,14,,,1,,,,,,5,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,4334,PP2,,7,,,11,,,1,,,,,,15,1,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,4336,001,3,3,3,4,2,2,,1,,,,,,1,,,0,"Bowen, Richard M","LeVecchio, Anthony J","Kim, Eun Sean",,,
ACCT,4337,501,1,3,2,2,2,2,3,4,1,6,3,1,,1,1,,4,"Ballew, Gregory E","Herr-Perez, Noe C",,,,
ACCT,4340,001,14,10,5,5,4,3,1,1,,,1,,1,3,,,3,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,4342,001,4,9,2,7,5,5,3,,2,1,1,,,4,1,,6,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,4342,501,2,4,3,5,5,3,4,1,2,2,1,1,,3,,,2,"Johnson, Jennifer","Garcia, Gerardo E",,,,
ACCT,6193,SW1,,10,,,,,,,,,,,,,,,0,"Solcher, Steven J",,,,,
ACCT,6202,501,,7,8,11,5,1,,2,,,,,3,,,4,1,"Janakiraman, Surya","Jeong, Sihyun",,,,
ACCT,6291,SW1,,9,,,2,,,,,,,,,,,,1,"Zolton, Kathy",,,,,
ACCT,6301,0W1,,23,19,5,2,2,,,,,,,,,,1,3,"Ali, Ashiq","He, Jiapeng",,,,
ACCT,6301,501,,12,12,8,5,5,,1,,,,,4,,,15,3,"Ballew, Gregory E","Herr-Perez, Noe C",,,,
ACCT,6301,CH1,,20,3,1,2,,,1,,,,,1,,,,2,"Barden, John P",,,,,
ACCT,6301,GW1,,36,2,1,6,,,,,,,,1,,,1,0,"Barden, John P",,,,,
ACCT,6301,MBC,,41,3,6,2,2,,,,,,,,,,3,1,"Radhakrishnan, Suresh","He, Jiapeng",,,,
ACCT,6301,MBP,,34,3,3,5,2,,,,,,,,,,3,3,"Radhakrishnan, Suresh","He, Jiapeng",,,,
ACCT,6301,XS1,,15,10,1,1,1,,,,,,,,,,1,0,"Sadka, Gil",,,,,
ACCT,6305,001,,9,3,9,3,3,,,,,,,1,,,6,1,"Li, Ningzhong","Jeong, Sihyun","Kim, Eun Sean",,,
ACCT,6305,501,,8,4,4,3,1,,,,,,,,,,4,1,"Li, Ningzhong","Jeong, Sihyun","Kim, Eun Sean",,,
ACCT,6305,502,,16,8,4,,1,1,1,,,,,,,,9,0,"Li, Ningzhong","Jeong, Sihyun","Kim, Eun Sean",,,
ACCT,6320,0W1,,2,2,2,1,1,,,,,,,1,,,1,0,"Cavusoglu, Huseyin","Jethwani, Pallavi",,,,
ACCT,6321,SS1,,5,2,2,3,2,,,,,,,,,,,1,"Scott, James A",,,,,
ACCT,6330,501,,11,,,11,,,1,,,,,5,,,9,4,"Cready, William M","Le, My-Duyen T",,,,
ACCT,6330,SS1,,4,2,,2,2,1,2,,,,,,,,2,0,"Zhang, Yuan","Le, My-Duyen T",,,,
ACCT,6331,501,,7,8,6,6,3,,,,,,,3,,,5,2,"Janakiraman, Surya","Jeong, Sihyun",,,,
ACCT,6331,SS1,,1,7,3,3,1,,,,,,,,,,,0,"Janakiraman, Surya","Jeong, Sihyun",,,,
ACCT,6332,501,,13,,,5,,1,2,,,,,2,,,10,2,"Karnuta, Daniel","Kim, Eun Sean",,,,
ACCT,6333,501,,16,,,11,,,1,,,,,2,,,9,5,"Zolton, Kathy",,,,,
ACCT,6333,PP1,,22,,,16,,,7,,,,,,,,10,0,"Zolton, Kathy",,,,,
ACCT,6333,SS1,,7,,,4,,,,,,,,,,,3,1,"Zolton, Kathy",,,,,
ACCT,6334,001,,13,,,12,,,1,,,,,,,,7,2,"Linsteadt, Chris C","Truong, Timothy T",,,,
ACCT,6335,003,,18,11,10,11,3,2,,,,,,,,,8,0,"Bortz, Tiffany A","Benny, Keerthy",,,,
ACCT,6335,SS1,,5,1,4,4,,,,,,,,,,,1,0,"Bortz, Tiffany A","Benny, Keerthy",,,,
ACCT,6336,001,,9,7,2,3,3,,,,,,,1,,,1,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
ACCT,6341,501,,12,1,5,9,1,,,,,,,1,,,,1,"Goodrich, Mary Beth W","Pham, Michelle D",,,,
ACCT,6344,001,,6,6,5,1,1,,,,,,,,,,10,0,"Bowen, Richard M","LeVecchio, Anthony J","Kim, Eun Sean",,,
ACCT,6344,0W1,,8,9,22,7,1,,,,,,,,,,,0,"Gurun, Umit","Holstead, Cameron",,,,
ACCT,6350,501,,10,12,2,3,,,,,,,,,,,,1,"Solcher, Steven J","Kim, Eun Sean",,,,
ACCT,6350,SS1,,12,,1,1,,,,,,,,,,,,0,"Gamino, John P",,,,,
ACCT,6353,501,,5,9,8,2,1,,,,,,,2,,,1,1,"Solcher, Steven J","Kim, Eun Sean",,,,
ACCT,6354,501,,8,,2,4,1,2,2,,,,,2,,,8,2,"Pang, Wenjin","Pham, Michelle D",,,,
ACCT,6356,501,,25,3,2,1,2,,,,,,,,,,,0,"Gamino, John P",,,,,
ACCT,6365,501,,9,15,26,8,8,6,2,,,,,,,,13,1,"Cheng, Samuel",,,,,
ACCT,6365,SS1,,6,3,1,,2,,1,,,,,,,,3,0,"Cheng, Samuel",,,,,
ACCT,6373,501,,6,19,10,3,,1,,,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
ACCT,6374,PPA,,23,11,12,4,1,,,,,,,,,,4,0,"Mauriello, Joseph A","Truong, Timothy T",,,,
ACCT,6380,501,,5,6,4,5,,,,,,,,,,,5,4,"Mauriello, Joseph A","Truong, Timothy T","Sauer, Ashlyn M",,,
ACCT,6383,501,,31,11,3,1,,,,,,,,1,,,,0,"Kromer, Jeffrey",,,,,
ACCT,6386,001,,15,7,2,8,,,,,,,,1,,,4,1,"Mauriello, Joseph A","Sauer, Ashlyn M",,,,
ACCT,6388,501,,21,3,1,,,,,,,,,,,,,0,"Goodrich, Mary Beth W","Pham, Michelle D",,,,
ACN,6312,001,,6,1,1,,1,,3,,,,,,,,5,0,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Austin, Kathryn A",,,
ACN,6312,003,,4,6,1,6,2,,2,,,,,,,,4,3,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Austin, Kathryn A",,,
ACN,6340,001,,15,6,5,,3,1,,,,,,1,,,,3,"Kroener, Sven",,,,,
ACN,6341,0W1,,15,,,,,,,,,,,,,,,1,"Orrick, Erika D",,,,,
ACN,6346,001,,34,4,6,,1,,,,,,,1,,,,1,"Thompson, Lucien",,,,,
ACN,6348,501,,18,,2,2,,,,,,,,,,,,1,"Golden, Richard",,,,,
ACN,6373,001,,29,,,3,,,,,,,,,,,,1,"Overzet, Kathryn M",,,,,
ACN,6388,001,,2,1,2,3,,,1,,,,,1,,,,1,"Kilgard, Michael",,,,,
ACN,6389,501,,10,1,1,,,,,,,,,,,,,2,"Assmann, Peter",,,,,
ACN,6395,001,,18,,,8,,,2,,,,,2,,,1,0,"Wig, Gagandeep S",,,,,
ACN,6V81,001,,16,2,1,,,,1,,,,,,,,,0,"Jahangiri, Faisal R",,,,,
ACN,6V81,002,,8,,,15,,,,,,,,,,,4,0,"Sultana, Rukhsana",,,,,
ACN,7372,001,,17,,,,,,,,,,,,,,,0,"Rodrigue, Karen M",,,,,
ACTS,4304,001,3,8,4,2,3,2,,,,,,,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,4308,001,9,2,6,6,7,5,3,2,5,1,1,1,3,10,4,,10,"Makhijani, Neha","Yang, Haopeng",,,,
ACTS,6301,501,,2,2,2,3,,,,,,,,,,,,1,"Lu, Wenyi",,,,,
ACTS,6304,501,,3,1,2,2,1,,,,,,,,,,,1,"Lu, Wenyi",,,,,
ACTS,6306,501,,4,5,2,1,,,,,,,,,,,,0,"Koshevnik, Yuly",,,,,
AHST,1304,001,74,14,4,4,1,3,1,4,1,,,,2,,2,,4,"Alibhai, Ali Asgar H","Anderson, Linda K",,,,
AHST,1304,002,56,18,11,2,4,7,3,,3,,,,3,2,1,,3,"Alibhai, Ali Asgar H","Mei, Kehan",,,,
AHST,2331,001,51,48,22,11,8,2,2,4,1,2,2,,7,3,2,,4,"Rosen, Mark S","Dunbar, Amanda R","Zawng, Ze",,,
AHST,2331,HN1,17,7,,,,,,,,,,,,,,,1,"Hofland, Amy",,,,,
AHST,3320,001,28,6,5,3,,1,,,,,,,3,,,,3,"Alibhai, Ali Asgar H",,,,,
AHST,4342,001,3,9,7,7,3,2,1,3,2,1,1,,1,,,,5,"Thomas, Michael L",,,,,
AMS,2341,001,,11,18,11,8,1,,,,,2,,,11,1,,1,"Naqvi, Syed K",,,,,
AMS,2341,HN1,,14,5,1,1,1,,,,,,,1,1,,,1,"Smith, Erin",,,,,
AMS,2390,002,,4,3,2,2,1,,1,,,1,,,1,,,1,"Naqvi, Syed K",,,,,
AMS,3316,0W1,22,13,6,,2,1,,,,,1,,2,,,,2,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,,6,1,2,2,,1,,1,,,,,,,,1,"Ross, Alyssa N",,,,,
AMS,4305,5H1,2,5,2,1,3,1,,,,,,,,,,,1,"Cotton, Scott C",,,,,
AMS,4327,0W1,24,11,1,1,2,2,,1,,,,,2,1,,,3,"Winstead, Elizabeth L",,,,,
AMS,4379,001,5,2,1,,,1,,,1,,,,,,,,0,"Hudson, Jennifer M",,,,,
ARAB,1311,001,7,11,,2,,,,,,,,,,,,,0,"Anjum, Zafar",,,,,
ARAB,1312,001,5,2,,,1,,,2,,,,,,,,,0,"Anjum, Zafar",,,,,
ARHM,1100,001,6,11,2,4,3,4,,1,1,1,,,1,1,1,,6,"Gray, Megan L",,,,,
ARHM,3342,001,,3,5,4,5,1,,,,,,,1,,,,2,"Wickberg, Daniel",,,,,
ARHM,3342,501,3,10,3,4,3,2,,1,,,,,,,,,1,"Hill, Kimberly D",,,,,
ARHM,3342,502,1,12,3,,3,1,1,,,,,,,1,1,,3,"Evans, Kathryn C",,,,,
ARTS,1301,001,44,32,2,6,5,2,,1,1,,1,1,3,1,1,,2,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,
ARTS,1301,002,62,18,,5,5,1,,3,1,,,,1,2,1,,6,"Grandjean, Kelly","Cai, Rebecca",,,,
ARTS,1316,001,5,11,1,,,,,,,,,,1,,,,1,"Min, Inki A",,,,,
ARTS,1316,002,1,7,3,2,,1,,1,,,,,1,1,,,2,"Travis, Audrey",,,,,
ARTS,1316,003,5,1,1,1,1,,,,,1,,,3,,1,,1,"Booker, Rebecca M",,,,,
ARTS,1316,004,2,9,4,1,,,,,,,,,2,,,,1,"Fridge, Brian D",,,,,
ARTS,1316,005,1,13,2,,1,,,,1,,,,,,,,0,"Fridge, Brian D",,,,,
ARTS,1316,007,2,4,5,,,1,1,,,,,,1,,,,0,"Travis, Audrey",,,,,
ARTS,1316,501,,4,,,12,,,,,,,,,,1,,2,"Lacy, Mary E",,,,,
ARTS,2316,001,,2,6,1,3,1,,,,,,,1,,1,,1,"Ligon, Peter A",,,,,
ARTS,2316,501,,2,2,3,,1,,1,,,,,2,2,,,1,"Egan, Trey T",,,,,
ARTS,2350,001,2,1,4,1,1,2,,1,,,,,1,,2,,3,"Copeland, Colette",,,,,
ARTS,2350,501,,3,10,2,,,,,,,,,1,,1,,2,"Loving, Emily",,,,,
ARTS,2380,001,,4,5,3,2,,1,,,,,,1,,,,0,"Egan, Trey T",,,,,
ARTS,3311,001,8,2,,2,,,1,1,,,,,1,,1,,0,"Copeland, Colette",,,,,
ARTS,3315,001,8,1,,,,,,,,,,,1,,,,0,"Curry, Val",,,,,
ARTS,3340,001,1,4,1,4,3,,,3,,,,,,1,,,1,"Etter, Ian",,,,,
ARTS,3363,001,5,7,,,2,,,1,,,,1,1,,,,2,"Tady, Lorraine T",,,,,
ARTS,3366,501,12,6,,,,,,,,,,,,1,,,0,"Miranda, Jeffrey",,,,,
ARTS,3367,001,,4,,1,15,,,,,,1,,,,,,0,"Lacy, Mary E",,,,,
ARTS,3367,501,6,9,,1,2,,,,,,,,,,,,2,"Miranda, Jeffrey",,,,,
ARTS,3371,001,1,4,2,1,3,1,,,,,,,1,1,,,0,"Miller, Cynthia M",,,,,
ARTS,3372,001,,13,1,1,,,,,,,,,1,,,,2,"Loving, Emily",,,,,
ARTS,3375,001,1,3,5,2,1,,,,,,,1,,,,,1,"Randall, Steven V",,,,,
ARTS,3377,001,2,7,4,1,1,1,,,,,,,,,,,0,"Waligore, Marilyn A",,,,,
ARTS,3379,001,2,1,6,3,2,2,1,,,,,,1,,,,1,"Palmer, Marcy A",,,,,
ARTS,3382,001,3,2,1,1,5,,,,1,,,,,,,,1,"Tady, Lorraine T",,,,,
ARTS,4308,001,3,6,,,,,,1,,,,,1,,,,0,"Durant, Stephanie D",,,,,
ARTS,4368,001,3,7,,,,,,,1,,,,,,,,0,"Pomara, John",,,,,
ATCM,1100,001,7,16,4,2,1,1,2,,,,3,,3,,,,0,"Scoggins, Angela T",,,,,
ATCM,1100,002,6,14,,,3,1,1,,,,2,,6,,,,1,"Scoggins, Angela T",,,,,
ATCM,1100,003,14,3,3,1,1,2,1,,2,1,1,1,3,,2,,1,"Henderson, Kelley A",,,,,
ATCM,1100,004,15,5,4,2,,3,2,1,2,,,,,,,,3,"Gutierrez, Alejandra",,,,,
ATCM,1100,005,12,5,6,4,3,,1,,,1,1,2,1,,,,1,"Gutierrez, Alejandra",,,,,
ATCM,2300,001,,214,,19,14,,8,11,3,,3,,11,5,9,,21,"Balsamo, Anne","Rashid, Mohammed Mizanur","Simsek, Cansu Nur","Shukla, Nishanshi A","Martinez Ochoa, Angelica Miriam M","Adelman, David"
ATCM,2301,001,5,8,,,6,,,,,,1,,1,,1,,3,"Trosper, Elizabeth M",,,,,
ATCM,2301,002,7,6,7,1,3,2,,,,,,,3,,,,0,"Nguyen, Tuoc K",,,,,
ATCM,2301,003,11,10,1,,3,1,1,,,1,1,,,,,,1,"Enam, Victor J",,,,,
ATCM,2301,004,4,7,,,9,,,1,,,1,,,1,1,,1,"Trosper, Elizabeth M",,,,,
ATCM,2301,005,9,13,,,6,,,1,,,,,1,,,,0,"Trosper, Elizabeth M",,,,,
ATCM,2301,006,4,5,,,5,,,4,,,1,,3,1,1,,4,"Trosper, Elizabeth M",,,,,
ATCM,2301,501,5,5,4,1,,1,,3,,1,,,,,1,,4,"Nielsen, Christina R","Monjoree, Uttamasha",,,,
ATCM,2301,502,8,13,2,1,1,,,,,,,,,1,1,,3,"Hoggatt, Zane C",,,,,
ATCM,2302,001,8,6,3,1,1,1,1,1,,,1,,2,,,,1,"Minnish, Roxanne W","Beverly, Diamond E",,,,
ATCM,2302,002,6,7,6,2,,1,,,,,,,,,,,2,"Minnish, Roxanne W","Beverly, Diamond E",,,,
ATCM,2302,003,7,6,2,5,2,,1,,,,,,,,1,,1,"Minnish, Roxanne W","Beverly, Diamond E",,,,
ATCM,2302,004,9,5,4,2,1,1,1,,,,,,,,1,,1,"Minnish, Roxanne W","Beverly, Diamond E",,,,
ATCM,2302,005,7,10,2,2,1,1,,,1,,,,1,,,,0,"Alzate Mora, Catalina",,,,,
ATCM,2302,006,6,1,6,3,1,1,1,,2,,1,1,,,2,,0,"Asgharpour, Maedeh",,,,,
ATCM,2302,007,3,4,6,2,4,,,1,,,,,2,,,,2,"Flores, Carlin E",,,,,
ATCM,2302,501,6,3,2,1,4,,,1,,1,,1,4,,,,2,"Gonzalez, Isi J",,,,,
ATCM,2302,502,2,6,2,1,6,,,2,,,,4,2,,,,0,"Paiva Homsi, Murilo",,,,,
ATCM,2303,001,3,46,25,8,7,6,1,,,,1,,,1,,,2,"Oropallo, Kara I","Jones, Jazmine Q","Boyd, Elizabeth",,,
ATCM,2303,002,20,28,26,10,4,1,2,2,,1,1,1,,1,,,3,"Boyd, Elizabeth","Pietsch, Samuel R","Oropallo, Kara I",,,
ATCM,2310,001,61,36,24,21,12,18,8,8,6,3,1,2,9,1,7,,22,"Salter, Monika M","Lewis, Timothy M","McCord, Peter A","Lim, Fengjie","Johnson, Casey A",
ATCM,2315,001,9,14,18,11,6,4,2,,2,,3,1,5,,1,,4,"Veras de Souza, Christine","Bagherzadeh, Elmira",,,,
ATCM,2320,001,,2,6,4,4,4,1,1,,,,,1,,2,,5,"Imaoka, Laura",,,,,
ATCM,2321,001,,7,6,8,3,3,,2,,,,,,,,,1,"Sung, Wendy",,,,,
ATCM,2321,501,15,6,1,1,2,2,1,1,,,,,,,,,1,"Nguyen, Josef D",,,,,
ATCM,2322,001,15,8,2,1,2,2,,,,,,,,,,,0,"Wu, Hong An",,,,,
ATCM,2335,501,,17,,4,3,,,2,,,1,,,1,1,,1,"Stewart, Michael C",,,,,
ATCM,2335,502,5,5,11,1,2,1,1,1,1,,,,2,,,,1,"Starzer, Kenneth W",,,,,
ATCM,2335,503,2,1,3,4,4,1,1,3,,,1,,3,2,2,,3,"Chiu, Yu-Kwong",,,,,
ATCM,2345,001,5,3,4,2,2,4,,,1,1,,,3,1,1,,3,"Fitzgerald, Harold E",,,,,
ATCM,2345,002,8,9,5,,,,2,,,1,,1,1,,,,2,"Fitzgerald, Harold E",,,,,
ATCM,2345,003,5,4,2,1,2,1,1,1,,,,,4,,,,7,"Fitzgerald, Harold E",,,,,
ATCM,2355,001,9,2,2,2,1,,2,,,,,,2,,,,3,"Scott, Andrew F",,,,,
ATCM,3301,001,,7,8,2,2,,,,,,,,,,,,0,"Mulla, Ayesha",,,,,
ATCM,3301,002,,9,5,1,,1,1,,1,,,,,,,,1,"Mulla, Ayesha",,,,,
ATCM,3301,003,,1,4,4,3,2,,,,,1,,1,,1,,3,"Imaoka, Laura","Andic, Atanur",,,,
ATCM,3301,004,,2,3,3,,1,1,3,,,1,2,3,,,,0,"Ferreira de Souza, Leticia",,,,,
ATCM,3301,005,1,5,6,3,2,1,,,1,,,,,,,,0,"Field, Jamie M",,,,,
ATCM,3301,501,,6,4,2,1,,1,1,1,1,,1,1,,,,0,"Mallory, Stephen R",,,,,
ATCM,3301,502,1,2,4,5,2,1,1,,,,,,1,,,,2,"Ramakrishnan, Sharathchandra",,,,,
ATCM,3301,503,2,4,3,1,2,2,,2,1,,1,,,,,,1,"Rheams, David C",,,,,
ATCM,3301,504,3,3,2,2,1,2,,,1,1,1,,,1,1,,1,"Rheams, David C",,,,,
ATCM,3303,001,5,11,5,1,,,,1,,,,,,,,,0,"Oropallo, Kara I",,,,,
ATCM,3305,001,,2,3,3,4,5,3,3,,,,,3,2,,,2,"Caldwell, Bryon A",,,,,
ATCM,3305,002,,,7,7,2,4,1,2,3,,,2,1,1,,,0,"McComber, Sean",,,,,
ATCM,3305,003,,1,4,3,4,2,,2,2,,,,2,,1,,8,"Caldwell, Bryon A",,,,,
ATCM,3306,001,3,2,2,3,3,3,1,1,4,,2,,2,,,,4,"Salter, Monika M",,,,,
ATCM,3306,002,,3,1,5,3,2,,3,1,,2,1,1,,1,,6,"Johnson, Casey A",,,,,
ATCM,3306,003,2,5,5,3,3,3,1,,2,1,,,1,1,1,,2,"Boyd, Elizabeth",,,,,
ATCM,3307,001,,2,10,3,3,2,2,1,,,,1,1,1,1,,2,"McCord, Peter A",,,,,
ATCM,3307,002,2,3,1,1,5,3,2,,,,2,,1,,,,9,"Lim, Fengjie",,,,,
ATCM,3308,001,,,2,1,1,1,1,,2,,,1,4,,1,,4,"Johnson, Casey A",,,,,
ATCM,3308,002,4,1,3,,,2,1,2,1,,,,5,,3,,6,"Camacho, Christopher J",,,,,
ATCM,3309,001,,3,3,1,6,1,1,1,,,1,,,,,,0,"Fechter, Todd A",,,,,
ATCM,3310,001,,2,,1,2,2,1,1,,,1,,1,1,,,3,"Kitagawa, Midori",,,,,
ATCM,3311,001,5,1,4,,2,1,1,1,1,,,2,3,,2,,5,"Lim, Fengjie",,,,,
ATCM,3311,002,,7,3,3,,,2,2,2,1,,2,2,,1,,3,"Johnson, Casey A",,,,,
ATCM,3312,001,1,2,4,1,1,,,2,1,,1,,1,2,,,2,"Salter, Monika M",,,,,
ATCM,3320,001,3,5,2,4,3,3,,3,1,1,1,,1,1,,,2,"Cooley, Heidi",,,,,
ATCM,3321,001,,10,4,2,3,1,,4,,,1,,3,1,1,,0,"Llamas Rodriguez, Juan A",,,,,
ATCM,3325,001,,11,4,4,1,2,1,2,,,1,,4,,,,0,"Llamas Rodriguez, Juan A",,,,,
ATCM,3330,001,1,9,12,6,1,,,,,,,,,,,,2,"Burrough, Xtine",,,,,
ATCM,3335,001,2,6,2,4,2,3,1,1,,,,1,1,2,1,,4,"Kane, Simon A",,,,,
ATCM,3336,001,3,12,3,2,4,2,,,1,,1,,1,,,,1,"McKinney, Mark",,,,,
ATCM,3336,002,11,10,3,,4,1,,,,,,1,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,501,2,10,8,2,3,1,,,1,,,,1,,,,2,"McKinney, Mark",,,,,
ATCM,3336,503,2,8,5,4,3,3,,,,,2,,2,,,,1,"McKinney, Mark",,,,,
ATCM,3337,001,16,9,1,1,1,,,,,,,,2,,,,0,"Wood, Harold G",,,,,
ATCM,3337,002,11,12,2,2,3,,,,,,,,,,,,0,"Wood, Harold G",,,,,
ATCM,3337,003,12,7,1,,1,,,,,,,,4,,1,,3,"Wood, Harold G",,,,,
ATCM,3338,001,12,3,2,2,3,2,1,1,,,,,,1,1,,1,"Camacho, Christopher J",,,,,
ATCM,3338,002,13,2,2,3,1,3,,,,,,1,2,,,,2,"Camacho, Christopher J",,,,,
ATCM,3340,001,17,4,2,1,4,1,1,,1,,,,,,,,0,"Cox, Norman L",,,,,
ATCM,3340,002,13,5,5,,3,3,,,,,,,,,,,1,"Cox, Norman L",,,,,
ATCM,3340,003,13,5,1,1,3,2,2,1,,,,,1,,,,1,"Cox, Norman L",,,,,
ATCM,3340,004,17,8,1,1,,1,,1,1,,,,,,,,0,"Cox, Norman L",,,,,
ATCM,3346,001,1,4,5,,,,,1,,,,,1,1,,,1,"Marks, David E",,,,,
ATCM,3350,001,4,5,1,1,2,3,4,5,,,,1,1,,,,1,"Nielsen, Christina R",,,,,
ATCM,3350,002,9,8,2,1,2,1,,,1,1,3,,1,,,,1,"Nielsen, Christina R",,,,,
ATCM,3350,003,7,9,2,2,3,1,,,,2,1,,2,,,,1,"Hewitt, Sharon","Ikebude, Chukwuemeka",,,,
ATCM,3350,004,7,7,5,2,1,3,,,1,,1,,1,,2,,0,"Hewitt, Sharon","Ikebude, Chukwuemeka",,,,
ATCM,3350,005,6,4,1,4,,1,1,,3,,,2,3,,2,,3,"Hewitt, Sharon","Ikebude, Chukwuemeka",,,,
