Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
CHEM,2125,1U3,4,5,,2,1,,,,,,,,,0,"Tran, Daniel N","Hernandez, Jayoh A","Franciskovich, Matthew R",,,
MATH,2413,0S1,1,1,5,,3,,1,,,,1,,,0,"Alvarado, Iris",,,,,
MATH,4301,0U1,1,1,,,3,3,1,,,,1,,2,0,"Dabkowski, Mieczyslaw K","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,
COMD,7V82,0U1,,6,6,,,,,,,,,,,0,"Cokely, Carol G","Escabi, Celia D",,,,
ATCM,2302,051,2,5,,3,2,,,1,,,,,,0,"Minnish, Roxanne W",,,,,
AUD,7240,5U1,,13,,,,,,,,,,,,0,"Griffiths, Scott K",,,,,
AUD,7325,5S1,,10,3,,,,,,,,,,,0,"Thibodeau, Linda K",,,,,
HDCD,6370,0U1,,12,1,,,,,,,,,,,0,"Ewing, Donna M",,,,,
CS,1134,1U1,4,1,1,,2,,1,,1,,,,2,1,"Arnold, Gordon L","Zi, Yuxin",,,,
CS,3345,0U2,,2,,3,1,1,1,2,2,1,,,,0,"Ozbirn, Greg A","Li, Xiaodi",,,,
CS,4348,0U2,6,,2,1,1,,2,,,,1,,,0,"Ghanbari, Ali","Hu, Linghuan",,,,
EERF,7V89,0W1,,9,1,2,1,,,,,,,,,0,"Henderson, Rashaunda M",,,,,
IPEC,4308,0U1,3,5,,2,1,1,1,,,,,,,0,"Taden, John",,,,,
MKT,3300,0U1,,2,1,5,,,3,2,,,,,,0,"Rajaratnam, Daniel",,,,,
MKT,6337,5U1,,,3,3,4,3,,,,,,,,0,"Chatterjee, Sourav","Kamatham, Sriharsha",,,,
OPRE,4310,5U1,6,6,,,1,,,,,,,,,0,"Kohankie, Robert W",,,,,
REAL,6321,5U1,,3,2,,8,,,,,,,,,0,"Guttery, Randall",,,,,
BIOL,3101,0U4,1,2,5,2,,,,,3,,,,,0,"Srikanth, Uma",,,,,
MATH,2312,0U1,2,2,1,,3,,,1,1,,,,3,0,"Aman, Kelly","Lama, Sonam",,,,
ARTS,1316,0U1,,3,2,2,6,,,1,,,,,,0,"Metz, Greg L","Pomara, John",,,,
COMM,1311,0H1,3,4,5,1,,1,,,,,,,,0,"Tanner, Lari J",,,,,
COMM,1311,0H4,7,2,2,,1,,,,,,,,2,0,"Vazzi, Lisa",,,,,
RHET,1302,0S1,,,5,,3,3,,1,,,1,,1,0,"Sinckler, Robin",,,,,
ATCM,3367,5U1,2,3,2,1,1,2,1,1,1,,,,,0,"Billingslea, Steven L",,,,,
NSC,4353,1U3,,2,8,3,,,,,1,,,,,0,"Raboune, Siham","Driskill, Christopher M","Szabo-Pardi, Thomas A","Garner, Katherine M",,
BMEN,3320,051,3,3,1,3,2,,,1,,,,,1,0,"Ali, Tariq M","Abraham, Alejandro",,,,
CS,1334,0U1,,4,3,1,1,,3,,,,,,2,0,"Arnold, Gordon L","Hu, Linghuan",,,,
CS,3345,5U1,,2,1,2,4,3,1,,1,,,,,0,"Khan, Ziaullah","Li, Changbin",,,,
CS,6301,0U1,,8,5,1,,,,,,,,,,0,"Nagar, Anurag","Ashtiani, Omeed E","Hosseini, Seyyed Mohammadsaleh",,,
CS,6314,5U1,,10,2,1,,,,,,,,,,1,"Min, Richard K","Patel, Dhruvkumar R",,,,
ECS,3390,093,,4,2,1,4,,1,1,1,,,,,0,"Glauser, Janece B",,,,,
FIN,3305,5U1,,2,1,,3,1,,2,1,,4,,,0,"Guttery, Randall",,,,,
ITSS,4340,0U1,,2,3,3,4,1,1,,,,,,,0,"Thompson, Luell O",,,,,
OB,6301,5U2,,6,5,1,1,,,,,,,,,1,"Olsztynska, Agnieszka",,,,,
OBHR,4300,0U1,8,4,,1,,,,,,,,,,1,"Edgington, Kyle D",,,,,
OPRE,3333,0U1,2,3,1,3,1,,1,,,,,1,1,1,"Enayaty Ahangar, Negin","Qu, Zihao",,,,
BIOL,3520,3U2,,5,3,2,3,1,,,,,,,,0,"Mehta, Iti",,,,,
GEOS,3300,0S1,,4,1,3,2,3,,,1,,,,,0,"Geissman, John W",,,,,
MATH,1314,0S1,,4,1,,2,2,1,1,,,1,,2,0,"Nguyen, Mylinh T","Folarin, Samson B",,,,
MATH,3310,0U1,1,3,1,2,,1,1,1,1,1,,,2,0,"Dabkowski, Mieczyslaw K","Chowdhury, Md Mujibur Rahman",,,,
HIST,3328,091,,1,2,4,2,1,2,,1,,1,,1,0,"Dennis, Patrick W",,,,,
LIT,2331,051,8,3,2,,1,1,,,,,,,,0,"Boyer, Kent L",,,,,
SPAN,2341,0S1,13,2,,,,,,,,,,,,0,"Gonzalez, Cristina M",,,,,
CLDP,3342,0U1,1,4,4,2,1,1,,1,,,,1,,0,"Barfoot, John W","Peskova, Olga",,,,
NSC,4352,0U1,1,4,1,3,3,2,,1,,,,,,0,"Sultana, Rukhsana",,,,,
SPAU,4394,051,,7,,2,2,,2,1,1,,,,,0,"Kaplan, Karen",,,,,
CE,3320,0U2,1,1,4,4,3,1,,,,,,,1,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,
MECH,4382,0U1,,5,,3,1,2,3,,1,,,,,0,"Hart, Robert A","Koeln, Justin P","Upasham, Sayali S",,,
CRIM,3310,0U1,1,1,5,5,,1,,,,1,,,,1,"Gammell, Sarah P",,,,,
BPS,4305,5E1,6,2,3,,1,1,,1,,,,,1,0,"Carraher, Shawn M",,,,,
MIS,6364,0W1,,7,4,4,,,,,,,,,,0,"Narayan, Ravishankar L",,,,,
OPRE,6301,5U2,,4,2,2,3,1,1,1,,,,,,1,"Brussolo, Monica E","Takasi, Venkanna Dora Goutham",,,,
OPRE,6342,PU1,,11,3,1,,,,,,,,,,0,"Rajamani, Divakar",,,,,
OPRE,6376,PS1,,9,4,1,1,,,,,,,,,0,"Szot, James","Hicks, Jeffrey N",,,,
BIOL,3380,1U3,2,2,4,1,,3,,1,1,1,,,,0,"Rippel, Scott A","Chen, Hao",,,,
HMGT,3301,5U1,,10,,,5,,,,,,,,,0,"Berrett, Britt R","Wylie, Mary",,,,
RHET,1302,091,1,3,6,1,1,1,,1,,,,,2,0,"Crawford, Rachel",,,,,
PSY,3339,0U1,,4,1,2,1,,2,3,1,1,,,,1,"Huxtable-Jester, Karen J",,,,,
BMEN,3350,051,1,4,1,3,3,3,,1,,,,,,0,"Ali, Tariq M","Abraham, Alejandro",,,,
CS,4141,6U1,12,,4,,,,,,,,,,,0,"Nguyen, Nhut","Adebiyi, Abdulmateen A",,,,
CS,6378,0U1,,3,4,4,5,,,,,,,,,0,"Mittal, Neeraj","Varanasi, Sarat Chandra",,,,
ECS,3390,051,3,4,2,3,3,,,,,,,1,,0,"Moore, Lindsay E",,,,,
ED,4358,0W1,,5,1,1,2,,,,4,,,,1,2,"Root, Alexey",,,,,
ACCT,3331,5U1,3,2,1,1,1,,2,2,3,,,,,1,"Zhou, Yibin","Li, Chenchen",,,,
ACCT,3341,0U1,,3,4,2,1,2,1,1,,,1,,1,0,"Johnson, Jennifer",,,,,
ACCT,3350,5U1,1,1,,1,5,1,,2,1,,,3,1,0,"Gamino, John P",,,,,
ACCT,6330,0W1,,4,,,6,,,2,,,,,,4,"Cready, William M","Gencer, Nur Pinar",,,,
ACCT,6334,0W1,,7,,,7,,,1,,,,,,1,"Linsteadt, Chris C",,,,,
FIN,6301,5U1,,6,3,3,1,1,1,1,,,,,,0,"Baranchuk, Nina",,,,,
MIS,6346,5U1,,12,4,,,,,,,,,,,0,"Perez, Jerry","Tang, Ping",,,,
MKT,3330,0U1,6,,3,1,3,1,,1,,,1,,,0,"Amirpour, Semiramis",,,,,
BIOL,3456,1U1,,,3,3,2,2,1,,,1,1,,2,1,"Yu, Wen H",,,,,
COMM,3352,0H1,6,5,2,1,,,,,1,,,1,1,0,"King, Carie S",,,,,
NSC,4363,0U1,,4,,,7,,,3,,,1,,1,1,"Raboune, Siham",,,,,
PSY,3393,5U1,,14,,,2,,,,,,,,1,0,"Meltzer, Mitchell A","Zhao, Yuguang",,,,
BMEN,3402,0U1,2,2,2,1,2,2,1,,3,,1,,1,0,"Ardestani Khoubrouy, Soudeh",,,,,
CS,4341,0U1,,6,1,1,2,1,1,1,2,,2,,,0,"Nguyen, Nhut","Adebiyi, Abdulmateen A",,,,
CS,4375,0U2,3,4,5,3,1,,,1,,,,,,0,"Nagar, Anurag","Lin, Yu",,,,
ECS,3390,053,,9,5,2,1,,,,,,,,,0,"Glauser, Janece B",,,,,
ECON,2302,0U1,1,5,2,1,1,1,2,,1,,1,,,2,"Hou, Aoyu",,,,,
FIN,3320,0U1,,2,1,2,1,2,2,2,4,,,,,1,"Heidtman, David M",,,,,
FIN,6366,GW1,,7,3,3,4,,,,,,,,,0,"Kummer, Adnan",,,,,
IMS,6204,GH1,,11,5,,1,,,,,,,,,0,"Kiser, Stephen L",,,,,
IMS,6213,GH1,,4,5,4,4,,,,,,,,,0,"Peinhardt, Clint W",,,,,
IMS,6253,GH1,,3,6,,8,,,,,,,,,0,"Katz, Lothar",,,,,
IMS,6V91,0S1,,7,7,3,,,,,,,,,,0,"Woldu, Habte G",,,,,
ITSS,3390,5U1,1,7,5,2,2,,,,,,,,,0,"Arora, Vivek",,,,,
MIS,6326,0W1,,8,,,8,,,,,,,,,1,"Ryu, Young","Tunc, Murat M",,,,
GEOS,1303,051,1,4,2,,,4,2,1,,,1,1,,1,"Griffin, William R","Hetti Pathirannehelage, Diluni Ayeshika W",,,,
ARTS,3367,5U1,,5,4,4,1,2,1,,,,,,,1,"Metz, Greg L","Pomara, John",,,,
ARTS,3372,551,,8,5,,,,,,,,,,1,4,"Loving, Emily",,,,,
HIST,4368,051,,3,2,4,4,1,1,,,,1,,2,0,"Schulze, Jeffrey",,,,,
RHET,1302,053,5,4,2,1,2,,2,,,,,,1,1,"Lyons, David L",,,,,
ATCM,2301,0U1,2,4,2,,5,2,,1,1,,1,,,0,"Nielsen, Christina R",,,,,
COMD,7323,0U1,,18,,,,,,,,,,,,0,"Sweeney, Melissa",,,,,
NSC,4366,0U1,2,,4,1,2,1,,4,,,,,3,1,"Taylor, Anna M",,,,,
PSY,2301,0H1,2,1,3,,1,1,3,1,3,,,,1,2,"Brody, Salena M","Miranda, Giuseppe G",,,,
PSY,3393,0U1,5,4,1,,,3,1,,,,,,2,2,"Shirvani, Forouz","Mizener, Brendon J",,,,
CE,3310,5U1,1,5,1,5,1,1,,2,1,,,,1,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,
CE,3311,5U1,,1,3,4,6,2,1,1,,,,,,0,"Sechen, Carl","Hu, Bo","Xu, Xiangyu",,,
CS,1136,1U1,6,5,,,2,,1,1,,,,,1,2,"Arnold, Gordon L","Zhang, Chenxu",,,,
CS,4337,0U2,7,,,2,,4,2,2,,,,,1,0,"Karami, Gity","Shakerin, Farhad",,,,
ECS,3390,0U2,5,6,2,2,2,,,,1,,,,,0,"King, Carie S",,,,,
MECH,2310,0U1,1,7,1,1,1,2,,,,,2,,1,2,"Thamban, P.L.Stephan","Karami, Farzad",,,,
SOC,4396,0S1,3,9,3,1,,2,,,,,,,,0,"Lanham, Carol C",,,,,
ACCT,4342,5U1,,3,5,4,2,1,1,1,,1,,,,0,"Johnson, Jennifer",,,,,
ACCT,6305,0W1,,3,4,6,4,,,,,,,,,1,"Janakiraman, Surya","Kale, Devendra",,,,
ACCT,6388,5U1,,16,,,1,,,1,,,,,,0,"Goodrich, Mary Beth W",,,,,
FIN,6318,5U1,,5,7,6,,,,,,,,,,0,"Ma, Liping",,,,,
MKT,6V99,5U1,,14,1,1,2,,,,,,,,,0,"Tirone, Guido",,,,,
OPRE,3330,5U1,,2,7,4,,4,,1,,,,,,0,"Janke, Scott M","Qu, Zihao",,,,
OPRE,3360,0U1,3,4,,2,1,3,1,,3,1,,,,0,"Enayaty Ahangar, Negin","Qu, Zihao",,,,
BIOL,2281,1U3,2,5,,2,1,3,1,3,,,,,,1,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Easterwood, Shayne","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing"
CHEM,2125,1U1,6,12,,,,,,,,,,,,0,"Tran, Daniel N","Ma, Ziyuan","Lumata, Jenica",,,
MATH,1326,0U1,2,2,1,1,,1,,2,2,1,,,3,3,"Li, Changsong","Haq, Moutaz E",,,,
PHYS,1302,1U1,3,2,4,1,2,2,1,1,,,1,,,1,"Sun, Kuei","Mahmud, Mohammad M",,,,
PHYS,2126,1U3,10,7,,,,1,,,,,,,,0,"Macalevey, Paul J","Koirala, Pawan",,,,
SMED,5301,0W1,,14,2,,1,,,,,,,,1,0,"Taylor, Stephanie M",,,,,
COMM,1311,0H3,,3,,2,3,4,2,1,,,1,,3,0,"Moss, Daniel J",,,,,
LANG,2V42,0S1,,19,,,,,,,,,,,,0,"Gonzalez, Cristina M",,,,,
RHET,1302,051,10,4,2,1,,1,,,,,,,,1,"Shierry, Addison",,,,,
RHET,1302,052,,12,1,,2,,,1,,,,,1,2,"Kirk, Kristina E",,,,,
PSY,3392,0U1,,2,3,,4,4,,2,1,1,,,2,0,"Austin, Kathryn A","Terry, Courtney",,,,
CS,6375,MU1,,11,7,1,,,,,,,,,,0,"Nagar, Anurag",,,,,
EE,3302,0U1,4,2,3,3,3,2,,2,,,,,,0,"Kehtarnavaz, Nasser","Wei, Haoran",,,,
SE,6388,MU1,,15,3,,1,,,,,,,,,0,"Smith, Klyne",,,,,
BIS,4306,0W1,5,2,2,1,3,1,,1,,,,,3,1,"Simpson, Carrie M",,,,,
ISIS,4304,051,,4,4,4,2,1,,1,1,,1,,1,0,"Werhnyak, Larissa",,,,,
ENTP,6375,0W1,,12,1,1,2,,1,,,,,,1,1,"Bochsler, Daniel C",,,,,
FIN,6352,5U1,,9,2,3,4,1,,,,,,,,0,"Springate, David J",,,,,
MIS,6308,0W2,,1,6,3,7,2,,,,,,,,0,"Raghunathan, Srinivasan","Srivastava, Smriti","Xie, Si",,,
MATH,1326,0U2,3,1,2,,2,1,2,,,,,1,5,2,"Li, Changsong",,,,,
CS,4301,0U1,6,3,2,,2,1,1,,1,,3,,1,0,"Karami, Gity","Dakshit, Sagnik",,,,
HLTH,1301,0W1,1,2,3,3,2,5,1,,1,2,,,,0,"Baetge, Claire",,,,,
ACCT,6305,5U1,,9,4,4,1,2,,,,,,,,0,"Kromer, Jeffrey",,,,,
FIN,3360,0U1,1,1,3,3,2,4,4,2,,,,,,0,"Murray, Jennifer R",,,,,
FIN,4300,0U1,2,2,1,1,4,2,1,,3,,2,,1,1,"Kim, Sang Hyun",,,,,
MIS,6356,5U2,,9,4,1,4,1,,,,,,,,1,"Parker, Jason A","Zhu, Wangsheng",,,,
MKT,6339,0W1,,2,4,3,11,,,,,,,,,0,"Rajaratnam, Daniel",,,,,
OB,6332,5U1,,13,5,2,,,,,,,,,,0,"Ritchey, Kemberly A",,,,,
BIOL,2281,1U2,1,1,5,2,4,4,1,1,1,,,,,0,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Easterwood, Shayne","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing"
BIOL,3380,1U1,1,1,3,2,,3,4,3,2,,,1,,0,"Rippel, Scott A","Mazambani, Simbarashe",,,,
CHEM,1111,1U1,7,6,,1,1,,,3,,,,,1,1,"Sra, Amandeep K","Shahrivarkevishahi, Arezoo","Firouzi, Hamid Reza",,,
MATH,2419,0U1,1,1,1,2,4,1,,6,1,,,,1,2,"Eydelzon, Anatoly","Islambekov, Umar","Gudoshnikov, Ivan",,,
OPRE,6362,5U1,,12,5,2,,,,,,,,,,0,"Janke, Scott M","Qu, Zihao",,,,
COMM,1311,0H2,10,8,2,1,,,,,,,,,,0,"Tanner, Lari J",,,,,
COMM,1311,0W1,8,4,3,4,,,,,,,1,,1,0,"Vazzi, Lisa",,,,,
COMM,1311,0W2,4,9,1,1,3,,,,,,,,1,2,"Gregory, Mona Y",,,,,
ATCM,3305,0U1,,,2,,1,3,3,3,2,3,1,1,1,1,"Camacho, Christopher J",,,,,
ATCM,3337,091,5,8,3,2,1,1,,,,,,,1,0,"Wood, Harold G",,,,,
ATCM,3340,051,13,,4,1,1,1,,1,,,,,,0,"Veras de Souza, Christine",,,,,
PSY,3342,0U1,4,4,7,2,3,,,1,,,,,,0,"Barfoot, John W","Peskova, Olga",,,,
CS,1337,0U2,5,4,1,1,4,1,1,,,,,,4,0,"DeGroot, Doug",,,,,
CS,3305,0U2,,5,2,3,1,3,1,1,,1,,1,2,1,"Ishigaki, Genya","Lee, Yi-Hui",,,,
CS,3354,0U2,5,8,6,2,,,,,,,,,,0,"Smith, Klyne","Tian, Zijing",,,,
CS,5343,0U1,,12,3,2,2,,,,,,,,2,0,"Gupta, Neeraj K","Samiei, Aliehsan",,,,
MECH,3105,0U1,2,7,4,6,1,,,1,,,,,,0,"Rios, Oziel","Sadeh, Sepehr",,,,
MECH,3305,0U1,1,4,1,1,3,4,1,3,,,1,,2,0,"Rios, Oziel","Sadeh, Sepehr",,,,
CRIM,3302,0W1,11,5,2,1,1,,,,,,,1,,0,"Polk, Elmer O",,,,,
FIN,3340,0U1,5,3,5,3,3,1,,,,,,,,1,"Molina, Stephen",,,,,
FIN,6321,5U1,,8,,,8,2,,2,,,,,,1,"Guttery, Randall",,,,,
ITSS,3300,0U1,,4,7,,4,2,,2,,,,,1,1,"Owens, Dawn M","Bhansali, Akanksha",,,,
BIOL,3380,1U2,4,1,4,1,3,4,1,1,1,1,,,,0,"Pickett, Elizabeth A","Hulyalkar, Neha V",,,,
PHYS,2126,1U2,12,6,1,,,,,,,,,,1,1,"Macalevey, Paul J","Parajuli, Santosh",,,,
ATCM,3306,0U1,1,1,5,2,1,5,,,2,,1,,4,0,"McCord, Peter A",,,,,
ATCM,3368,0U1,2,2,4,,2,3,2,2,1,3,,,1,0,"Chandler, Adam W",,,,,
ACN,6338,0U1,,13,,,8,,,1,,,,,,0,"Sultana, Rukhsana",,,,,
ACN,6V81,0U1,,19,2,,,1,,,,,,,,0,"McWilliams, Steven P",,,,,
BMEN,4388,0U1,,5,10,6,1,,,,,,,,,0,"Polk, Todd W",,,,,
CS,1337,0U1,1,1,2,1,7,3,1,1,,,,,2,3,"Shields, Charles O","Guo, Jianxiong",,,,
CS,2336,5U1,6,11,2,,3,,,,,,,,,0,"Khan, Ziaullah","Li, Fang",,,,
CS,3340,0U1,1,1,3,2,2,7,,3,2,,,,1,0,"Mazidi, Karen J","Mi, Feng",,,,
CS,3345,0U1,2,4,2,,4,2,,3,3,,1,,,1,"Ozbirn, Greg A","Ahn, Sung Soo",,,,
PSCI,4396,0U1,,8,2,3,1,4,,1,3,,,,,0,"Gathman, Adrienne E",,,,,
ACCT,6305,SS1,,7,6,2,2,4,1,,,,,,,0,"Zhang, Jieying",,,,,
ACCT,6331,0W1,,8,,,6,,,5,,,,,,3,"Cready, William M","Gencer, Nur Pinar",,,,
BPS,7303,0U1,,22,,,,,,,,,,,,0,"Watson, John M",,,,,
BUAN,6357,0U1,,12,5,4,1,,,,,,,,,0,"Chatterjee, Sourav","Mehta, Sameer",,,,
FIN,6301,SS1,,8,2,3,6,3,,,,,,,,0,"Xu, Yexiao",,,,,
FIN,6307,5U1,,6,8,,4,1,2,1,,,,,,0,"Ma, Liping",,,,,
ITSS,4330,5U1,1,1,,3,7,2,4,2,,,,,1,1,"Islam, Naser","Bhansali, Akanksha",,,,
ITSS,4V95,5U1,16,3,2,,,1,,,,,,,,0,"Khan, Taimur A","Mehta, Sameer",,,,
MIS,6319,0W1,,9,,,12,,,,,,,,1,0,"Thompson, Luell O",,,,,
CHEM,1112,1U2,,4,4,4,4,1,,2,2,,,1,,0,"Qin, Yanping","Mortensen, Marie L","Graham, Robert L",,,
MATH,2417,0U1,2,3,2,2,1,1,,1,,,,,7,3,"Ahsan, Mohammad K","Sitaula, Hari P","Helal, Md Abu","Milogorodskii, Aleksandr","Zimmer, Kevin C",
