Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BIOL,2281,3U4,1,4,4,3,3,1,1,1,,,,1,,,,0,"Lin, Wen J","Ratevosyan, Richard","Mittal, Shubham","Do, Hung P","Basu, Ujjaini","Easterwood, Shayne"
BIOL,2311,0U1,6,1,4,2,2,4,2,,,,,,,,,0,"Sarcar, Subha N","Xu, Linyi","Kwende, Sharon A",,,
BIOL,2312,0U1,13,4,4,4,11,3,2,3,2,2,2,3,13,,,7,"Wu, Zhuoru","Tiwari, Suman","Chase, Rebecca L","Alemi, Parinazsadat",,
BIOL,3101,0U1,12,5,8,5,2,5,,1,,,,,,,,2,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa",,,,
BIOL,3101,0U2,5,13,6,1,3,2,2,2,1,2,2,,,,,1,"Srikanth, Uma","Salaudeen, Ibrahim O",,,,
BIOL,3101,0U3,3,6,1,2,2,5,1,3,2,1,1,,,,,0,"Srikanth, Uma","Salamat, Narges",,,,
BIOL,3101,0U4,5,2,1,1,1,4,1,1,,4,,,1,,,0,"Srikanth, Uma","Bach, Thao Nguyen",,,,
BIOL,3101,0U5,5,10,3,1,4,5,3,2,,2,,,,,,0,"Srikanth, Uma","Akter, Zakia",,,,
BIOL,3101,0U6,,5,1,,1,4,2,,1,,,,,,,1,"Srikanth, Uma","Zaheen Khan, Fabiha",,,,
BIOL,3102,0U1,,,2,2,,,3,,1,,4,2,,,,1,"Srikanth, Uma","Yamauchi, Stephanie A",,,,
BIOL,3102,0U3,1,2,2,2,1,5,4,,,,,4,,,,2,"Srikanth, Uma","Patel, Umar J",,,,
BIOL,3161,0U1,,4,6,7,2,6,4,2,3,2,,,1,,,1,"Candas, Mehmet","Lakoduk, Ashley",,,,
BIOL,3161,0U2,,1,2,5,1,,1,1,,,,,,,,0,"Candas, Mehmet","Lakoduk, Ashley",,,,
BIOL,3162,0U2,,1,3,6,1,3,3,3,2,1,1,,,,,0,"Candas, Mehmet","Lakoduk, Ashley",,,,
BIOL,3301,0U1,30,41,20,10,13,25,9,9,4,9,3,,1,,,4,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Akter, Zakia","Salamat, Narges","Salaudeen, Ibrahim O","Bach, Thao Nguyen"
BIOL,3302,0U1,1,2,4,4,1,5,7,,1,,4,6,,,,3,"Srikanth, Uma","Patel, Umar J","Ballew, Luke","Yamauchi, Stephanie A",,
BIOL,3318,0U1,4,24,25,14,6,6,1,2,3,1,1,,1,,,0,"Henson, Uyen N",,,,,
BIOL,3361,0U1,,5,8,12,2,5,5,2,3,2,,,1,,,1,"Candas, Mehmet","Lakoduk, Ashley","Falah, Rafah M","Yaqub, Muneer O",,
BIOL,3362,0U1,,1,3,5,1,3,2,2,2,1,,,,,,0,"Candas, Mehmet","Lakoduk, Ashley","Petter, Andrew T","Soladogun, Adedamola S",,
BIOL,3380,3U1,1,3,1,3,3,4,1,2,1,,,,,,,1,"Rippel, Scott A","Pickett, Elizabeth A","Zhi, Jiahe","Zhabilov, Dannie",,
BIOL,3380,3U2,,,,,1,,4,1,2,,,2,,,,0,"Pickett, Elizabeth A","Rippel, Scott A","Zhi, Jiahe","Zhabilov, Dannie",,
BIOL,3380,3U3,1,,1,2,1,2,3,1,2,2,2,1,2,,,1,"Rippel, Scott A","Pickett, Elizabeth A","Mazambani, Simbarashe","Berisha, Eranda",,
BIOL,3380,3U4,,,3,1,1,1,4,2,3,1,1,1,1,,,2,"Pickett, Elizabeth A","Rippel, Scott A","Mazambani, Simbarashe","Berisha, Eranda",,
BIOL,3455,3U1,1,1,1,2,1,1,2,2,2,2,,3,4,,,1,"Ramirez, Ruben D","Veera, Kavya","Deese, Alexander R","Wickramasinghe, Piumi B",,
BIOL,3455,3U2,,2,1,2,3,4,1,3,3,1,4,4,2,,,2,"Ramirez, Ruben D","Veera, Kavya","Deese, Alexander R","Wickramasinghe, Piumi B",,
BIOL,3456,3U1,1,5,1,1,2,5,3,3,1,2,1,1,,,,2,"Yu, Wen H","Cornelius, Samuel A",,,,
BIOL,3520,3U1,3,6,8,2,3,2,,,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Shashikanth Raj Urs, Karthik Urs Bangalore",,,
BIOL,3520,3U2,2,5,5,3,4,2,,2,1,,,,,,,0,"Mehta, Iti","Shipman, Braden M","Kunder, Nikesh Prakash",,,
BIOL,3V00,0U1,5,3,5,1,,1,,,,,,,,,,0,"Sarcar, Subha N",,,,,
BIOL,4380,3U1,2,8,3,2,,2,2,,,,,,1,,,0,"Maynard, Caitlin S","Zhang, Bei","Shryock, Douglas G","Joshi, Ketki","Dhar, Roopal",
BIOL,5330,0W1,,11,4,,,,,,,,,,,,,0,"Hajeri, Vinita",,,,,
BIS,2190,0W1,9,1,1,,1,,,,1,,,,,,,0,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,
BIS,3320,091,1,2,2,1,2,1,,,2,,,,,,,2,"Wright, David A",,,,,
BIS,3320,0U1,1,2,3,4,2,,,,,,,,1,,,0,"Wright, David A",,,,,
BLAW,2301,5U1,,4,5,4,6,5,1,5,4,,3,,,,,1,"Betanzos, Christina L",,,,,
BMEN,3150,1U1,5,2,1,3,1,,1,,1,,,,,,,0,"Ali, Tariq M","Chaudhary, Sugandha",,,,
BMEN,3350,0U1,3,1,,1,1,2,1,2,1,,,,1,,,0,"Ali, Tariq M",,,,,
BMEN,3402,0U1,1,2,,1,1,1,,2,1,,4,,1,,,0,"Ardestani Khoubrouy, Soudeh","Kian Pour, Bahareh",,,,
BMEN,4388,0U1,,2,8,3,4,1,,,,,,,,,,0,"Polk, Todd W","Molaei Imenabadi, Rouzbeh","Kang, Taek",,,
BMEN,6V87,0U1,,12,,,,,,,,,,,,,,0,"Porter, Benjamin A",,,,,
BPS,4305,5U1,5,8,8,9,6,5,3,2,1,,1,1,,,,1,"Lee, Minjung",,,,,
BPS,4395,0U1,,44,,1,,,,1,,,,,,,,0,"Parks, David",,,,,
BPS,6310,0W1,,12,9,12,10,,,,,,,,,,,0,"Xia, Jun","Garg, Suyash",,,,
BPS,6310,GW1,,7,10,5,1,1,1,,,,,,,,,0,"Choi, Emily",,,,,
BPS,7303,0U1,,15,,,,,,,,,,,,,,0,"Watson, John M",,,,,
BUAN,6312,0W1,,12,13,6,5,3,3,2,,,,,,,,0,"Blueshtein, Moran","Nguyen, Nam H",,,,
BUAN,6320,5U1,,17,10,8,4,9,,,,,,,,,,0,"Srikanth, K.","Srivastava, Bhupesh K",,,,
BUAN,6320,SW1,,9,,,2,,,,,,,,1,,,0,"Narayan, Ravishankar L",,,,,
BUAN,6337,0W1,,8,7,7,5,5,1,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,
BUAN,6337,0W2,,11,10,9,13,11,3,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,
BUAN,6340,5U1,,8,10,14,7,1,,,,,,,,,,0,"Pandian, Thiru","Zhu, Wangsheng",,,,
BUAN,6340,SW1,,6,6,2,2,2,,,,,,,,,,1,"Neouchi, Rabih",,,,,
BUAN,6341,5U1,,8,9,3,3,2,,,,,,,,,,0,"Sabir, Muhammad F","Joseph, Shailender",,,,
BUAN,6346,5D1,,11,3,5,1,,,,,,,,,,,0,"El-Youssef, Rami","Tang, Ping",,,,
BUAN,6346,5U1,,25,4,8,3,,,,,,,,,,,1,"El-Youssef, Rami","Tang, Ping",,,,
BUAN,6346,SU1,,3,3,4,,,,,,,,,,,,0,"Perez, Jerry",,,,,
BUAN,6346,SW1,,13,7,2,3,1,,,,,,,,,,2,"Paes, Antonio P",,,,,
BUAN,6356,5U1,,5,5,,3,2,,1,,,,,,,,0,"Shrivastava, Prakash C","Kengalapura Shivamurthy, Sourabha",,,,
BUAN,6359,5U1,,7,3,,4,2,1,5,,,,,,,,0,"Ramezani, Rasoul","Ghosh, Pramit",,,,
BUAN,6398,0W2,,52,4,1,2,,,,,,,,,,,0,"Alimirzaei, Athena","Qu, Zihao",,,,
BUAN,6398,5U1,,13,,4,3,1,1,,,,,,,,,0,"Sethi, Awanti",,,,,
BUAN,6398,SW1,,30,2,2,2,,1,2,,,,,2,,,1,"Alimirzaei, Athena","Qu, Zihao",,,,
CE,2310,0U1,2,,2,1,2,,,1,,,1,,,,,1,"Nikoubin, Tooraj","Datta, Rajesh K","Parchamdar, Baharealsadat",,,
CE,3161,051,1,6,1,2,,,,,,,,,,,,0,"Mezenner, Rabah",,,,,
CE,3301,0U1,2,2,,1,2,,1,2,2,,1,,1,,,1,"Tacca, Marco","Luo, Ziyang",,,,
CE,3303,0U1,1,,2,3,,2,3,3,,,,1,1,,,1,"Kehtarnavaz, Nasser","Uddin, Mohammed Belal",,,,
CE,4203,0H1,4,4,1,4,,1,1,1,,,,,,,,0,"Kehtarnavaz, Nasser","Ni, Aoxin","Gogineni, Susmitha",,,
CE,4388,0U1,,5,2,1,2,1,,,,,,,,,,0,"Tacca, Marco",,,,,
CGS,3361,0W1,5,3,,2,,,,,,,,,,,,1,"Hooge, Kimberley O",,,,,
CGS,4352,0W1,,8,1,3,1,,,1,,,,,,,,1,"Kumar, Pushpa S","Tran, Trung Hieu",,,,
CHEM,1111,1U1,5,5,,1,1,,,,,,,,1,,,1,"Qin, Yanping","Montalvillo, Fernando","Yan, Qing",,,
CHEM,1112,1U2,1,8,1,1,1,,,1,1,,,,2,,,1,"Huang, Yu","Umer, Arslan","Hasna Begam, Mohammed Nazar",,,
CHEM,1311,0U1,1,4,4,3,,3,,1,2,,,1,1,,,2,"Sra, Amandeep K","Gull, Humera",,,,
CHEM,1312,0U1,7,8,4,4,10,5,1,1,10,4,2,3,8,,,4,"Huang, Yu","Parsamian, Perouza","Gamage, Madujika A",,,
CHEM,2125,1U2,24,,,2,,,,,,,,,,,,1,"Wijenayake, Sumudu N","Ben David, Ayala","Giri, Sachin",,,
CHEM,2323,0U1,2,10,2,3,3,,7,2,4,1,,,6,,,3,"Tran, Daniel N",,,,,
CHEM,2325,0U1,8,2,5,5,4,2,4,5,4,1,4,,11,,,4,"Sibert, John W",,,,,
COMD,5340,0U1,,24,,1,1,,,,,,,,,,,0,"Aldridge, Michelle A","Vu, Katrina D",,,,
COMD,6320,0U1,,12,,,1,,,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,
COMD,7303,0U1,,93,,,8,,,,,,,,,,,0,"Dean, Lucinda L","Kenedi, Helen",,,,
COMD,7323,0U1,,14,,,1,,,,,,,,,,,0,"Sweeney, Melissa",,,,,
COMD,7V68,0U1,,29,,,,,,,,,,,,,,0,"Sale, Felicity F",,,,,
COMD,7V86,0U1,,41,,,,,,,,,,,,,,0,"Rich, Judith B","Denicola-Prechtl, Kathleen M",,,,
COMD,7V86,0U2,,18,,,,,,,,,,,,,,0,"Gollis, Christina R",,,,,
COMD,7V89,0U1,,12,,,,,,,,,,,,,,0,"Walsh, Diane G",,,,,
COMM,1311,0S1,6,5,,,,,,,,,,1,,,,0,"Tanner, Lari J",,,,,
COMM,1311,0S2,4,6,2,,1,,,,,,,,,,,0,"Tanner, Lari J",,,,,
COMM,1311,0W1,8,9,2,,1,,,,,,,,1,,,2,"Vazzi, Lisa",,,,,
COMM,1311,0W2,3,2,2,1,,,1,1,,,,,,,,2,"Vazzi, Lisa",,,,,
COMM,1315,0W1,7,4,3,,,1,1,,,,,,1,,,2,"Skiles, Bradley W",,,,,
COMM,3342,0S1,,15,4,1,,,,,,,,,,,,0,"Gooch, John C",,,,,
CRIM,1301,0U1,2,5,3,1,2,,,,,,,,,,,0,"Geibler, Robert",,,,,
CRIM,1307,0U1,1,4,4,,1,,,,1,,,,,,,0,"Van Blarcum, Lauren N",,,,,
CRIM,3301,0W1,15,9,9,2,4,4,1,1,3,,2,,2,,,3,"Manuel, Samantha A",,,,,
CRIM,3302,0W2,2,5,2,2,4,2,,,,,,,,,,0,"Rodriguez, Diana C",,,,,
CRIM,3310,0U1,3,8,1,2,2,,,,,,1,,,,,0,"Wilds, Katherine M",,,,,
CRIM,4311,0W1,5,1,6,2,1,2,3,1,,,,,3,,,0,"Gordon, Quinn T",,,,,
CRIM,4396,5W1,4,17,5,8,14,6,3,3,,,,1,1,,,1,"Worrall, John L",,,,,
CS,1134,1U1,12,2,2,2,,,,,1,,1,1,,,,0,"Min, Richard K","Hsu, Chih-Wei",,,,
CS,1136,1U1,5,2,3,3,1,,,,1,,,,2,,,1,"Min, Richard K","Alshomar, Ahmad",,,,
CS,1136,1U2,7,1,1,,,1,1,,,2,,,1,,,0,"Min, Richard K","Li, Dongcheng",,,,
CS,1325,0U1,1,5,2,3,5,2,1,,,,,,,,,0,"Feng, Ranran","Li, Ruosen",,,,
CS,1334,0U1,4,3,4,5,2,1,,,3,,,,,,,0,"Nagar, Anurag","Ocampo Diaz, Gerardo",,,,
CS,1335,5U1,2,2,9,3,,,,,,,,,1,,,1,"Erbatur, Serdar","Li, Xiao",,,,
CS,1336,0U1,2,1,1,3,4,2,3,2,,,1,,3,,,1,"Gupta, Neeraj K","Birashk, Amin","Deniz, Omer Faruk",,,
CS,1336,0U2,5,3,2,1,2,,1,2,,1,1,,1,,,0,"Arnold, Gordon L",,,,,
CS,1337,0U1,3,6,5,3,9,1,3,2,,1,,,2,,,1,"Dollinger, Scott M","Delaram, Zeinab","Chen, Zizhao",,,
CS,1337,5U1,1,5,3,2,7,4,6,,,,,,,,,0,"Davis, Chris I","Zeng, Yankai",,,,
CS,2305,0U1,3,11,7,4,3,1,2,2,,,,,,,,1,"Feng, Ranran","Guo, Jinghui",,,,
CS,2336,0U1,3,5,1,,1,,2,,,,,,4,,,1,"Arnold, Gordon L",,,,,
CS,2336,5U1,2,3,5,5,7,10,,,,,,,,,,1,"Khan, Ziaullah","Tian, Zijing","Chen, Simin",,,
CS,2340,0U1,1,5,6,4,3,,2,2,2,1,,1,2,,,0,"Mazidi, Karen J","Mi, Feng",,,,
CS,2340,0U2,,3,,2,3,1,,,2,,,,1,,,0,"Zhao, Yi","Mi, Feng",,,,
CS,3305,0U2,,6,5,3,3,,,,,,,,,,,0,"Davis, Chris I","Shams, Shahab",,,,
CS,3305,0W1,1,19,4,4,2,,,,,,,,,,,0,"Farage, Timothy P","Tian, Zijing",,,,
CS,3341,0U1,6,1,3,3,1,1,2,1,5,3,,,1,,,0,"Whalen, Tristan G",,,,,
CS,3345,0U1,2,1,4,3,2,2,3,,1,3,1,1,1,,,1,"Ozbirn, Greg A","Malouf, Brian D",,,,
CS,3345,0U2,,,1,1,,1,2,3,,,,,2,,,0,"Zhao, Yi","Malouf, Brian D",,,,
CS,3354,0U1,,2,2,1,3,3,1,1,,,,,,,,0,"Paulk, Mark C","Chen, Zizhao",,,,
CS,3377,0W1,8,23,11,1,3,,3,2,,,1,,3,,,0,"Dollinger, Scott M","Jiang, Kai",,,,
CS,4141,6U1,14,3,2,,,,,,,,,,,,,0,"Nguyen, Nhut","Li, Xiao",,,,
CS,4141,6U2,4,2,3,1,,,2,,2,,,,,,,0,"Nguyen, Nhut","Chen, Tiantian","Li, Xiao",,,
CS,4301,0U1,7,11,7,5,4,,,2,2,,1,,,,,0,"Karami, Gity","Delaram, Zeinab",,,,
CS,4336,0U1,3,17,12,6,4,4,1,3,3,2,,,2,,,1,"Ozbirn, Greg A","Wang, Wenting","Nguyen, Son V",,,
CS,4337,0U1,11,,2,1,1,1,1,,,,2,,1,,,1,"Karami, Gity","Liu, Ximeng",,,,
CS,4337,0U2,7,2,5,2,3,1,,2,,,,,1,,,2,"Karami, Gity","Li, Ruosen",,,,
CS,4341,0U1,1,13,3,1,3,,3,4,3,2,2,,3,,,0,"Nguyen, Nhut","Chen, Tiantian",,,,
CS,4347,0U1,5,4,,1,4,,,2,,,,,1,,,0,"Omer, Jalal S","Liu, Ximeng",,,,
CS,4347,5U1,,3,5,10,4,2,4,2,1,,,,1,,,0,"Khan, Ziaullah","Li, Shengjie",,,,
CS,4348,0U1,1,3,,3,3,2,,2,3,,,,3,,,0,"Mittal, Neeraj","Wang, Wenting",,,,
CS,4348,0U2,,3,4,7,8,2,2,2,,,2,,5,,,2,"Prakash, Ravi","Rathnasuriya, Ravishka S",,,,
CS,4349,0U1,2,6,2,,2,2,,,,,,,1,,,0,"Chitturi, Bhadrachalam","Aggarwal, Alakh",,,,
CS,4352,0W1,2,15,5,,6,,,2,,,,,,,,0,"Kumar, Pushpa S","Tran, Trung Hieu",,,,
CS,4365,0U1,2,2,3,5,1,3,,2,2,1,,,,,,0,"Min, Richard K","Zeng, Yankai",,,,
CS,4375,0U1,1,2,2,5,3,5,2,1,1,1,,,3,,,1,"Mazidi, Karen J","Shams, Shahab",,,,
CS,4375,0U2,1,1,1,,2,1,1,,1,,,,3,,,3,"Ng, Yu Chung V","Li, Shengjie",,,,
CS,4376,0U1,1,1,2,2,2,3,2,2,,1,,,,,,1,"Chung, Lawrence","Alshomar, Ahmad",,,,
CS,4384,0U1,,2,7,2,3,2,1,2,5,,,,,,,0,"Erbatur, Serdar","Deniz, Omer Faruk",,,,
CS,4384,0U2,1,5,2,5,2,3,2,,,,,,1,,,1,"Davis, Chris I","Birashk, Amin",,,,
CS,4390,0U1,1,4,3,2,2,2,1,2,,,3,,,,,0,"Nguyen, Nhut","Li, Congzhou",,,,
CS,4393,0U1,,4,,1,2,1,,1,2,,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,
CS,5343,0U1,,6,4,5,7,2,1,3,,,,,1,,,0,"Gupta, Neeraj K","Deniz, Omer Faruk",,,,
CS,6314,5U1,,11,6,10,,,,,,,,,,,,0,"Min, Richard K","Hsu, Chih-Wei",,,,
CS,6350,0U1,,46,18,4,1,,,,,,,,,,,0,"Nagar, Anurag","Su, Ke","Miao, Miao",,,
CS,6359,0U1,,10,20,11,8,,,,,,,,,,,0,"Chung, Lawrence","Kolluri, Kirthy",,,,
CS,6360,5U1,,9,2,4,4,,1,,,,,,,,,0,"Omer, Jalal S","Garg, Priyanshi",,,,
CS,6363,0U1,,16,3,10,4,3,,,,,,,,,,1,"Chitturi, Bhadrachalam","Aggarwal, Alakh",,,,
CS,6364,0U1,,17,7,3,14,,2,9,,,,,5,,,0,"Schweitzer, Haim","Dasgupta, Sopam","Song, Zihe",,,
CS,6364,0U2,,17,6,2,4,2,,2,,,,,1,,,0,"Schweitzer, Haim","Dasgupta, Sopam","Song, Zihe",,,
CS,6367,0U1,,13,5,4,1,1,,,,,,,,,,0,"Wong, Weichen E","Li, Dongcheng","Chen, Zizhao",,,
CS,6375,5U1,,25,12,4,1,,,,,,,,,,,0,"Nagar, Anurag","Zhang, Qifan",,,,
CS,6378,0U1,,8,2,2,6,2,,2,,,,,,,,0,"Prakash, Ravi","Miao, Miao",,,,
CS,6385,0W1,,43,15,5,7,,,,,,,,,,,0,"Farago, Andras","Hatfield, Cody R","Garg, Priyanshi",,,
ECON,2301,0U1,2,3,3,,1,2,1,,1,,,,1,,,0,"Bing, Yuanchen",,,,,
