Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BCOM,3300,0U1,,4,4,4,4,6,3,,4,1,3,2,9,,,,1,"Fry, Jennifer L",,,,,
BCOM,3300,0U2,,1,7,3,2,1,4,4,1,1,,1,3,,,,2,"Fry, Jennifer L",,,,,
BCOM,3310,0U2,1,2,3,3,4,2,7,5,,3,,,3,,,,0,"Walton, Michaella",,,,,
BCOM,4300,0U1,,,1,1,7,7,5,3,2,2,4,3,2,,,,1,"Lookadoo, Kathryn","Ward, Hannah",,,,
BCOM,4300,0U2,,5,8,5,6,12,3,4,3,1,1,1,1,,,,0,"Smallwood, Margaret G","Ward, Hannah",,,,
BCOM,4300,0U3,,4,11,6,5,6,2,7,4,1,2,,1,,,,1,"Smallwood, Margaret G","Ward, Hannah",,,,
BCOM,4300,0U4,,1,,1,1,4,2,4,3,,1,1,1,,,,1,"Lookadoo, Kathryn","Ward, Hannah",,,,
BCOM,4300,0U5,,,3,3,7,5,4,3,2,,1,,,,,,0,"Watson, John M","Ward, Hannah",,,,
BCOM,4300,5E1,,2,4,9,8,8,5,3,,2,,1,1,,,,1,"Watson, John M","Ward, Hannah",,,,
BCOM,4300,5U1,1,2,6,7,6,5,9,3,2,1,1,,1,,,,0,"Tamez, Katrina",,,,,
BIOL,2111,0U1,,11,,,14,,,5,,,,,2,,,,1,"Maitra, Meenakshi","Ashrafi, Adnin","Salamat, Narges",,,
BIOL,2111,0U2,,11,,,10,,,4,,,2,,,,,,4,"Maitra, Meenakshi","Salamat, Narges","Ashrafi, Adnin",,,
BIOL,2112,0U1,6,5,2,3,6,1,1,,2,,2,1,4,,,,2,"Wu, Zhuoru","Tiwari, Suman",,,,
BIOL,2112,0U2,5,7,4,1,4,4,1,5,,2,,1,1,,,,0,"Wu, Zhuoru","Tiwari, Suman",,,,
BIOL,2281,3W1,5,3,4,2,2,1,,1,1,2,,1,1,,,,0,"Lin, Wen J",,,,,
BIOL,2281,3W2,1,4,1,4,1,5,3,,,,,,2,,,,3,"Lin, Wen J",,,,,
BIOL,2281,3W3,,6,6,1,3,1,3,1,1,1,,,1,,,,0,"Lin, Wen J",,,,,
BIOL,2281,3W4,4,8,3,2,1,,,2,1,1,,,1,,,,0,"Lin, Wen J",,,,,
BIOL,2311,0U1,,22,,,24,,,9,,,2,,2,,,,5,"Maitra, Meenakshi","Salamat, Narges","Ashrafi, Adnin",,,
BIOL,2312,0U1,11,12,6,4,10,5,2,5,2,2,2,2,5,,,,2,"Wu, Zhuoru","Tiwari, Suman",,,,
BIOL,3101,0U1,13,4,3,5,3,3,1,1,4,,1,1,,,,,0,"Srikanth, Uma",,,,,
BIOL,3101,0U2,18,6,3,4,4,,2,,,1,1,,,,,,0,"Srikanth, Uma","Gadhvi, Jashkaran G","Ratevosyan, Richard",,,
BIOL,3101,0U3,15,3,4,4,5,1,,1,1,,,,,,,,0,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa",,,,
BIOL,3101,0U4,7,3,7,4,4,2,3,,,,,2,,,,,0,"Srikanth, Uma","Yaqub, Muneer O",,,,
BIOL,3101,0U5,9,4,10,4,1,2,1,,1,,1,,1,,,,0,"Srikanth, Uma","Joshi, Ketki",,,,
BIOL,3101,0U6,4,,1,4,1,,1,,,,,,,,,,0,"Srikanth, Uma","Alemi, Parinazsadat",,,,
BIOL,3102,0U1,3,5,3,2,4,1,4,3,,,,,,,,,0,"Srikanth, Uma",,,,,
BIOL,3102,0U3,4,5,3,4,4,,1,1,1,1,,,,,,,0,"Srikanth, Uma",,,,,
BIOL,3161,0W1,,14,9,6,4,8,3,3,2,2,1,1,1,,,,1,"Candas, Mehmet",,,,,
BIOL,3161,0W2,,3,,5,4,7,4,2,1,,,,,,,,0,"Candas, Mehmet",,,,,
BIOL,3161,0W3,,2,7,4,1,4,4,1,1,1,1,,1,,,,0,"Candas, Mehmet",,,,,
BIOL,3162,0W1,,1,2,4,4,1,3,,2,1,2,,2,,,,0,"Candas, Mehmet",,,,,
BIOL,3162,0W3,,1,4,1,1,1,2,,2,,1,,,,,,0,"Candas, Mehmet",,,,,
BIOL,3301,0U1,66,20,28,25,18,8,8,2,6,1,3,3,1,,,,0,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Alemi, Parinazsadat","Yaqub, Muneer O","Joshi, Ketki","Gadhvi, Jashkaran G"
BIOL,3302,0U1,9,10,6,7,8,2,8,4,1,1,,,,,,,0,"Srikanth, Uma","Ballew, Luke","Akter, Zakia","Shipman, Braden M",,
BIOL,3318,0U1,6,23,25,7,5,6,,,2,,,,,,,,1,"Henson, Uyen N",,,,,
BIOL,3361,0W1,,18,15,12,9,17,10,5,4,2,2,1,2,,,,1,"Candas, Mehmet","Wickramasinghe, Piumi B","Song, Ming","Wang, Tianyuan",,
BIOL,3362,0W1,,2,6,6,5,2,5,1,3,1,3,,2,,,,0,"Candas, Mehmet","Petter, Andrew T","Soladogun, Adedamola S",,,
BIOL,3380,3W1,,3,2,1,1,,3,2,4,,1,,3,,,,2,"Rippel, Scott A","Mazambani, Simbarashe",,,,
BIOL,3380,3W2,2,1,5,,1,3,,,3,,1,1,2,,,,5,"Pickett, Elizabeth A","Zhi, Jiahe",,,,
BIOL,3380,3W3,,3,,2,,,,,3,2,,,3,,,,0,"Rippel, Scott A","Dhar, Roopal",,,,
BIOL,3380,3W4,,4,2,2,1,1,3,1,2,,1,2,1,,,,3,"Pickett, Elizabeth A","Zhang, Bo",,,,
BIOL,3455,3W1,,3,6,5,3,1,1,,3,1,1,1,3,,,,4,"Ramirez, Ruben D",,,,,
BIOL,3455,3W2,,,6,,2,8,3,3,4,2,,1,2,,,,1,"Ramirez, Ruben D",,,,,
BIOL,3455,3W4,1,5,,2,2,1,5,1,5,1,,,2,,,,2,"Ramirez, Ruben D",,,,,
BIOL,3456,3U1,1,1,4,5,,2,2,1,,,,,,,,,0,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,
BIOL,3456,3U2,,2,8,2,3,3,1,,,,,,,,,,1,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,
BIOL,3520,3W1,,4,13,8,1,1,1,,2,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,
BIOL,3520,3W2,,4,12,3,3,7,,,,,,,,,,,1,"Mehta, Iti","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,
BIOL,3520,3W3,,3,14,1,2,7,1,,,,1,,,,,,0,"Lakoduk, Ashley","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,
BIOL,4353,5U1,5,14,6,1,6,2,2,3,1,,,,,,,,0,"Burr, John G","Lewis, Anthony J",,,,
BIOL,4366,5U1,7,11,2,2,,,1,2,,,,,,,,,0,"Burr, John G","Bautista, Monica A",,,,
BIOL,4380,3W1,3,5,2,2,3,1,1,2,,,,,3,,,,0,"Maynard, Caitlin S","Zhang, Bei","Shashikanth Raj Urs, Karthik Urs Bangalore","Wei, Hong",,
BIOL,4380,3W2,2,7,2,2,3,1,2,2,,,,,1,,,,0,"Maynard, Caitlin S","Shashikanth Raj Urs, Karthik Urs Bangalore","Zhang, Bei","Wei, Hong",,
BIOL,6341,5U1,,18,,,,,,,,,,,,,,,0,"Burr, John G","Bautista, Monica A",,,,
BIOL,6345,5U1,,16,1,,,,,,,,,,,,,,0,"Burr, John G","Lewis, Anthony J",,,,
BIS,2190,0W1,1,6,4,3,1,,,,,,,,1,,,,0,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,
BIS,3320,091,3,8,5,2,2,,1,2,3,,,,3,,,,0,"Wright, David A",,,,,
BIS,3320,0U1,4,3,2,2,4,2,2,1,1,1,,,3,,,,0,"Wright, David A",,,,,
BIS,4306,0W1,3,1,1,,1,,2,,,,,,3,,,,1,"Simpson, Carrie M",,,,,
BLAW,2301,5U1,,5,,7,2,3,3,2,2,,3,,2,,,,2,"Betanzos, Christina L",,,,,
BMEN,3150,1W1,1,3,2,3,4,1,1,,,,,,,,,,2,"Ali, Tariq M","Kian Pour, Bahareh",,,,
BMEN,3320,0W1,2,5,,2,6,1,1,,,,,,1,,,,0,"Ali, Tariq M",,,,,
BMEN,3350,0W1,,1,4,3,4,1,1,,,,,,1,,,,1,"Ali, Tariq M","Kian Pour, Bahareh",,,,
BMEN,4301,5U1,4,8,1,2,1,,,,,,,,,,,,0,"Porter, Benjamin A","Gonzales, Phillip A",,,,
BMEN,4388,0U1,1,3,12,5,1,,,,,,,,,,,,0,"Polk, Todd W","Subramanian, Divya",,,,
BPS,4305,5E1,11,5,4,2,4,2,1,2,,4,,,3,,,,0,"Carraher, Shawn M",,,,,
BPS,4305,5U1,3,9,9,7,7,3,2,,1,,,,1,,,,0,"Kim, Dong Shin",,,,,
BPS,4395,0U1,,35,,,14,,,,,,,,,,,,0,"Parks, David",,,,,
BPS,6310,0W1,,34,5,1,3,2,,1,,,,,1,,,,1,"Kaplan, Marilyn R",,,,,
BPS,7303,0U1,,19,,,,,,,,,,,,,,,0,"Watson, John M",,,,,
BUAN,6311,SS1,,9,6,7,1,1,1,,,,,,,,,,0,"Scott, James A",,,,,
BUAN,6312,0W1,,4,6,7,4,,3,4,,,,,,,,,1,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,
BUAN,6337,5U1,,7,4,9,4,2,1,,,,,,,,,,1,"Chatterjee, Sourav","Qian, Kun",,,,
BUAN,6340,5U1,,22,4,3,3,3,1,2,,,,,2,,,,5,"Parker, Jason A",,,,,
BUAN,6340,SH1,,10,6,,4,1,,3,,,,,,,,,3,"Parker, Jason A",,,,,
BUAN,6341,0W1,,7,6,2,5,4,,,,,,,,,,,0,"Sohaee, Nassim",,,,,
BUAN,6346,5U1,,29,6,2,,,,,,,,,,,,,0,"Perez, Jerry",,,,,
BUAN,6356,5U1,,2,7,9,7,2,2,,,,,,,,,,2,"Chatterjee, Sourav","Banu, Arshiya",,,,
BUAN,6359,5U1,,4,1,,4,3,4,2,,,,,1,,,,3,"Ramezani, Rasoul","Farzaneh, Mohammad Amin",,,,
BUAN,6398,5U1,,27,1,2,3,,1,2,,,,,2,,,,0,"Alimirzaei, Athena",,,,,
BUAN,6398,SW1,,22,,2,9,,2,2,,,,,,,,,0,"Alimirzaei, Athena",,,,,
CE,3201,0U1,,2,3,2,1,1,,1,1,,,,2,,,,0,"Kiasaleh, Kamran","Meng, Xingyu","Steele, Alec M",,,
CE,3202,0U1,,3,4,,2,1,,4,,,,,4,,,,2,"Kiasaleh, Kamran","Apalak, Merve","Liu, Jinbo",,,
CE,3301,0U1,2,2,,1,2,,,,2,,,,3,,,,1,"Tacca, Marco","Khoshlessan, Mahshid",,,,
CE,3310,0U1,1,,3,,1,2,1,4,1,,,,,,,,1,"Lee, Jeong-Bong","Parvez, Mohammad Salman","Abousaba, Mohammad F",,,
CE,3311,0U1,4,2,2,1,,,1,,,,1,,2,,,,0,"Pourkamali, Siavash","Hossain Bhuiyan, Md Emran",,,,
CE,3311,5U1,1,2,1,3,5,3,,,,,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,
CE,4203,0U1,1,3,,2,1,1,,2,3,,,,1,,,,0,"Kehtarnavaz, Nasser","Azarang, Arian","Gogineni, Susmitha",,,
CE,4388,0U1,,10,1,4,1,,,,1,,,,,,,,0,"Bhatia, Dinesh","Noor Shoudha, Shamman",,,,
CE,4389,0U1,1,2,1,8,,,,,,,,,,,,,0,"Bhatia, Dinesh","Chandra Shekar, Ram Charan M",,,,
CGS,4353,0W1,6,2,2,1,,1,,,,,,,1,,,,0,"Orrick, Erika D",,,,,
CHEM,1111,1U1,8,4,1,1,2,,1,1,1,,1,,4,,,,2,"Hashami, Zohreh","Polara, Himanshu S","Gamage, Madujika A",,,
CHEM,1111,1U2,3,3,2,2,2,3,1,,,,,,2,,,,3,"Qin, Yanping","Cu Castillo, Cristina","Chen, Chia Yuan",,,
CHEM,1112,1U1,6,3,4,5,2,,3,2,2,1,,,2,,,,0,"Abeykoon, Nimali C","Kikumoto Dias, Juliana","Peng, Hao-Che",,,
CHEM,1112,1U2,9,5,2,1,3,2,2,1,,1,,,5,,,,1,"Abeykoon, Nimali C","Igie, Nosakhare F","Gull, Humera",,,
CHEM,1311,0U1,8,2,6,8,8,4,3,1,3,,1,,6,,,,6,"Sra, Amandeep K","Nguyen, Trang",,,,
CHEM,1312,0U1,2,4,3,4,9,17,8,15,9,4,11,,23,,,,3,"Huang, Yu","Rifat, Samia",,,,
CHEM,2123,1U1,12,9,4,1,,,,,,,,,,,,,1,"Dissanayake, Dushanthi S","Brand, Emily J","Dias, Prabavi Shayana",,,
CHEM,2123,1U2,7,6,1,2,1,1,,,,,,,2,,,,1,"Dissanayake, Dushanthi S","Dubrovina, Anastasiia","Ehrman, Ryanne N",,,
CHEM,2125,1U1,7,11,5,3,,,1,,,,,,1,,,,0,"Cortes, Sergio J","Howlett, Thomas S","Li, Baowen",,,
CHEM,2125,1U2,7,13,1,6,2,,,,,1,,,1,,,,1,"Shah, Shailesh N","Brown, Monet R","Koirala, Shailendra",,,
CHEM,2323,0U1,8,15,4,6,1,4,6,3,2,4,6,,4,,,,5,"Tran, Daniel N","Abbas, Muhammad",,,,
CHEM,2325,0U1,11,11,8,5,8,2,4,9,7,3,7,,7,,,,4,"Sibert, John W",,,,,
CHEM,3361,0W1,,1,1,3,,2,1,1,,1,,,,,,,0,"Candas, Mehmet","Wickramasinghe, Piumi B","Song, Ming","Wang, Tianyuan",,
CLDP,3310,5U1,,7,1,1,6,,1,,,,,,,,,,0,"Bonner, Deborah L","Hafiz, Mariam",,,,
CLDP,3342,0W1,,7,3,6,3,1,1,,,,,,3,,,,0,"Smith, Olivia","Trehan, Aastha",,,,
COMD,6320,0W1,,32,,,,,,,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,
COMD,6V09,0W1,,38,,,,,,,,,,,,,,,0,"Aldridge, Michelle A",,,,,
COMD,7303,0W1,,94,1,,15,,,,,,,,,,,,0,"Dean, Lucinda L","Kenedi, Helen",,,,
COMD,7323,0W1,,14,,,,,,,,,,,,,,,0,"Sweeney, Melissa",,,,,
COMD,7345,0W1,,23,,,,,,,,,,,,,,1,0,"Cook, Lori G",,,,,
COMD,7V68,0W1,,27,,,,,,,,,,,,,,,0,"Sale, Felicity F",,,,,
COMD,7V89,0W1,,20,,1,1,,,,,,,,,,,1,0,"Walsh, Diane G",,,,,
COMM,1311,0U1,,6,1,2,2,,2,,,1,,,,,,,0,"Arnold, Bob",,,,,
COMM,1311,0W1,3,9,1,2,2,,,2,,,,,3,,,,0,"Vazzi, Lisa",,,,,
COMM,1311,0W3,5,7,2,3,,1,,,1,,,,1,,,,1,"Tanner, Lari J",,,,,
COMM,3342,091,3,4,1,1,2,3,1,,,,,,2,,,,0,"King, Carie S",,,,,
CRIM,1301,0W1,2,,6,1,1,1,,2,1,,,,2,,,,1,"Gordon, Quinn T",,,,,
CRIM,1307,0W1,3,15,,2,2,1,2,,,,,,,,,,0,"Wilds, Katherine M",,,,,
CRIM,3301,0W1,5,7,3,9,7,5,3,5,1,,2,2,3,,,,1,"Riddell, Jordan R",,,,,
CRIM,3302,0W1,,6,,,7,,,3,,,2,,1,,,,0,"Lee, Yeungjeom",,,,,
CRIM,3310,0W1,,28,,,13,,,4,,,2,,2,,,,0,"Park, Yeonjae",,,,,
CRIM,4311,0W1,3,2,2,1,,1,,,,,,,1,,,,0,"Corey, Jessica",,,,,
CRIM,6381,0W1,,14,,,,,,,,,,,,,,,1,"Polk, Elmer O","Hamer, Karen",,,,
CRWT,2301,051,1,3,4,,1,1,,2,,,,,,,,,0,"Ocasio-Russe, Lizbette",,,,,
CRWT,3306,051,,15,,,,,,,,,,,,,,,0,"Watkins, Latoya S",,,,,
CRWT,3354,091,,9,2,1,2,,,,,,,,1,,,,0,"Goldberg, Paula",,,,,
CS,1134,1W1,5,1,3,,,,,1,1,,,,,,,,1,"Min, Richard K","Aggarwal, Alakh",,,,
CS,1136,1W1,12,3,1,1,1,,,,,1,,,2,,,,0,"Min, Richard K","Zhao, Chen",,,,
CS,1136,1W2,6,3,1,1,2,,,,,1,,,2,,,,0,"Min, Richard K","Li, Changbin","Wang, Chengen",,,
CS,1325,0U1,2,4,3,5,9,4,3,1,,1,,,2,,,,0,"Paulk, Mark C","Li, Xiao",,,,
CS,1334,0U1,,2,1,,2,4,1,,,,,,4,,,,3,"Arnold, Gordon L","Cai, Yuchen",,,,
CS,1335,0U1,,2,1,3,4,2,3,2,,1,3,,1,,,,2,"Solanki, Nidhiben M","Cai, Yuchen",,,,
CS,1336,0U1,4,9,2,3,4,,,1,,,,,,,,,1,"DeGroot, Doug",,,,,
CS,1336,5U1,1,3,1,1,1,4,,1,,,,,3,,,,0,"Gupta, Neeraj K","Hu, Linghuan",,,,
CS,1337,0U1,,11,4,4,3,1,1,1,,,,,6,,,,0,"Dollinger, Scott M","Li, Changbin",,,,
CS,1337,0U2,3,3,,5,9,1,3,,1,,,,3,,,,2,"DeGroot, Doug",,,,,
CS,2305,0U1,5,7,2,2,1,,1,1,,,,,3,,,,1,"Feng, Ranran","Ocampo Diaz, Gerardo",,,,
CS,2305,5U1,1,10,5,4,4,5,1,2,1,,1,1,,,,,1,"Farage, Timothy P","Arya, Shivvrat","Ocampo Diaz, Gerardo",,,
CS,2336,0W1,8,6,5,2,3,,1,2,,,,,,,,,2,"Khan, Ziaullah","Tian, Zijing",,,,
CS,2336,0W2,15,2,,1,2,1,,1,,,1,,6,,,,0,"Nouroz Borazjany, Mehra","Wang, Guanghua",,,,
CS,2336,0W3,3,6,,3,3,1,,,,,,,1,,,,0,"Khan, Ziaullah","Tian, Zijing",,,,
CS,2340,0U1,,1,7,1,3,6,,,2,1,1,,4,,,,2,"Mazidi, Karen J","Patel, Dhruvkumar R",,,,
CS,2340,0W1,15,6,3,2,4,,1,2,,,2,,2,,,,0,"Karami, Gity","Wu, Zhouxiang",,,,
CS,3305,0U1,1,23,4,3,3,,,,,,,,,,,,1,"Farage, Timothy P","Arya, Shivvrat",,,,
CS,3305,0W1,3,7,1,3,6,2,1,4,,,,,,,,,2,"Kumar, Pushpa S","Arya, Shivvrat",,,,
CS,3341,0U1,15,2,3,6,2,3,3,7,4,4,3,4,8,,,,5,"Whalen, Tristan G","Uddin, Mohammad Afser","Sajal, Ibrahim Hossain","Oh, Sungjin",,
CS,3345,0U1,5,1,1,3,2,,4,1,2,1,,1,2,,,,2,"Ozbirn, Greg A","Singhal, Yatharth",,,,
CS,3345,0U2,2,2,,5,1,,3,1,3,,,,,,,,1,"Ozbirn, Greg A","Singhal, Yatharth",,,,
CS,3345,0W1,7,2,4,1,3,1,2,,,,,,,,,,0,"Khan, Ziaullah","Patel, Dhruvkumar R",,,,
CS,3354,0U1,3,1,3,1,1,1,1,,1,1,,,,,,,2,"Zalila-Wenkstern, Rym","Bansal, Rishita",,,,
CS,3354,5U1,4,4,1,2,1,1,,,,,,,,,,,1,"Yang, Wei","Ahn, Sung Soo",,,,
CS,3377,0W1,3,,6,2,6,3,5,1,,,1,,1,,,,1,"Min, Richard K","Bansal, Rishita",,,,
CS,3377,0W2,2,,3,3,4,2,3,,,,,,1,,,,3,"Min, Richard K","Wang, Wenting",,,,
CS,4141,6U1,19,10,8,2,1,1,2,,,,1,,,,,,0,"Nguyen, Nhut","Chen, Tiantian",,,,
CS,4301,0W1,9,10,3,1,1,2,1,3,1,,2,,,,,,1,"Karami, Gity","Guo, Jinghui",,,,
CS,4336,0U1,13,15,6,2,,1,,,,,,,2,,,,0,"Ozbirn, Greg A","Wang, Wenting",,,,
CS,4337,0U1,,4,3,4,1,2,1,,1,,1,,1,,,,0,"Davis, Chris I","Li, Dongcheng",,,,
CS,4337,0W1,5,8,6,4,4,1,1,1,1,,1,,,,,,0,"Karami, Gity","Ghanbari, Ali",,,,
CS,4341,0U1,,9,8,5,10,4,5,3,,,4,,,,,,0,"Nguyen, Nhut","Ghanbari, Ali","Chen, Tiantian",,,
CS,4347,0U1,8,6,7,2,3,3,1,,1,,1,2,,,,,0,"Christiansen, Michael G","Aggarwal, Alakh",,,,
CS,4347,0W1,1,3,2,3,5,4,1,2,,,,,,,,,0,"Davis, Chris I","Wang, Guanghua",,,,
CS,4348,0U1,4,3,4,3,6,5,3,5,4,1,2,,,,,,1,"Christiansen, Michael G","Padalkar, Parth",,,,
CS,4348,5U1,3,1,4,5,7,3,,,2,,3,,4,,,,3,"Prakash, Ravi","Nguyen, Son V",,,,
CS,4349,0U3,5,6,7,3,6,8,5,1,1,1,1,,1,,,,0,"Erbatur, Serdar","Wang, Chengen",,,,
CS,4353,0W1,29,9,9,,2,,,1,,,,,,,,,0,"Orrick, Erika D",,,,,
CS,4365,0U1,3,2,1,3,6,4,6,,2,,,,1,,,,0,"Min, Richard K","Zhao, Chen",,,,
