Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Ramirez, Ruben D",,,,,,BIOL,3455,1U2,3,4,2,,4,3,4,5,2,1,,1,1,,,,,,
"Candas, Mehmet",,,,,,BIOL,2111,0U2,2,5,1,5,8,2,1,3,3,,,1,1,,,,,,
"Candas, Mehmet",,,,,,BIOL,2112,0U1,2,3,9,1,6,6,2,,1,,3,,,,,,,,
"Candas, Mehmet",,,,,,BIOL,3161,0U3,2,6,3,3,7,3,2,4,1,1,2,,,,,,,,2
"Candas, Mehmet",,,,,,BIOL,2111,0U1,2,8,8,4,2,4,4,,1,,,,2,,,,,,
"Candas, Mehmet",,,,,,BIOL,3161,0U1,1,9,9,5,10,2,2,1,3,2,1,,,,,,,,
"Candas, Mehmet",,,,,,BIOL,3161,0U2,,5,11,6,7,3,2,4,3,2,2,,1,,,,,,
"Borovkov, Irina G","Wang, Tianyuan","Upreti, Chahat","Zhou, Qin",,,BIOL,3101,0U1,3,6,9,6,3,5,2,5,3,2,3,5,4,,,,,,
"Borovkov, Irina G","Upreti, Chahat","Yetkin, Celal E","Zhou, Qin",,,BIOL,3101,0U2,4,8,8,5,5,7,4,6,1,,1,5,4,,,,,,1
"Candas, Mehmet",,,,,,BIOL,2312,0U1,4,10,14,5,10,8,4,1,1,,4,,1,,,,,,
"Lin, Wen J",,,,,,BIOL,2281,0U1,,,,,,,,,,,,,,,,,,,
"Pickett, Elizabeth A","Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh","Gadhvi, Jashkaran G","Song, Ming",,BIOL,3380,0U1,,,,,,,,,,,,,,,,,,,
"Candas, Mehmet",,,,,,BIOL,2311,0U1,4,13,9,9,10,6,5,3,4,,,1,3,,,,,,
"Ramirez, Ruben D",,,,,,BIOL,3455,0U1,,,,,,,,,,,,,,,,,,,
"Candas, Mehmet","McDill, Parker M","Lasley, Alexandra E","Soladogun, Adedamola S",,,BIOL,3361,0U1,3,19,20,12,19,8,6,6,5,4,4,,,,,,,,1
"Borovkov, Irina G","Yetkin, Celal E","Upreti, Chahat","Wang, Tianyuan","Zhou, Qin",,BIOL,3301,0U1,7,14,17,11,8,12,6,11,4,2,4,10,8,,,,,,1
"Hudson, Jennifer M",,,,,,BIS,3320,091,4,4,9,,,,,,,,,,2,,,,,,
"Wright, David A",,,,,,BIS,3320,0U1,4,8,4,1,3,1,,2,,,1,,,,,,,,
"Robinson, Katie L","Edwards, Christopher W",,,,,BIS,3190,0W1,12,7,1,1,2,2,,1,1,1,,,2,,,,,,
"Betanzos, Christina L",,,,,,BLAW,2301,5U1,2,4,9,2,9,3,5,4,4,,1,,1,,,,,,
"Ali, Tariq M",,,,,,BMEN,3320,051,2,4,2,,2,,2,1,,,,,,,,,,,
"Polk, Todd W",,,,,,BMEN,4388,0U1,,6,8,5,7,1,,,,,,,,,,,,,
"Watson, John M",,,,,,BPS,7303,0U1,,14,,,,,,,,,,,,,,,,,
"Carraher, Shawn M",,,,,,BPS,4305,5E1,16,3,2,3,1,2,,,,1,1,,1,,,,,,
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,6310,MBP,,22,,9,2,,,1,,,,,,,,,,,
"Kaplan, Marilyn R",,,,,,BPS,6310,0W1,,41,2,1,1,,,1,,,,,,,,,,,3
"Carraher, Shawn M",,,,,,BPS,4305,5U1,40,4,3,,,,1,,1,,1,,,,,,,,1
"Carraher, Shawn M",,,,,,BPS,4305,0U1,33,10,4,,1,3,,1,1,,,,1,,,,,,
"Saeed, Kashif","Zhang, Haozhao",,,,,BUAN,6345,0W1,,4,4,2,2,,,,,,,,,,,,,,
"Johnston, Walter L",,,,,,BUAN,6356,5U1,,13,,,,,1,,,,,,,,,,,,1
"Cavusoglu, Huseyin","Pakala, Tharun Reddy",,,,,BUAN,6320,0W1,,7,6,2,3,,2,1,,,,,,,,,,,1
"Subramanian, Upender","Bhave, Ashutosh C",,,,,BUAN,6337,0W1,,3,7,3,3,2,2,1,,,,,1,,,,,,2
"Blueshtein, Moran","Wang, Hui",,,,,BUAN,6312,0W1,,6,2,9,3,7,,,,,,,,,,,,,
"Parker, Jason A","Zhang, Haozhao",,,,,BUAN,6356,5U2,,28,4,,1,,,,,,,,,,,,,,1
"Alimirzaei, Athena","Armaghan, Milad",,,,,BUAN,6398,5U1,,33,1,2,2,,,,,,,,,,,,,,1
"Grigsby, Mike",,,,,,BUAN,6337,5U1,,14,5,5,18,,,1,,,,,,,,,,,2
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,BUAN,6398,5U2,,22,3,12,7,,1,1,,,,,1,,,,,,
"Parker, Jason A","Zhang, Haozhao",,,,,BUAN,6340,5U1,,67,1,1,,,,,,,,,,,,,,,
"Liu, Jin","Xiong, Jiu","Choi, Ye I",,,,CE,3101,1U2,,8,2,,,,,,,,,,,,,,,,
"Ozbirn, Greg A","Fan, Zhenbao",,,,,CE,3345,0U1,,,3,,4,1,,1,,,1,,,,,,,,
"Kehtarnavaz, Nasser","Wei, Haoran","Abdelgelil, Mahmoud E",,,,CE,3102,1U2,3,3,2,,2,1,,,,,,,,,,,,,
"Bhatia, Dinesh","Thakur, Sneha",,,,,CE,4389,0U1,3,2,4,3,,,,,,,,,,,,,,,
"Davis, Chris I","Varanasi, Sarat Chandra","Solanki, Nidhiben M",,,,CE,4337,0U1,,2,2,,1,5,2,,,1,,,,,,,,,
"Bhatia, Dinesh","Thakur, Sneha",,,,,CE,4388,0U1,,6,3,3,2,,,,,,,,,,,,,,
"Ardestani Khoubrouy, Soudeh","Birjandtalab Golkhatm, Javad",,,,,CE,3302,0U1,1,3,6,1,2,1,,2,1,,,,,,,,,,
"Pourkamali, Siavash","Shahshahani, Masoud",,,,,CE,3311,0U1,3,6,,,3,1,1,1,1,,1,,,,,,,,
"Kiasaleh, Kamran",,,,,,CE,3301,0U1,,4,,,2,2,1,3,4,,6,,1,,,,,,
"Sra, Amandeep K","Calubaquib, Erika Joy",,,,,CHEM,1111,1U2,2,7,3,,2,,1,2,,,,,1,,,,,,
"Candas, Mehmet","McDill, Parker M","Lasley, Alexandra E","Soladogun, Adedamola S",,,CHEM,3361,0U1,,1,3,2,5,,,3,2,1,1,,1,,,,,,1
"Gavva, Sandhya R","Li, Siqing","Malekpour, Soheil",,,,CHEM,1112,1U1,3,5,4,4,1,,,,1,,,,2,,,,,,
"Karunathilake, Arosha A","Tajik Asl, Masoumeh","Liyanage, Anuradha V",,,,CHEM,2125,1U3,16,2,1,,1,,,,,,,,,,,,,,
"Abeykoon, Nimali C","Wang, Hanghang",,,,,CHEM,2123,1U1,17,4,,,,1,,,,,,,,,,,,,
"Gavva, Sandhya R","Brohlin, Olivia R","Malekpour, Soheil","Li, Siqing",,,CHEM,1111,1U1,2,5,1,1,6,1,1,2,1,2,,,,,,,,,1
"Abeykoon, Nimali C","Zhou, Qinhan",,,,,CHEM,2123,1U2,20,2,1,,,,,,,,,,,,,,,,
"Dissanayake, Dushanthi S","Graham, Robert L",,,,,CHEM,2125,1U1,6,6,8,3,1,,,,,,,,,,,,,,
"Gavva, Sandhya R","Ball, Darby J","Abeyrathna, Nisansala S",,,,CHEM,1112,1U2,4,14,3,2,2,,,,,,,,,,,,,,
"Cortes, Sergio J","Liyanage, Anuradha V",,,,,CHEM,2125,1U2,13,15,2,,,,,,,,,,,,,,,,
"Sibert, John W",,,,,,CHEM,2323,0U1,4,12,4,2,7,5,10,3,9,,3,5,8,,,,,,
"Sra, Amandeep K","Abeyrathna, Wannaku R",,,,,CHEM,1311,0U1,2,7,10,6,8,10,4,5,8,4,8,4,8,,,,,,1
"Dieckmann, Gregg","Cosey, Whitney",,,,,CHEM,1312,0U1,5,5,7,7,8,5,4,14,12,8,4,2,12,,,,,1,
"Cortes, Sergio J",,,,,,CHEM,2325,0U1,7,6,14,9,6,14,6,8,8,8,5,4,4,,,,,2,
"Schneider, Julie M","Poudel, Sonali",,,,,CLDP,3303,0U1,1,4,1,3,1,,,,,,,,1,,,,,,
"Sands, Kaitlin R","Terry, Courtney",,,,,CLDP,3310,0U1,,4,1,,3,2,1,2,,,,,,,,,,,
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,0U1,3,1,8,7,2,2,,,,,,,,,,,,,
"Powers, Katharine A","Evans, Delaney L",,,,,COMD,5344,5U1,,9,,,3,,,,,,,,,,,,,,
"Sweeney, Melissa",,,,,,COMD,7323,0U1,,16,,,3,,,,,,,,,,,,,,
"Walsh, Diane G","Glotfelty, Annette R",,,,,COMD,7V89,0U1,,21,,,1,,,,,,,,,,,,,,
"Aldridge, Michelle A",,,,,,COMD,5340,0U1,,34,,1,,,,,,,,,,,,,,,
"Aldridge, Michelle A",,,,,,COMD,6V09,0U1,,37,,,,,,,,,,,,,,,,,
"Sale, Felicity F",,,,,,COMD,7V68,0U1,,41,,,,,,,,,,,,,,,1,,
"Cook, Lori G","Melamed, Tina",,,,,COMD,7345,0U1,,28,,,6,,,1,,,,,,,,,10,,
"Dean, Lucinda L","Kenedi, Helen","Boone, Melissa N",,,,COMD,7303,0U1,,94,,,29,,,1,,,,,,,,,,,
"Tanner, Lari J",,,,,,COMM,1311,0H1,5,4,,,,1,,,,,,,,,,,,,
"Moss, Daniel J",,,,,,COMM,1311,0H3,1,2,3,1,1,2,,,,,,,,,,,,,
"Stewart, Derek A",,,,,,COMM,1311,0H5,,6,6,,,1,,,,,,,,,,,,,
"Stewart, Derek A",,,,,,COMM,1311,0H4,4,5,5,1,1,,,,,,,,,,,,,,
"Gregory, Mona Y",,,,,,COMM,1311,0W1,5,6,1,2,2,2,,,,1,,,2,,,,,,
"Tanner, Lari J",,,,,,COMM,1311,0H2,15,4,2,,,1,,,,,,,,,,,,,
"Hernandez-Katz, Melissa M",,,,,,COMM,4350,051,1,8,7,2,2,2,,1,,,,,,,,,,,
"Vazzi, Lisa",,,,,,COMM,1311,0W3,9,12,3,2,1,1,1,,,,,,1,,,,,,1
"Huskey, Michael",,,,,,CRIM,3320,0W1,1,7,5,3,1,3,,,1,1,2,1,3,,,,,,
"Gammell, Sarah P",,,,,,CRIM,3310,0W1,3,9,7,1,3,1,,,3,,2,1,4,,,,,,
"Laprade, Jennifer M",,,,,,CRIM,3300,0W1,,18,6,1,2,1,1,3,,1,,,1,,,,,,
"Polk, Elmer O",,,,,,CRIM,3302,0W1,13,13,6,1,,2,2,1,1,,,,,,,,,,
"Polk, Elmer O",,,,,,CRIM,4396,0W1,40,14,4,3,1,7,2,1,1,,1,1,2,,,,,,
"Nouroz Borazjany, Mehra","Ricks, Brian W",,,,,CS,3354,0U1,,,3,2,,,1,2,2,,,,,,,,,,
"Semper, William J",,,,,,CS,6375,MS1,,10,,,,,,,,,,,,,,,,,
"Arnold, Gordon L",,,,,,CS,1136,1U2,8,,,,,1,,,,,1,,2,,,,,,
"Gupta, Neeraj K","Li, Fang",,,,,CS,1336,5U2,2,1,,2,2,1,,,,,2,,2,,,,,,
"Christiansen, Michael G","Gu, Shuyang",,,,,CS,4347,0U2,1,1,,5,1,1,2,,1,,,,,,,,,,
"Le, Khiem V","Varanasi, Sarat Chandra",,,,,CS,1337,0U2,,1,2,2,,1,1,,,,,1,1,,1,,,,
"Nguyen, Nhut","Nguyen, Y H","Yu, Shimeng",,,,CS,4393,5U1,,5,1,4,1,,1,,1,1,,,,,,,,,
"Davis, Chris I","Munia, Munawara Saiyara",,,,,CS,4384,0U2,,3,4,4,1,,1,,,,,,1,,,,,,
"Arnold, Gordon L",,,,,,CS,1134,1U1,8,1,1,1,,,,,1,,1,,2,,,,,,
"Nguyen, Nhut","Nguyen, Y H","Yu, Shimeng",,,,CS,4341,0U1,1,4,2,2,1,3,,,1,,,,1,,,,,,
"Christiansen, Michael G","Wang, Chao",,,,,CS,1335,0U1,1,1,1,1,3,4,1,1,1,,,,1,,,,,,1
"Nagar, Anurag","Nguyen, Son V",,,,,CS,1334,0U1,2,4,4,3,3,,,,,,,,,,,,,,
"Nguyen, Nhut","Nguyen, Y H","Yu, Shimeng",,,,CS,4141,6U1,,13,,,1,,,,,,1,,1,,,,,,
"Ozbirn, Greg A","Li, Changbin",,,,,CS,3345,0U2,,2,6,1,2,3,,1,,,1,,,,,,,,
"Arnold, Gordon L",,,,,,CS,1136,1U1,6,1,,3,,,1,1,1,,,1,3,,,,,,
"Cobb, Jorge","Yousefpour, Ashkan",,,,,CS,4390,0U2,1,3,,1,4,2,1,3,,,1,,1,,,,,,
"Ozbirn, Greg A","Fan, Zhenbao",,,,,CS,3345,0U1,1,2,4,4,,5,,,,,,1,1,,,,,,
"Zhang, Kang","Wang, Xiaoyu",,,,,CS,6366,0U1,,12,1,4,,,1,,,,,,,,,,,,1
"Nagar, Anurag","Li, Yifan",,,,,CS,4301,5U1,7,4,4,3,1,,,,,,,,,,,,,,
"Ishigaki, Genya","Tong, Guangmo",,,,,CS,3305,0U2,,6,,1,2,2,,2,1,,,3,2,,,,,,1
"Paulk, Mark C","Li, Fang",,,,,CS,1325,0U1,,3,2,4,3,1,1,3,1,2,,,,,,,,,
"Mittal, Neeraj","Gokhale, Shreyas S",,,,,CS,6378,0U1,,5,3,7,4,1,,,,,,,,,,,,,
"Shields, Charles O","Tran, Trung Hieu",,,,,CS,1337,0U1,1,1,4,1,,2,2,2,2,,,1,6,,,,,,
"Nouroz Borazjany, Mehra","Kolluri, Kirthy",,,,,CS,6359,0U1,,5,6,8,2,1,,,,,,,,,,,,,
"Gupta, Neeraj K","Li, Fang","Kolluri, Kirthy",,,,CS,5343,0U1,,9,2,3,3,2,,1,,,,,2,,,,,,1
"Gupta, Neeraj K","Ozarslan, Omer F",,,,,CS,6385,0W2,,10,9,1,2,,,1,,,,,,,,,,,
"Chandrasekaran, Ramaswamy","Malik, Hemant",,,,,CS,6363,0U1,,9,4,5,2,2,1,,,,,,,,,,,,1
"Davis, Chris I","Varanasi, Sarat Chandra","Solanki, Nidhiben M",,,,CS,4337,0U1,1,2,1,2,3,3,4,2,,1,3,1,1,,,,,,
"Thuraisingham, Bhavani","Ricks, Brian W",,,,,CS,6301,0U1,,22,2,,,,,,,,,,,,,,,,
"Davis, Chris I","Solanki, Nidhiben M",,,,,CS,6360,5U1,,13,4,7,1,,,,,,,,,,,,,,
"Mazidi, Karen J","Torabi, Behnam",,,,,CS,4375,0U2,,1,2,3,4,6,2,1,,,1,,4,,,,,,1
"Nagar, Anurag","Li, Yifan",,,,,CS,6350,0U1,,11,8,5,1,,,,,,,,,,,,,,1
"Khan, Ziaullah","Guo, Jinghui","Mi, Feng",,,,CS,2336,0U1,7,5,6,4,3,,,,,,,,1,,,,,,
"Farago, Andras","Xu, Rupei",,,,,CS,6385,0W1,,17,8,,2,,,,,,,,,,,,,,
"Shields, Charles O","Mohammadpour, Somayeh",,,,,CS,4384,0U1,1,5,1,,4,1,1,4,2,,3,2,3,,,,,,
"Ozbirn, Greg A","Nguyen, Son V",,,,,CS,4336,0U1,1,5,6,3,4,,3,2,1,,1,1,,,,,,1,
"Arnold, Gordon L","Wang, Zhuoyi",,,,,CS,1336,0U1,1,4,6,4,4,2,3,2,,1,1,,,,,,,,
"Farage, Timothy P","Tong, Guangmo",,,,,CS,3305,0U1,18,5,2,,,1,1,,,,1,,1,,,,,,
"Cankaya, Ebru C","Huang, Hongyao",,,,,CS,4347,0U1,3,12,1,3,8,1,1,1,,,,,1,,,,,,
"Arnold, Gordon L","Wang, Chao","Wang, Zhuoyi",,,,CS,3360,5U1,7,4,3,3,3,5,2,1,,2,1,,1,,,,,,
"Khan, Ziaullah","Guo, Jinghui","Mi, Feng",,,,CS,2336,0U2,8,5,6,7,3,,,,,,,,4,,,,,,
"Whalen, Tristan G","Langford, John",,,,,CS,3341,0U1,5,4,4,2,3,1,5,2,2,,,2,3,,,,,,
"Mazidi, Karen J","Torabi, Behnam",,,,,CS,3340,0U2,1,1,5,6,5,6,2,2,2,,1,,5,,,,,,
"Schweitzer, Haim","Hu, Yibo",,,,,CS,6375,5U1,,13,9,6,5,2,1,,,,,,,,,,,,
"Min, Richard K","Munia, Munawara Saiyara","Yousefpour, Ashkan",,,,CS,3377,0W1,3,6,5,5,5,4,3,4,1,,,,1,,,,,,1
"Schweitzer, Haim","Zhang, Shuai",,,,,CS,6364,0U1,,21,10,1,2,3,,2,,,,,,,,,,,1
"Bateni, Soroush","Gokhale, Shreyas S","Tian, Zijing",,,,CS,4348,0U1,9,3,3,6,7,5,2,3,3,,,,6,,,,,,
"Cankaya, Ebru C","Mao, Dongyu",,,,,CS,4349,0U1,6,10,3,3,10,5,1,8,,,1,,1,,,,,,
"Farage, Timothy P","Tong, Guangmo","Hu, Linghuan",,,,CS,2305,5U1,5,12,3,4,3,6,,10,4,3,2,,2,,,,,,
"Saba, Monica",,,,,,DANC,1310,0H1,1,21,4,1,1,,,,,,,,,,,,,,
"Chen, Zhengyang",,,,,,ECON,2301,0U1,,3,3,2,1,,,,,,,,2,,,,,,
"Zhang, Zeyu",,,,,,ECON,2302,5U1,1,4,4,1,2,,,1,,,,,,,,,,,
"Grover, William C",,,,,,ECON,6306,0U1,,19,1,,,,1,,,,,,,,,,,1,
"Crowder, Wade A",,,,,,ECS,3390,053,,2,4,5,4,1,,1,,,,,,,,,,,
"Scally, Deborah A",,,,,,ECS,3390,091,5,5,1,2,2,,1,,,,1,,1,,,,,,
"Mohsene, Laura L",,,,,,ECS,3390,092,,5,6,4,,1,1,,1,,,,,,,,,,
"King, Carie S",,,,,,ECS,3390,052,2,9,3,4,,,,,,,,,,,,,,,
"Moore, Lindsay E",,,,,,ECS,3390,051,5,8,3,1,1,,,,1,,,,,,,,,,
"King, Carie S",,,,,,ECS,3390,054,1,10,3,1,2,,1,,,,,,1,,,,,,
"Ibrahim, Yaser M",,,,,,ECS,3361,5U1,1,5,7,14,7,7,3,3,1,,,,1,,,,,,
"Lee, Hoi","Cheng, Qi",,,,,EE,3111,1U1,6,4,,,,,,,,,,,,,,,,,
"Liu, Jin","Ren, Jiajun","Zhang, Yunjie",,,,EE,3101,1U1,,9,,1,,,,,,,,,1,,,,,,
"Bhatia, Dinesh","Thakur, Sneha",,,,,EE,4388,0U1,,8,1,,2,,,,,,,,,,,,,,
"Tinker, Mark T",,,,,,EE,3110,1U1,,6,1,5,,,,,,,,,,,,,,,
"Kehtarnavaz, Nasser","Wei, Haoran","Shankar, Nikhil",,,,EE,3102,1U1,6,3,2,1,1,1,,1,,,,,1,,,,,,
"Bhatia, Dinesh","Thakur, Sneha",,,,,EE,4389,0U1,2,8,2,7,1,,,,,,,,,,,,,,
