Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,003,,15,,,6,,,17,,,4,,2,,,,,,1
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,004,,10,,,12,,,21,,,2,,2,,,,,,0
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,005,,15,,,4,,,21,,,2,,,,,,,1,2
"Richards, James R",,,,,,FIN,3320,0E1,2,6,3,3,3,9,2,3,4,,1,1,1,,,,,,2
"Han, Munhee",,,,,,FIN,3320,011,2,3,5,4,4,4,3,5,2,2,1,,4,,,,,,0
"Molina, Stephen",,,,,,FIN,3340,001,17,18,8,1,1,1,,,1,,,,1,,,,,,0
"Xia, Han (Victor)",,,,,,FIN,3350,501,,7,5,4,5,3,2,,,,2,,,,,,,,0
"Pedigo, Madison F",,,,,,FIN,3360,001,4,7,4,8,11,4,6,2,1,,1,,,,,,,,0
"Richardson, Debra L","Kuang, Shimaoling",,,,,FIN,3370,001,7,5,5,2,7,1,,2,1,1,1,1,,,,,,,0
"Gurun, Ayfer",,,,,,FIN,3380,001,1,3,5,9,4,10,9,3,,,,,1,,,,,,0
"El-Ashmawi, Amal H","Jerez Carreno, Jaime Eduardo",,,,,FIN,3390,001,11,2,5,6,2,6,,1,5,2,,6,1,,,,,,2
"Kaur, Dupinderjeet",,,,,,FIN,3390,002,7,4,3,1,2,3,3,2,2,1,4,6,1,,,,,,1
"El-Ashmawi, Amal H","Jerez Carreno, Jaime Eduardo",,,,,FIN,3390,501,4,,1,1,4,5,6,1,3,,1,1,2,,,,,,2
"Cordell, David M","Zhu, Yiding",,,,,FIN,4300,001,,6,3,1,8,1,,7,,,,,1,,,,,,2
"Furst, Jack D",,,,,,FIN,4300,003,1,17,3,4,9,2,,1,,,,,,,,,,,0
"Mjigal, Tahar",,,,,,FIN,4340,001,3,7,11,1,,,,,,,,,,,,,,,0
"Day, Theodore",,,,,,FIN,6301,0W1,,12,1,2,12,3,,2,,,,,5,,,,,,6
"Lewin, Peter","Zhu, Yiding",,,,,FIN,6308,0W1,,10,2,3,13,1,3,,,,,,,,,,,,1
"Khanapure, Revansiddha B","Hong, Yuan",,,,,FIN,6310,001,,3,7,17,7,,1,,,,,,,,,,,,0
"DeCourcy, George A",,,,,,FIN,6322,501,,8,5,2,,4,,,,,,,,,,,,,1
"Day, Theodore","Sharma, Varun",,,,,FIN,6352,501,,9,5,,10,4,,,,,,,,,,,,,1
"Tsang, Wing K","Bai, Xiaoou",,,,,IMS,3310,001,,3,8,15,9,9,2,1,1,,,,,,,,,,0
"Carraher, Shawn M",,,,,,IMS,3310,002,13,11,7,3,7,,2,2,,,1,,,,,,,2,1
"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,IMS,3310,003,2,6,5,8,12,6,7,2,,,,,,,,,,,1
"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,IMS,3310,004,2,7,8,7,11,5,4,1,1,,,,2,,,,,,0
"Salk, Jane E","Kathuria, Nishant",,,,,IMS,3310,005,2,2,8,3,2,9,4,3,3,,1,2,3,,,,,,2
"Salk, Jane E","Kathuria, Nishant",,,,,IMS,3310,006,2,2,4,3,4,9,8,4,7,1,1,,2,,,,,,0
"Carraher, Shawn M",,,,,,IMS,3310,501,14,10,7,2,2,2,1,4,,,,1,,,,,,2,0
"Zydorek, Hubert",,,,,,IMS,4330,501,,10,9,8,11,3,1,,,,,,,,,,,,0
"Woldu, Habte G","Dakshinamoorthy, Sowmika","Chittoor, Dedeepya",,,,IMS,6204,551,,14,10,7,6,2,1,1,,,,,,,,,,,1
"Woldu, Habte G","Dakshinamoorthy, Sowmika","Chittoor, Dedeepya",,,,IMS,6204,0W1,,11,13,17,3,2,,,,,,,,,,,,,0
"Tsang, Wing K","Li, Xiujuan",,,,,IMS,6360,501,,3,5,7,2,,,,,,,,,,,,,,0
"Slaughter, Kelly T",,,,,,MIS,6204,0W1,,15,,,29,,,5,,,,,1,,,,,,0
"Narasimhan, Prithi","Kopparapu, Hanuman Abhishek",,,,,MIS,6316,501,,8,7,6,2,3,1,1,,,,,,,,,,,0
"Tang, Shaojie","Guha, Sumalya",,,,,MIS,6323,001,,14,5,10,1,,,,,,,,,,,,,,2
"Sohaee, Nassim","Thorat, Snehal H",,,,,MIS,6323,002,,13,11,10,9,8,,,,,,,,,,,,,0
"Chen, Jianqing","Velumani, Suganya",,,,,MIS,6324,001,,7,9,8,6,4,,,,,,,,,,,,,0
"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,MIS,6330,0W1,,14,6,4,1,1,,1,,,,,,,,,,,0
"Menon, Syam","Kanala, Lalitha Naga Venkata","Zhang, Haozhao",,,,MIS,6334,501,,6,9,5,4,1,,,,,,,,,,,,,0
"Menon, Syam","Kanala, Lalitha Naga Venkata","Zhang, Haozhao",,,,MIS,6334,001,,8,7,7,3,2,,,,,,,,,,,,,0
"Thouin, Mark","Dogaroglu, Seckin",,,,,MIS,6360,001,,42,12,8,2,2,1,1,,,,,,,,,,,0
"Jacob, Varghese",,,,,,MIS,7220,001,,7,,,,,,,,,,,,,,,,,0
"Kulkarni, Madhura",,,,,,MKT,3300,002,2,3,6,5,1,1,2,,,,,,2,,,,,,0
"Pahwa, Parneet","Shyam, Nikhil","Sikdar, Sathi",,,,MKT,3300,003,3,17,9,14,2,2,,,,,,,,,,,,1,1
"Pahwa, Parneet","Shyam, Nikhil","Sikdar, Sathi",,,,MKT,3300,004,2,18,9,6,10,4,,,,,,,,,,,,,0
"Corbin, Sonja C",,,,,,MKT,3300,005,2,11,10,12,4,5,1,,,,,,1,,,,,,2
"Pacyna, Sandra",,,,,,MKT,3300,006,6,16,6,8,3,3,2,3,,,1,,,,,,,,0
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,007,2,8,14,8,10,5,,1,1,,,,,,,,,,0
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,5E1,,4,9,5,6,6,3,,1,,1,,1,,,,,,0
"Amirpour, Semiramis",,,,,,MKT,3330,005,2,6,8,1,,6,,3,,,,1,,,,,,,2
"Rajaratnam, Daniel",,,,,,MKT,3340,501,,4,,7,16,3,2,2,,,,,,,,,,,0
"Corbin, Sonja C",,,,,,MKT,4340,001,1,8,14,12,7,,,,,,,,1,,,,,,2
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,4350,001,,3,3,1,3,,1,,1,,,,,,,,,,0
"Haworth, Julie B",,,,,,MKT,4380,001,2,26,16,2,1,,1,,,,,,,,,,,,0
"Pahwa, Parneet","Sikdar, Sathi","Shyam, Nikhil",,,,MKT,6301,0W1,,11,12,8,6,7,,,,,,,,,,,,,0
"Rajaratnam, Daniel",,,,,,MKT,6309,501,,5,1,1,2,,,,,,,,,,,,,,0
"Biswas, Abhijit","Kasaraneni, Uma Sankar",,,,,MKT,6310,0W1,,17,8,15,8,,1,,,,,,,,,,,,0
"Kumar, Nanda","Bhave, Ashutosh C",,,,,MKT,6323,001,,3,2,3,5,,,,,,,,,,,,,,0
"Bruce, Norris I","Lim, Bo Ram","Norman, Laura E",,,,MKT,6329,501,,6,2,6,6,,,,,,,,,,,,,,0
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,6330,0W1,,4,10,10,8,4,,,,,,,,,,,,,1
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,6332,501,,5,7,11,7,6,2,2,,,,,,,,,,,0
"Subramanian, Upender","Lim, Bo Ram",,,,,MKT,6339,501,,7,3,15,5,,,,,,,,,,,,,,0
"DeCourcy, George A",,,,,,REAL,3305,001,3,2,1,2,7,1,2,3,1,2,,,2,,,,,,0
"Guttery, Randall",,,,,,REAL,6321,001,,2,,,5,1,,,,,,,,,,,,,1
"Crumpecker, Brad",,,,,,REAL,6323,501,,1,2,1,,,,,,,,,,,,,,,1
"Ritchey, David B",,,,,,OBHR,3310,001,4,12,10,4,7,5,1,,4,,,,,,,,,1,0
"Ritchey, David B",,,,,,OBHR,3310,002,3,13,12,5,9,2,,1,1,1,1,,1,,,,,,0
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,003,6,2,8,5,9,10,4,4,,,1,,,,,,,,1
"Jun, Sora","Liu, Yu",,,,,OBHR,3310,503,2,6,8,10,11,7,1,3,1,,,,,,,,,,0
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,005,2,10,18,4,7,7,,,1,,,,,,,,,,0
"Jun, Sora","Liu, Yu",,,,,OBHR,3310,5E1,2,4,6,7,8,9,3,,,,,1,1,,,,,,2
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,501,2,1,7,7,14,10,2,4,1,,,,,,,,,,0
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,502,,5,11,10,7,8,3,,,,,,2,,,,,,2
"Ritchey, Kemberly A",,,,,,OBHR,4352,001,3,3,12,6,7,4,1,1,3,,,,,,,,,,0
"Feng, Zhichao",,,,,,OPRE,3310,502,15,17,6,5,,3,1,,,,,,,,,,,,2
"Deluke, Eugene","Thankamony, Parvathy",,,,,OPRE,3310,004,6,11,,4,16,,3,7,,,2,,,,,,,,0
"ye, Shengqi","Shi, Lingling",,,,,OPRE,3310,005,5,19,7,7,3,2,,3,,,1,1,,,,,,,1
"Hogan, James W","Ojha, Amrit A",,,,,OPRE,3310,006,,15,,5,14,,4,12,,,,,,,,,,,0
"Kuo, Ching-Chung","Deodhar, Adneya","Guda, Harish",,,,OPRE,3320,001,,8,2,3,23,,1,5,1,,2,,,,,,,,1
"Alborz, Shawn",,,,,,OPRE,3330,001,5,18,11,9,11,3,2,5,1,,,,3,,,,,,1
"Brussolo, Monica E","Castaldo, Joseph D",,,,,OPRE,3333,001,8,7,9,8,3,2,4,4,2,2,5,3,7,,,,,,1
"Simsek, Ahmet S","Shan, Xi",,,,,OPRE,3360,001,1,6,9,7,16,6,9,2,1,1,,,2,,,,,,1
"Simsek, Ahmet S","Shan, Xi",,,,,OPRE,3360,002,2,11,14,8,11,5,2,5,4,2,,,,,,,,,0
"Alimirzaei, Athena","Israni, Tanya R",,,,,OPRE,3360,003,16,9,,14,9,,7,3,,2,3,,,,,,,,0
"Alimirzaei, Athena","Israni, Tanya R",,,,,OPRE,3360,004,13,12,,18,9,,3,3,,2,2,,,,,,,,1
"Brussolo, Monica E","Zangeneh Madar, Zeinab",,,,,OPRE,3360,005,7,11,8,6,7,5,6,5,1,,2,2,3,,,,,1,1
"Naseri Taheri, Mohammad","Khatavkar, Shreya U",,,,,OPRE,3360,006,9,14,10,23,3,1,,1,1,,,,,,,,,,1
"Wiorkowski, John",,,,,,OPRE,6301,502,,33,11,9,12,2,3,3,,,,,,,,,,,2
"Leach, Sonia E","Chindak, Sachin",,,,,OPRE,6301,004,,20,23,8,8,5,2,3,,,,,1,,,,,,1
"Flannery, Carol","Mobini Dehkordi, Zahra",,,,,OPRE,6301,0W1,,18,,3,12,,4,5,,,,,1,,,,,,1
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6302,003,,16,1,10,8,4,1,,,,,,,,,,,,1
"Ozer, Ali O","Sul, Inki",,,,,OPRE,6302,502,,6,8,5,3,1,,,,,,,,,,,,,2
"ye, Shengqi","Shi, Lingling",,,,,OPRE,6302,0W1,,20,9,7,6,2,,2,,,,,,,,,,,4
"Ramanathan, Kannan","Wang, Wan-Jung","Zhang, Chen",,,,OPRE,6332,501,,34,22,11,11,4,1,2,,,,,2,,,,,,0
"Ramanathan, Kannan",,,,,,OPRE,6364,001,,22,10,4,1,1,,1,,,,,,,,,,,0
"Cakanyildirim, Metin","Vu, Duc D",,,,,OPRE,6366,0W1,,1,4,5,1,,,,,,,,,,,,,,0
"Parks, David",,,,,,OPRE,6367,502,,12,5,8,3,,,,,,,,,,,,,,0
"Deluke, Eugene","Subramoniam, Ramesh",,,,,OPRE,6369,501,,13,,,12,,,5,,,,,,,,,,,0
"Chen, Qi","Garg, Harsh",,,,,OPRE,6371,501,,14,3,16,1,,,,,,,,,,,,,,0
"Janakiraman, Ganesh",,,,,,OPRE,7311,001,,4,,1,,1,,,,,,,,,,,,,0
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,001,2,15,5,,12,8,3,6,3,4,4,,4,,,,,,8
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,501,,5,2,1,10,2,3,10,4,1,5,1,4,,,,,,7
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,PPA,4,25,6,9,7,2,3,4,1,,2,,,,,,,,3
"Solcher, Steven J","Nguyen, Ploysirin K",,,,,ACCT,3350,001,4,6,18,7,15,3,1,2,,,,,,,,,,,3
"Ginevich, Rostislav","Chava, Soumya",,,,,MIS,6373,501,,38,30,4,,,,,,,,,,,,,,,0
"Deluke, Eugene","Subramoniam, Ramesh",,,,,MIS,6369,501,,8,,,4,,,,,,,,,,,,,,0
"Deluke, Eugene","Thankamony, Parvathy",,,,,OPRE,3310,0W1,,11,,5,12,,3,11,,,5,,1,,,,,,1
"Sabri, Ehap H","Vardhineni, Sai Chandhar",,,,,OPRE,6370,501,,6,1,,,,,,,,,,,,,,,,0
"Katok, Elena M","Garg, Harsh",,,,,OPRE,6371,0W1,,7,10,11,4,2,,1,,,,,1,,,,,,0
"Goldman, Nathan C","Fan, Zhongwen",,,,,ACCT,3350,501,,5,5,7,7,8,5,4,1,2,,,1,,,,,,0
"Thurgood, Keith L",,,,,,MKT,3330,001,10,6,2,2,,1,,,4,,,,2,,,,,1,2
"Guler, Lale",,,,,,ACCT,6334,001,,11,4,3,1,,,,,,,,,,,,,,0
"Watson, John M",,,,,,BA,3100,001,14,15,4,5,1,,1,,,,,,,,,,,,0
"Watson, John M","Smith, Charles F",,,,,BCOM,4350,001,,2,11,2,9,3,3,,,,,,3,,,,,,0
"Reid, David",,,,,,BCOM,4350,002,,35,,,,,,,,,,,1,,,,,,0
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,4350,003,2,20,11,3,3,1,,,,,,,,,,,,,0
"Moore, Sarah E","Rosillo, Andrea G",,,,,BCOM,4350,004,5,8,12,3,5,,,2,,,,,,,,,,,0
"Moore, Sarah E","Rosillo, Andrea G",,,,,BCOM,4350,005,4,10,14,4,,1,,,,,,,,,,,,,0
"Moore, Sarah E","Rosillo, Andrea G",,,,,BCOM,4350,006,1,8,15,1,4,2,1,,,,1,,,,,,,,0
"Lookadoo, Kathryn","Chockalingam, Muthu Veerappan",,,,,BCOM,4350,011,1,7,4,6,3,6,,4,,,,,3,,,,,,0
"Betanzos, Christina L","Juarez Herrera, Pablo J",,,,,BLAW,2301,501,,15,11,10,5,18,5,11,3,,3,,3,,,,,,3
"Polze, Matthew M","Ayala, Nestor A",,,,,BLAW,4310,HON,,19,1,4,1,,,,,,,,,,,,,,0
"Miller, Toyah L","Li, Jianan",,,,,BPS,4305,008,2,3,5,13,6,11,4,2,,2,,,,,,,,,1
"Liebowitz, Stan","Nguyen, Loc H",,,,,MECO,6303,001,,13,17,5,10,,,1,,,,,,,,,,,0
"Guttery, Randall",,,,,,REAL,3305,002,,1,1,,8,1,,3,,,2,1,,,1,,,,0
"Zydorek, Hubert",,,,,,IMS,3310,007,,12,12,10,7,5,2,,,,,,,,,,,,0
"Haworth, Julie B",,,,,,MKT,3320,001,3,12,16,11,4,6,1,,,1,,,,,,,,2,0
"Amirpour, Semiramis",,,,,,MKT,3330,002,5,8,5,1,5,2,,,3,,,,,,,,,,0
"Amirpour, Semiramis",,,,,,MKT,4332,001,8,4,1,,,2,,1,,1,,1,,,,,,,0
"harrop, Jonathan","Haworth, Julie B",,,,,MKT,4334,001,6,21,6,,9,,1,,,1,,,,,,,,,0
"Wu, Fang","Qian, Kun",,,,,MKT,4380,002,,6,2,1,3,,2,,,,1,,,,,,,,0
"Gurun, Umit",,,,,,ACCT,6344,0W1,,14,12,13,6,1,1,,,,,,,,,,,,1
"Goldman, Nathan C","Fan, Zhongwen",,,,,ACCT,6350,001,,1,4,2,1,,,,,,,,1,,,,,,1
"Goldman, Nathan C","Fan, Zhongwen",,,,,ACCT,6350,501,,10,10,10,10,4,1,,,,,,,,,,,,0
"Zolton, Kathy",,,,,,ACCT,6389,501,,12,1,,,,,,,,,,,,,,,,0
"Flannery, Carol","Mobini Dehkordi, Zahra","Nagarajan, Rahul",,,,OPRE,6301,001,,46,,8,14,,2,5,,,,,1,,,,,,0
"Sethi, Awanti","Zhang, Wan Hua",,,,,OPRE,6303,0W1,,24,2,2,3,,,,,,,,1,,,,,,1
"Thompson, Luell O","Patnaik, Shreeparna",,,,,MIS,6319,501,,9,,,9,,,1,,,,,,,,,,,0
"Dogan, Kutsal","Pakala, Tharun Reddy",,,,,MIS,6320,001,,7,4,2,3,3,,1,,,,,,,,,,,1
"Mehra, Amit","Mutyala, Mehar Venkat Aditya",,,,,MIS,6344,501,,9,18,5,3,2,1,2,,,,,,,,,,,0
"Chapman, Juliann G","Andaleeb, Uruba",,,,,FIN,3330,501,5,26,,4,9,,1,1,,,2,,1,,,,,,0
"Anderson, Frank W",,,,,,FIN,4310,002,,4,4,4,2,4,2,4,3,1,,,1,,,,,,0
"Anderson, Frank W",,,,,,FIN,4310,501,,3,5,2,3,6,5,6,4,,,,1,,,,,,0
"Manzi, Jeff",,,,,,FIN,6314,001,,6,5,2,5,1,1,,,,,,,,,,,,1
"Guttery, Randall",,,,,,FIN,6321,001,,4,2,,1,1,,2,,,,,,,,,,,0
"Nakhaei, Mofid","Vardhineni, Sai Chandhar",,,,,OPRE,3333,501,18,15,,5,15,,2,3,,,,,1,,,,,,3
"DeCourcy, George A",,,,,,FIN,3305,001,5,4,4,4,6,1,1,3,2,,2,1,2,,,,,1,1
"Guttery, Randall",,,,,,FIN,3305,002,,6,,,15,,,12,1,,4,1,3,,,,,,0
"Gafford, Jerome M",,,,,,MKT,3330,501,11,5,4,,2,,1,,1,1,1,,3,,,,,,0
"Parks, David","Henry, Aaron M",,,,,OPRE,4360,501,,18,5,,,,,,,,,,,,,,,,0
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,4360,001,3,3,11,2,13,3,,2,,,,,,,,,,,0
"Kuo, Ching-Chung","Deodhar, Adneya","Guda, Harish",,,,OPRE,4340,001,,11,6,6,27,8,10,12,,,3,,,,,,,,1
"Parks, David",,,,,,OPRE,6367,501,,17,9,,2,,,,,,,,,,,,,,0
