Subject,"Catalog Number",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2302,004,10,10,3,3,11,4,5,4,1,2,1,,6,,,,,5,"Copat, Rafael","Clemens, Austin J",,,,
ACCT,2302,005,12,9,2,6,9,8,5,3,3,2,,1,,,,,,5,"Copat, Rafael","Clemens, Austin J",,,,
ACCT,2302,501,,8,,3,9,2,4,10,2,,2,,3,,,,,1,"Dai, Zhonglan","Zhang, Yang",,,,
ACCT,3322,001,6,18,,6,8,,1,3,,,,,1,,,,,2,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,
ACCT,3331,001,,16,,,15,,,15,2,,2,,5,,,,,5,"Zhang, Yuan","Chen, Hangu",,,,
ACCT,3331,002,,16,,,12,,,16,2,,4,,6,,,,,4,"Zhang, Yuan","Chen, Hangu",,,,
ACCT,3331,003,6,2,,1,2,6,1,9,1,,,1,3,,,,,3,"Zhou, Yibin","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,3331,501,,7,,,8,,3,5,3,,2,,7,,,,,2,"Zhang, Yuan","Chen, Hangu",,,,
ACCT,3332,001,1,8,1,4,8,1,3,9,2,2,9,6,1,,,,,12,"Bortz, Tiffany A","Tosto, Juliet J","Stone, Bailey K",,,
ACCT,3332,501,2,4,2,4,2,1,4,4,,,6,4,1,,,,,8,"Bortz, Tiffany A","Tosto, Juliet J","Stone, Bailey K",,,
ACCT,3332,PPA,8,14,3,2,14,7,6,7,1,2,10,1,1,,,,,0,"Bortz, Tiffany A","Stone, Bailey K",,,,
ACCT,3341,001,5,4,7,6,5,2,4,1,,,,,5,,,,,3,"Natarajan, Ramachandran","Deininger, Sarah A",,,,
ACCT,3341,002,4,7,3,3,4,1,1,1,3,,,,4,,,,,6,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,
ACCT,3341,501,1,3,2,3,3,3,3,6,4,,,1,3,,,,,4,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,
ACCT,3350,001,1,10,7,12,16,7,1,1,,,1,,3,,,,,0,"Solcher, Steven J","Figueroa, Diego A",,,,
ACCT,3350,002,1,7,10,10,18,2,1,1,,,,,3,,,,,0,"Solcher, Steven J","Figueroa, Diego A",,,,
ACCT,4301,501,,2,3,1,1,2,1,3,1,1,,1,2,,,,,1,"Hagen, John C","Sharma, Nitika",,,,
ACCT,4302,PP1,,9,13,7,3,1,,,,,,,,,,,,0,"Markov, Stanimir","Gu, Dongdi",,,,
ACCT,4302,PP2,3,18,5,6,3,3,1,,,,,,,,,,,0,"Markov, Stanimir","Gu, Dongdi",,,,
ACCT,4334,001,,14,,,20,,,8,,,2,,1,,,,,4,"Linsteadt, Chris C",,,,,
ACCT,4334,501,,5,,,6,,,2,,,1,,,,,,,0,"Linsteadt, Chris C",,,,,
ACCT,4334,PPA,,24,,,36,,,12,,,2,,2,,,,,0,"Linsteadt, Chris C",,,,,
ACCT,4336,001,2,5,3,3,2,3,1,3,,,,,,,,,,1,"Bowen, Richard M","Udolisa, Odera R",,,,
ACCT,4337,501,,1,3,2,,3,1,8,1,,,,1,,,,,0,"Ballew, Gregory E","Stone, Bailey K",,,,
ACCT,4340,001,13,10,5,3,4,3,2,1,1,1,,1,2,,,,,1,"Johnson, Jennifer","Clemens, Austin J",,,,
ACCT,4342,001,4,9,4,11,7,2,6,1,4,4,,1,1,,,,,3,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,4342,501,1,2,5,4,5,,2,1,1,1,1,,1,,,,,0,"Johnson, Jennifer","Deininger, Sarah A",,,,
ACCT,6193,SW1,,3,,5,5,,,1,,,,,,,,,,0,"Solcher, Steven J",,,,,
ACCT,6202,0W1,,14,14,10,13,6,1,,,,,,1,,,,,1,"Janakiraman, Surya","Liu, Ruichao",,,,
ACCT,6202,CH1,,13,5,3,2,1,,1,,,,,1,,,,,0,"Sadka, Gil",,,,,
ACCT,6202,GW1,,10,8,4,,,1,,,,,,,,,,,0,"Sadka, Gil",,,,,
ACCT,6291,SW1,,3,,,8,,,3,,,,,1,,,,,0,"Zolton, Kathy",,,,,
ACCT,6301,0W1,,21,11,5,9,8,2,1,,,,,1,,,,,2,"Ali, Ashiq","Liu, Ruichao",,,,
ACCT,6301,501,,4,19,16,13,2,4,2,,,,,1,,,,,8,"Ballew, Gregory E","Stone, Bailey K",,,,
ACCT,6301,GW1,,32,,,1,,,,,,,,2,,,,,0,"Barden, John P",,,,,
ACCT,6301,GW2,,12,,,1,,,,,,,,,,,,,0,"Barden, John P",,,,,
ACCT,6301,MBC,,24,19,7,3,1,,,,,,,,,,,,0,"Radhakrishnan, Suresh","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,6301,MBP,,15,11,4,2,1,,2,,,,,,,,,,0,"Radhakrishnan, Suresh","Manoj Vasudha Shivaani, Fnu",,,,
ACCT,6301,PS1,,5,1,2,1,,,,,,,,,,,,,1,"Solcher, Steven J",,,,,
ACCT,6301,XS1,,5,7,5,2,,,,,,,,,,,,,1,"Ali, Ashiq","Holstead, Cameron",,,,
ACCT,6305,001,,17,9,20,5,7,4,1,,,,,1,,,,,1,"Li, Ningzhong","Ai, Lanru",,,,
ACCT,6305,501,,10,6,13,3,4,2,1,,,,,,,,,,1,"Li, Ningzhong","Ai, Lanru",,,,
ACCT,6305,502,,7,2,7,1,2,2,,,,,,,,,,,0,"Li, Ningzhong","Ai, Lanru",,,,
ACCT,6313,001,,5,6,5,,,,,,,,,,,,,,0,"Lahiri, Atanu","Iyawe, Idahosa N",,,,
ACCT,6313,501,,5,2,3,,,,,,,,,,,,,,0,"Lahiri, Atanu","Iyawe, Idahosa N",,,,
ACCT,6320,0W1,,9,2,2,,3,2,,,,,,2,,,,,1,"Cavusoglu, Huseyin","Zhu, Yan",,,,
ACCT,6321,SS1,,5,9,5,5,5,1,,,,,,,,,,,1,"Scott, James A",,,,,
ACCT,6330,501,,14,,2,9,1,,6,,,,,2,,,,,3,"Cready, William M","Chen, Hangu",,,,
ACCT,6330,SS1,,18,,,8,2,,4,,,,,,,,,,1,"Zhang, Yuan","Chen, Hangu",,,,
ACCT,6331,501,,9,13,8,2,,,,,,,,,,,,,2,"Janakiraman, Surya","Liu, Ruichao",,,,
ACCT,6331,SS1,,4,3,4,2,,,,,,,,,,,,,0,"Janakiraman, Surya","Liu, Ruichao",,,,
ACCT,6332,501,,3,,1,8,,,5,,,,,2,,,,,6,"Karnuta, Daniel","Tosto, Juliet J",,,,
ACCT,6333,501,,12,,,13,,,8,,,,,1,,,,,5,"Zolton, Kathy","Ai, Lanru",,,,
ACCT,6333,PPA,,26,,,18,,,15,,,,,,,,,,1,"Zolton, Kathy","Ai, Lanru",,,,
ACCT,6333,SS1,,4,,,5,,,4,,,,,,,,,,0,"Zolton, Kathy","Ai, Lanru",,,,
ACCT,6334,0W1,,9,,,16,,,5,,,,,,,,,,3,"Linsteadt, Chris C",,,,,
ACCT,6335,0W1,,13,14,13,6,2,5,4,,,,,2,,,,,0,"Bortz, Tiffany A","Tosto, Juliet J",,,,
ACCT,6335,SS1,,6,,2,5,,1,,,,,,,,,,,2,"Bortz, Tiffany A",,,,,
ACCT,6336,001,,15,13,1,2,1,1,2,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACCT,6341,501,,19,,8,3,,,,,,,,,,,,,0,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,
ACCT,6344,001,,5,4,8,4,2,,1,,,,,,,,,,1,"Bowen, Richard M","Udolisa, Odera R",,,,
ACCT,6344,0W1,,16,18,13,6,2,,,,,,,,,,,,0,"Gurun, Umit","Gu, Dongdi",,,,
ACCT,6345,501,,5,6,6,3,1,,,,,,,,,,,,0,"Janakiraman, Surya","Liu, Ruichao",,,,
ACCT,6350,501,,10,9,,2,,,,,,,,,,,,,0,"Solcher, Steven J","Figueroa, Diego A",,,,
ACCT,6350,SS1,,2,,4,7,,2,,,,,,,,,,,2,"Gamino, John P",,,,,
ACCT,6353,501,,11,25,6,2,,,,,,,,1,,,,,2,"Solcher, Steven J","Figueroa, Diego A",,,,
ACCT,6354,501,,3,4,3,3,2,2,1,,,,,,,,,,0,"Pang, Wenjin","Deininger, Sarah A",,,,
ACCT,6356,501,,36,1,3,2,,,1,,,,,,,,,,0,"Gamino, John P",,,,,
ACCT,6365,501,,14,9,13,11,3,3,1,,,,,,,,,,5,"Cheng, Samuel",,,,,
ACCT,6365,SS1,,3,,1,4,4,,1,,,,,,,,,,0,"Cheng, Samuel",,,,,
ACCT,6374,PPA,,34,17,4,3,2,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,
ACCT,6377,501,,8,9,8,4,1,,,,,,,,,,,,1,"Ballew, Gregory E",,,,,
ACCT,6380,501,,6,2,7,1,1,,,,,,,,,,,,0,"Mauriello, Joseph A","Adams, Veronica L","Deokar, Shraddha V",,,
ACCT,6383,501,,21,,8,13,1,,3,,,,,1,,,,,1,"Bracy, Dana","Deininger, Sarah A",,,,
ACCT,6386,001,,15,9,6,3,3,2,,,,,,1,,,,,0,"Mauriello, Joseph A","Adams, Veronica L","Deokar, Shraddha V",,,
ACCT,6392,501,,6,2,5,5,,,,,,,,,,,,,1,"Mauriello, Joseph A","Adams, Veronica L","Deokar, Shraddha V",,,
ACN,6312,003,,8,,6,7,,,1,,,,,1,,,,,1,"Atchison, Kristin J","Batchalli Maruthy, Gayathri",,,,
ACN,6323,001,,9,,,4,,,,,,,,1,,,,,0,"Rennaker, Robert L",,,,,
ACN,6340,001,,14,8,1,1,1,2,,,,,,,,,,,2,"Kroener, Sven",,,,,
ACN,6341,0W1,,22,1,,,1,,,,,,,1,,,,,0,"Orrick, Erika D",,,,,
ACN,6345,001,,12,6,5,2,2,2,,,,,,,,,,,0,"Rodriguez, Christa M",,,,,
ACN,6346,001,,36,5,3,2,,1,,,,,,,,,,,4,"Thompson, Lucien",,,,,
ACN,6367,501,,3,7,2,,,,,,,,,,,,,,2,"Assmann, Peter",,,,,
ACN,6373,0W1,,28,,2,3,,,,,,,,,,,,,2,"Overzet, Kathryn M",,,,,
ACN,6388,001,,10,1,1,1,1,1,,,,,,1,,,,,7,"Kilgard, Michael",,,,,
ACN,6395,001,,16,,,5,,,5,,,,,1,,,,,0,"Wig, Gagandeep S",,,,,
ACN,6395,0W1,,22,6,1,1,,,,,,,,2,,,,,0,"Hooge, Kimberley O",,,,,
ACN,7372,001,,11,,2,,,,,,,,,,,,,,1,"Rodrigue, Karen M",,,,,
ACTS,4303,001,5,3,4,3,1,4,1,3,1,,,,,,,,,0,"Makhijani, Neha","Degefu, Demisew G",,,,
ACTS,4304,001,2,2,2,6,12,3,2,,2,,1,,1,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,
ACTS,4307,001,4,6,3,9,1,1,1,,,,,,1,,,,,0,"Hong, Liang",,,,,
ACTS,4308,001,6,3,,2,,3,3,,,1,3,,4,,,,,0,"Makhijani, Neha","Yang, Haopeng",,,,
ACTS,4309,001,2,,,7,5,7,2,1,,,,,1,,,,,0,"Humphreys, Natalia A","Nadhomi, Timothy",,,,
AHST,1304,001,21,23,20,7,8,13,4,4,3,1,1,4,6,,,,,0,"Alibhai, Ali Asgar H","Anderson, Linda K","Dunbar, Amanda R",,,
AHST,1304,002,20,29,20,8,8,7,3,6,3,,2,2,4,,,,,3,"Alibhai, Ali Asgar H","Dunbar, Amanda R",,,,
AHST,2331,001,27,34,28,17,22,13,5,4,2,2,,,17,,,,,7,"Rosen, Mark S","Cai, Rebecca","Sahin, Merve","Prakash, Arya",,
AHST,2331,HN1,14,7,4,,,,,,,,,,,,,,,0,"Hofland, Amy",,,,,
AHST,3318,001,,10,5,3,4,4,2,3,2,1,2,,3,,,,,2,"Terranova, Charissa",,,,,
AHST,3320,001,22,11,8,,,,,,,,,1,2,,,,,0,"Alibhai, Ali Asgar H",,,,,
AMS,2341,001,,14,9,15,17,5,3,2,,,,,3,,,,,1,"Naqvi, Syed K",,,,,
AMS,2341,HN1,,11,4,1,4,1,,,,1,,,1,,,,,1,"Smith, Erin",,,,,
AMS,3316,0W1,19,10,8,6,1,1,,1,1,,,,2,,,,,1,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,7,2,,1,,1,,,,,,,1,,,,,0,"Ross, Alyssa N",,,,,
AMS,4305,5H1,,1,2,4,1,1,,,,,,,1,,,,,0,"Cotton, Scott C",,,,,
AMS,4327,0W1,23,12,4,,1,2,,,2,,,,4,,,,,2,"Winstead, Elizabeth L",,,,,
AMS,4379,0W1,,4,1,1,1,5,3,,2,1,,,5,,,,,4,"Hudson, Jennifer M",,,,,
ARAB,1311,001,4,13,,3,1,,,2,,,,,1,,,,,0,"Anjum, Zafar",,,,,
ARHM,1100,001,26,11,2,5,7,3,2,5,3,4,2,,5,,,,,2,"Gray, Megan L",,,,,
ARHM,2340,001,8,4,,,3,2,,,,,,,2,,,,,0,"Avram, Danielle M",,,,,
ARHM,3342,001,,7,2,,6,1,,3,,,,,,,,,,2,"Riccio, Thomas P",,,,,
ARHM,3342,002,3,9,2,,3,1,1,1,,,,,3,,,,,0,"Evans, Kathryn C",,,,,
ARHM,3342,501,3,6,2,1,,,,,,,,,3,,,,,1,"Pfister, Debra H",,,,,
ARHM,6310,001,,4,6,6,3,,,2,,,,,,,,,,1,"Brown, Matthew","Hatfield, Charles D",,,,
ARTS,1301,001,44,23,10,8,2,5,2,2,2,,1,,4,,,,,2,"Wilder, James E","Alanis Perez, Alan Isaac",,,,
ARTS,1301,002,45,38,6,3,5,2,,2,,,1,1,,,,,,1,"Wilder, James E","Ivey, Tinamarie",,,,
ARTS,1316,001,5,7,3,3,,1,,,,,,,,,,,,0,"Min, Inki A",,,,,
ARTS,1316,002,3,2,7,3,1,,,1,,,,,,,,,,2,"Booker, Rebecca M",,,,,
ARTS,1316,003,2,9,8,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,
ARTS,1316,005,5,7,2,2,,,,,,,,,,,,,,2,"Travis, Audrey",,,,,
ARTS,2316,001,,3,7,3,3,,,,,,,,1,,,,,0,"Ligon, Peter A",,,,,
ARTS,2316,501,,7,4,,1,,,1,,,,,1,,,,,2,"Egan, Trey T",,,,,
ARTS,2348,001,9,4,3,,1,,,1,1,,,,,,,,,0,"Williams, Thomas E",,,,,
ARTS,2350,001,,5,,,3,1,1,1,,,,,1,,,,,4,"Copeland, Colette",,,,,
ARTS,2380,001,1,9,2,2,,2,,,,1,,,2,,,,,0,"Egan, Trey T",,,,,
ARTS,2380,501,7,5,,2,1,,1,,,,,,2,,,,,0,"Reyes, Marcela",,,,,
ARTS,2381,001,3,8,1,,,,,,,,,,,,,,,0,"Hanson, Lily",,,,,
ARTS,3311,001,5,3,,2,,2,,1,1,,,,3,,,,,1,"Copeland, Colette",,,,,
ARTS,3315,001,11,,,,,1,,,,,,,1,,,,,1,"Curry, Val",,,,,
ARTS,3341,001,,14,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,
ARTS,3363,001,1,12,1,,,2,1,1,,,1,,,,,,,0,"Tady, Lorraine T",,,,,
ARTS,3364,001,4,9,,1,,,,1,,,,,,,,,,0,"Williams, Thomas E",,,,,
ARTS,3366,501,1,7,6,3,,1,,,,,,,1,,,,,0,"Etter, Ian",,,,,
ARTS,3367,001,4,5,9,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,
ARTS,3367,002,,10,,4,3,,,,,,,,1,,,,,0,"Shi, Carle",,,,,
ARTS,3368,001,9,2,,1,1,,,,,,,,,,,,,1,"Reyes, Marcela",,,,,
ARTS,3369,001,2,5,,,1,,,2,,,,1,1,,,,,0,"Tady, Lorraine T",,,,,
ARTS,3371,001,,9,5,2,,,,,,,,,,,,,,0,"Durant, Stephanie D",,,,,
ARTS,3372,001,,10,6,,,,,,,,,,2,,,,,0,"Loving, Emily",,,,,
ARTS,3372,002,1,5,6,,3,,1,1,,,,,1,,,,,0,"Miller, Cynthia M",,,,,
ARTS,3375,001,3,6,2,3,,,,,,,,,,,,,,1,"Randall, Steven V",,,,,
ARTS,3377,001,2,6,3,2,2,,2,,,,,,,,,,,0,"Waligore, Marilyn A",,,,,
ARTS,3379,001,,5,8,1,2,1,,,,,,,1,,,,,0,"Palmer, Marcy A",,,,,
ARTS,3379,501,,8,1,1,,,,,,,,,1,,,,,1,"Loving, Emily",,,,,
ARTS,3382,001,1,8,1,,1,,,,1,,,,,,,,,1,"Tady, Lorraine T",,,,,
ARTS,3383,001,,5,8,1,1,1,,,2,,,,1,,,,,0,"Etter, Ian",,,,,
ARTS,4308,001,5,8,,1,1,,,,,,,,1,,,,,0,"Durant, Stephanie D",,,,,
ARTS,4368,001,6,10,,,,,,,,,,,,,,,,0,"Pomara, John",,,,,
ATCM,1100,001,11,1,,5,1,5,1,,1,1,3,1,9,,,,,1,"Scoggins, Angela T",,,,,
ATCM,1100,002,13,,,6,1,,,2,2,3,1,2,6,,,,,0,"Scoggins, Angela T",,,,,
ATCM,1100,003,20,6,5,,,2,3,,1,,,,,,,,,2,"Gutierrez, Alejandra",,,,,
ATCM,1100,004,16,9,3,2,2,2,1,,2,,,,3,,,,,0,"Gutierrez, Alejandra",,,,,
ATCM,1100,501,23,3,2,,2,2,,,1,,,1,5,,,,,0,"Henderson, Kelley A",,,,,
ATCM,2300,001,,251,12,19,30,,,13,,,3,1,7,,,,,7,"Balsamo, Anne","Pietsch, Samuel R","Lee, Yueh-Jung","Chowdhury, Nusrat Zahan","Martinez Ochoa, Angelica Miriam M","Haborak, Fiona K"
ATCM,2301,001,3,4,7,6,3,3,2,,1,,,,3,,,,,0,"Jones, Jazmine Q",,,,,
ATCM,2301,002,5,5,5,5,3,,,,,,1,,1,,,,,1,"Grasham, Morgan A",,,,,
ATCM,2301,003,2,6,7,4,2,2,4,,1,,,,,,,,,1,"Grasham, Morgan A",,,,,
ATCM,2301,004,4,6,5,1,4,2,,,,2,1,1,4,,,,,0,"Monjoree, Uttamasha",,,,,
ATCM,2301,005,4,4,3,3,1,2,,1,1,,,,4,,,,,2,"Trosper, Elizabeth M","Banditrat, Emily",,,,
ATCM,2301,006,4,8,5,2,1,,2,,,,,,4,,,,,1,"Trosper, Elizabeth M","Banditrat, Emily",,,,
ATCM,2301,007,19,1,2,1,,,,,,,,,4,,,,,2,"Hoggatt, Zane C",,,,,
ATCM,2301,008,11,3,6,2,,1,1,2,,,,,4,,,,,0,"Hoggatt, Zane C",,,,,
ATCM,2301,501,5,4,2,1,1,3,3,,,,,,7,,,,,2,"Nguyen, Tuoc K",,,,,
ATCM,2301,502,5,5,5,2,2,3,1,,2,1,1,,2,,,,,1,"Nguyen, Tuoc K",,,,,
ATCM,2302,001,8,7,2,,1,,1,3,3,,1,,2,,,,,1,"Beverly, Diamond E",,,,,
ATCM,2302,002,4,2,5,2,3,1,3,1,,,1,,4,,,,,4,"Bagherzadeh, Elmira",,,,,
ATCM,2302,003,7,5,2,1,,3,,2,1,1,2,,6,,,,,0,"Asgharpour, Maedeh",,,,,
ATCM,2302,004,7,9,5,2,,2,,1,1,,,,3,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,
ATCM,2302,005,3,11,2,3,6,1,1,,2,,,,1,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,
ATCM,2302,006,7,10,4,3,,,1,,,2,1,1,,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,
ATCM,2302,007,10,4,2,2,,,,3,,2,1,,6,,,,,0,"Asgharpour, Maedeh",,,,,
ATCM,2302,501,6,6,5,3,1,,1,,1,,,1,3,,,,,2,"Gonzalez, Isi J",,,,,
ATCM,2302,502,10,1,3,5,2,,1,,1,1,,2,2,,,,,0,"Gonzalez, Isi J",,,,,
ATCM,2303,002,25,27,31,25,14,12,8,3,2,,,,4,,,,,1,"Boyd, Elizabeth","Wu, Benjamin","Denner, Grace A",,,
ATCM,2310,001,86,42,35,17,15,15,3,3,8,,4,3,19,,,,,17,"Salter, Monika M","Lewis, Timothy M","Caldwell, Bryon A","McCord, Peter A","Camacho, Christopher J",
ATCM,2315,001,11,11,29,13,7,8,2,6,1,2,1,,5,,,,,2,"Veras de Souza, Christine","Mcclanahan, Sara",,,,
ATCM,2320,001,,2,6,6,6,1,1,1,,2,,,1,,,,,2,"Imaoka, Laura",,,,,
ATCM,2321,001,,8,13,2,3,,1,,1,,1,,,,,,,1,"Mulla, Ayesha",,,,,
ATCM,2321,002,,5,6,5,1,6,,1,,,1,,4,,,,,0,"Llamas Rodriguez, Juan A",,,,,
ATCM,2322,001,1,21,11,7,10,2,5,5,1,1,1,1,10,,,,,1,"Bell, Elizabeth A","Shukla, Nishanshi A","Simsek, Cansu Nur",,,
ATCM,2330,001,6,5,7,1,3,1,2,3,,1,1,,1,,,,,0,"Nielsen, Christina R","Clement, Shonte M",,,,
ATCM,2330,002,5,7,3,4,2,1,2,1,,,1,,2,,,,,1,"Nielsen, Christina R","Clement, Shonte M",,,,
ATCM,2335,501,2,1,2,,5,3,1,2,1,3,,,6,,,,,2,"Chiu, Yu-Kwong",,,,,
ATCM,2335,503,2,3,2,2,1,,2,1,1,2,2,1,5,,,,,1,"Starzer, Kenneth W",,,,,
ATCM,2340,001,,24,,,29,,,16,,,5,,5,,,,,1,"Lester, Paul","O'Neill, Cynthia M","Doust-Haghighi, Elham",,,
ATCM,2345,001,6,4,5,1,,2,,1,,,1,,4,,,,,3,"Fitzgerald, Harold E",,,,,
ATCM,2345,002,10,7,5,1,4,1,,,,,,,2,,,,,0,"Fitzgerald, Harold E",,,,,
ATCM,2345,003,12,4,1,,1,2,,,2,,,,2,,,,,3,"Fitzgerald, Harold E",,,,,
ATCM,2350,001,,17,,,5,,2,1,,,1,,3,,,,,1,"Trosper, Elizabeth M",,,,,
ATCM,2350,002,11,8,,,6,,1,,,,,,3,,,,,1,"Trosper, Elizabeth M",,,,,
ATCM,2355,001,1,3,1,1,6,,1,2,1,,,,3,,,,,3,"Marder, Amanda K",,,,,
ATCM,2360,001,21,2,5,1,5,3,3,1,1,,1,,2,,,,,0,"Cox, Norman L",,,,,
ATCM,3301,001,,,8,8,1,1,,,,,,,1,,,,,0,"Imaoka, Laura","Hitt, Katherine A",,,,
ATCM,3301,002,,9,6,,2,,1,,,,,,1,,,,,0,"Mulla, Ayesha",,,,,
ATCM,3301,003,1,4,8,2,,1,,,,2,,,,,,,,1,"Field, Jamie M",,,,,
ATCM,3301,004,2,9,5,1,,1,1,,,,,,,,,,,0,"Heaslip, Audra",,,,,
ATCM,3301,005,4,2,6,2,3,1,,,,,,,,,,,,1,"Heaslip, Audra",,,,,
ATCM,3301,006,,2,3,,,3,,3,1,1,1,1,3,,,,,1,"Heaslip, Audra",,,,,
ATCM,3301,007,1,,3,2,1,,,1,2,,,,7,,,,,1,"Heaslip, Audra",,,,,
ATCM,3301,501,4,5,2,1,1,3,,,,,,,1,,,,,1,"Rheams, David C",,,,,
ATCM,3301,502,6,3,3,,1,,2,2,,,,1,1,,,,,0,"Rheams, David C",,,,,
ATCM,3305,001,,3,4,2,6,4,3,2,,,1,,2,,,,,2,"McComber, Sean",,,,,
ATCM,3305,002,,4,4,7,1,3,4,1,1,,,1,3,,,,,1,"Caldwell, Bryon A",,,,,
ATCM,3306,001,4,2,2,1,3,2,1,3,4,1,,,7,,,,,0,"Salter, Monika M",,,,,
ATCM,3306,002,3,3,5,2,5,,1,3,,,,1,5,,,,,2,"Boyd, Elizabeth",,,,,
ATCM,3306,003,,,2,1,1,2,2,4,2,,4,1,7,,,,,4,"Johnson, Casey A",,,,,
ATCM,3307,001,2,1,8,5,6,1,4,,,1,,,,,,,,3,"McCord, Peter A",,,,,
ATCM,3307,002,,3,6,6,4,5,,,2,1,,,,,,,,3,"McCord, Peter A",,,,,
ATCM,3308,001,,2,1,5,2,1,1,2,1,1,,1,9,,,,,3,"Johnson, Casey A",,,,,
ATCM,3308,002,8,2,3,2,,,3,1,,,,2,4,,,,,4,"Camacho, Christopher J",,,,,
ATCM,3309,001,1,1,4,5,7,,,,,,1,,1,,,,,0,"Fechter, Todd A",,,,,
ATCM,3311,001,,3,2,1,3,1,1,3,1,,1,,2,,,,,1,"Johnson, Casey A",,,,,
ATCM,3311,002,1,1,7,2,2,1,1,,1,,,,2,,,,,1,"Lim, Fengjie",,,,,
ATCM,3312,101,3,3,2,4,1,2,,,,,,1,1,,,,,2,"Salter, Monika M",,,,,
ATCM,3325,001,,7,12,1,1,6,1,1,,,1,,,,,,,0,"Llamas Rodriguez, Juan A",,,,,
ATCM,3335,001,1,1,5,1,2,2,2,1,,,4,1,3,,,,,1,"Kane, Simon A",,,,,
ATCM,3336,001,1,6,10,4,4,1,1,1,,,,,2,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,002,,7,6,2,10,1,2,1,1,,,,,,,,,0,"McKinney, Mark",,,,,
ATCM,3336,003,,7,5,3,4,5,3,1,,,,,1,,,,,1,"McKinney, Mark",,,,,
ATCM,3336,501,,,2,1,15,4,,2,2,,,1,1,,,,,1,"McKinney, Mark",,,,,
ATCM,3337,001,,17,9,1,1,1,1,,,,,,1,,,,,0,"Wood, Harold G",,,,,
ATCM,3337,002,7,10,5,,1,,3,,,,,,3,,,,,1,"Wood, Harold G",,,,,
ATCM,3337,003,8,10,4,1,2,,2,,,,,,3,,,,,0,"Wood, Harold G",,,,,
ATCM,3337,501,5,11,5,2,3,1,,1,,,,,1,,,,,0,"Wood, Harold G",,,,,
