Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Sinckler, Robin",,,,,,RHET,1302,019,,,,3,1,1,3,1,,,1,,5,,,,,,4
"Field, Amanda C",,,,,,RHET,1302,020,3,6,3,2,3,1,,,,,,,1,,,,,,0
"Tehan, Terin J",,,,,,RHET,1302,021,,13,5,,,,,,,,,,,,,,,,0
"Stout, Patricia J",,,,,,RHET,1302,022,,9,1,4,2,1,,1,,,,,1,,,,,,0
"Keeth, Sara L","King, Carie S",,,,,RHET,1302,023,2,1,6,2,2,,1,,1,,,,2,,,,,,2
"Riley, Kristin N",,,,,,RHET,1302,024,3,7,3,2,,,1,1,,,,,1,,,,,,0
"Al-Habashneh, Eman Bahjat",,,,,,RHET,1302,025,,2,4,4,4,1,,,,,,2,2,,,,,,0
"Keeth, Sara L",,,,,,RHET,1302,026,,2,8,1,1,1,3,1,,,,,2,,,,,,0
"Stout, Patricia J",,,,,,RHET,1302,027,,6,4,4,1,,,,,,,,3,,,,,,1
"Al-Habashneh, Eman Bahjat",,,,,,RHET,1302,028,,,4,5,2,2,2,2,1,,,,1,,,,,,0
"Keeth, Sara L",,,,,,RHET,1302,029,1,6,,2,5,,,,,1,,,4,,,,,,0
"Riley, Kristin N",,,,,,RHET,1302,030,3,6,7,,,,,1,1,,,,1,,,,,,0
"Crawford, Rachel",,,,,,RHET,1302,031,3,4,3,1,1,1,,1,1,,,,2,,,,,,0
"Binkowski, Alex",,,,,,SPAN,1311,001,1,8,7,4,1,1,,,,,,,,,1,,,,0
"Leverone, Julia",,,,,,SPAN,1312,001,1,11,5,4,1,,1,1,,,,,,,,,,,0
"Camacho-Guardado, Lorena",,,,,,SPAN,2311,001,5,3,6,,,1,,,,,,1,1,,,,,,1
"Tady, Lorraine T",,,,,,ARTS,3369,001,1,11,,,2,1,,,,,,,,,,,,,0
"Widomski, Chris",,,,,,MUSI,1306,001,2,8,15,7,7,1,,1,,,,1,4,,,,,,1
"Widomski, Chris",,,,,,MUSI,1306,002,3,20,11,5,2,3,,,,,,,2,,,,,,0
"Hodan, Daniel M",,,,,,MUSI,2315,001,,17,,,,,,,,,,,,,,,,,1
"Healy, John E",,,,,,MUSI,2315,002,5,7,1,,,1,,,,,,,,,,,,,1
"Medrick, Mary A",,,,,,MUSI,2317,001,,15,2,,,1,,,,,,,1,,,,,,0
"Medrick, Mary A",,,,,,MUSI,2317,002,2,9,,2,,2,,,,,1,,1,,,,,,2
"Durbin, Kelly",,,,,,MUSI,2319,001,2,10,5,,1,,,,,,,,,,,,,,0
"Hughes, William K",,,,,,MUSI,2325,001,5,6,,,,1,,,,,,,1,,,,,,2
"Mcvay, Michael",,,,,,MUSI,2328,001,1,6,,2,,3,,,1,,,,,,,,,,1
"Evans, Kathryn C",,,,,,MUSI,3385,001,,14,,,4,,,,,,,,,,,,,,0
"Leek, Patricia A",,,,,,LIT,3315,001,,13,,1,1,3,,,3,,,,1,,,,,,1
"Leek, Patricia A",,,,,,LIT,3315,501,,9,5,1,2,1,1,1,1,,,,,,,,,,0
"Leek, Patricia A",,,,,,LIT,3315,002,,8,5,,1,1,,,,,,,1,,,,,,0
"Gerard, Lori A",,,,,,MUSI,2113,501,5,8,2,,,,,1,,,,,,,,,,,0
"Miranda, Jeffrey",,,,,,ARTS,3366,501,8,8,2,,,,,,,,,,,,,,,,0
"Brown-Pearn, Spencer S",,,,,,ARTS,3373,001,3,11,,,,,,,1,,,,,,,,,,0
"Channell, David",,,,,,HIST,3337,001,1,15,6,11,21,13,6,12,2,,1,,1,,,,,,1
"McCullough, Shellie K","Snyder, Sarah E",,,,,HUMA,1301,007,2,42,8,2,3,2,1,1,,1,,,1,,,,,,2
"McCullough, Shellie K","Alhashmi, Rawad Y",,,,,HUMA,1301,008,,46,8,3,4,1,3,1,,1,1,,2,,,,,,0
"Allred, Michael K",,,,,,JAPN,1311,001,15,7,4,1,,1,,,,1,,,,,,,,,0
"Kroska, Nami",,,,,,JAPN,2311,001,4,4,7,4,2,,1,,,1,,,,,,,,,0
"Saar Hambazaza, Terje",,,,,,LIT,2331,003,7,5,5,,,,,,1,,,,1,,,,,,0
"Towner, Theresa",,,,,,LIT,3300,001,,11,9,6,2,2,,,,,,,2,,,,,,0
"Brewer, Kenneth L",,,,,,LIT,3318,001,1,14,6,9,8,2,4,2,1,1,,1,,,,,,,0
"Hodan, Daniel M",,,,,,MUSI,2315,501,,11,,,2,,,,,,,,,,,,,,0
"Mcvay, Michael",,,,,,MUSI,2328,002,4,3,2,1,1,2,,,,,,,3,,,,,,1
"Salisbury, Linda J",,,,,,MUSI,1306,003,24,21,,1,,,,,,,,1,1,,,,,,0
"Ingrao, Peter J","Zhang, Qiang",,,,,HUMA,1301,009,39,10,6,4,3,2,1,,,1,1,,,,,,,,0
"Min, Inki A",,,,,,ARTS,1316,001,4,13,2,,,,,,,,,,,,,,,,0
"Cochran, Kristen N",,,,,,ARTS,1316,002,1,3,5,3,2,,2,,,,,,1,,,,,,2
"Booker, Paul D",,,,,,ARTS,1316,003,5,4,4,1,1,,1,1,1,,,,,,,,,,0
"Lacy, Mary E",,,,,,ARTS,1316,501,,3,,,15,,,,,,,,,,,,,,0
"Egan, Trey T",,,,,,ARTS,2316,501,3,9,1,,2,,,,,,,,1,,,,,,0
"Ligon, Peter A",,,,,,ARTS,2316,001,,1,8,2,1,,,1,1,,,,,,1,,,,2
"Egan, Trey T",,,,,,ARTS,2380,002,5,3,1,2,1,1,,1,1,1,,,1,,,,,,1
"Lacy, Mary E",,,,,,ARTS,2380,003,,3,1,1,7,4,,,,,,,,,,,,,1
"Carter, Rebecca S",,,,,,ARTS,2380,004,1,10,3,1,,,,1,,,,,2,,,,,,1
"Lapthisophon, Stephen M",,,,,,ARTS,3368,001,,18,,,1,,,,,,,,,,,,,,0
"Loving, Emily",,,,,,ARTS,3372,001,,14,,1,3,,,1,,,,,,,,,,,0
"Goode, Dianne H","Delin, Jacquelyn M",,,,,AHST,1304,001,23,23,8,5,10,4,3,3,1,1,1,,2,,,,,,2
"Copeland, Colette",,,,,,ARTS,3371,001,,3,,3,2,1,,,,,,,1,,1,,,,1
"Durant, Stephanie D",,,,,,ARTS,3371,002,,4,2,,1,2,1,,,,,,4,,,,,,0
"Jakobsson, Pia K",,,,,,HIST,3302,001,1,2,1,2,3,,,1,1,,1,,2,,,,,,0
"Keeth, Sara L",,,,,,RHET,1302,032,,3,4,6,2,,2,,1,,,,1,,,,,,0
"Kirk, Kristina E",,,,,,RHET,1302,033,,10,2,4,1,,,,,,,,,,,,,,1
"Tehan, Terin J",,,,,,RHET,1302,501,3,10,3,1,,2,,,,,,,,,,,,,0
"Saeidfar, Ghazal",,,,,,RHET,1302,502,1,,8,6,1,,,,,,,,1,,,,,,1
"Wilder, James E",,,,,,MUSI,3316,001,5,,,,1,1,,,,,,1,1,,,,,,1
"Durbin, Kelly",,,,,,MUSI,3324,001,2,4,1,2,,1,,,,1,,,,,,,,,0
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,003,3,6,7,6,10,8,7,4,2,4,1,,7,,,,,,2
"Vincent, Shelby D",,,,,,SPAN,1311,002,,3,2,,4,,,,,,,,1,,,,,,1
"Camacho-Guardado, Lorena",,,,,,SPAN,2312,001,8,2,6,,,1,,,,,,,,,,,,,1
"Burnett, Lora D","Mei, Kehan",,,,,HIST,1302,001,21,41,8,7,5,1,1,1,,,,,3,,,,,,0
"Palmer, Marcy A",,,,,,ARTS,3379,001,,2,10,6,1,,,,,,,,,,,,,,0
"Tady, Lorraine T",,,,,,ARTS,3363,001,1,6,4,4,1,,,,,,,,1,,,,,,0
"Cochran, Kristen N",,,,,,ARTS,2381,001,,5,5,1,2,,,,,,,,,,,,,,2
"Crawford, Rachel",,,,,,RHET,1302,034,6,2,2,,,3,1,2,,,,,3,,,,,,0
"McIntosh, Suzanne K",,,,,,RHET,1302,503,8,7,,,2,,,,,,,,,,,,,,1
"Durbin, Kelly",,,,,,MUSI,3386,001,2,4,5,1,,,,,,,,1,,,,,,,0
"Curry, Val",,,,,,ARTS,3375,001,8,8,1,,,,,,,,,,,,,,,,0
"Ozsvath, Zsuzsanna",,,,,,HUHI,6338,501,,7,1,,1,,,,,,,,,,,,,,0
"Reynolds, Clay",,,,,,HUMA,6300,501,,5,4,2,1,,,,,,,,2,,,,,,1
"Hasler, Carl",,,,,,PHIL,1301,002,,7,20,11,11,13,2,,,,,,5,,,,,,1
"Leek, Patricia A",,,,,,LIT,3315,003,,7,6,1,3,3,,,,,,,1,,,,,,0
"Hughes, William K",,,,,,MUSI,2325,002,2,7,2,,4,1,,1,,,,,,,,,,,1
"Burnett, Lora D","Landrum, Jeffrey T",,,,,HIST,1302,002,11,39,12,7,11,,3,1,3,1,,,,,,,,,0
"Conrad, Sharron W",,,,,,HIST,1301,007,,13,6,7,9,1,3,,5,,1,,4,,,,,,0
"Sengupta, Karl",,,,,,RHET,1302,035,5,12,1,1,,,,,,,,,,,,,,,0
"Kirk, Kristina E",,,,,,RHET,1302,036,,15,1,1,,,,,,,,,1,,,,,,1
"Sengupta, Karl",,,,,,RHET,1302,037,4,10,2,2,1,,,,,,,,,,,,,,0
"McIntosh, Suzanne K",,,,,,RHET,1302,504,,6,3,1,3,4,,,,,,1,,,,,,,0
"Ingrao, Peter J","Kelso, Kristen",,,,,HUMA,1301,010,24,14,5,7,5,8,3,1,,,,,,,,,,,2
"Palant, Jonathan",,,,,,MUSI,1306,004,,21,6,4,2,4,1,2,,,2,,4,,,,,,3
"Booker, Paul D",,,,,,ARTS,1316,004,4,2,4,1,1,2,1,,2,,,,,,,,,,1
"Trosper, Elizabeth M",,,,,,ARTS,2380,501,1,7,,2,3,,1,1,,,,,2,,,,,,0
"Palmer, Marcy A",,,,,,ARTS,3372,002,,,5,11,1,,,,,,,,1,,,,,,0
"Pettengill, Ryan S","Siddiqui, Farah",,,,,HIST,1301,008,2,36,8,10,12,1,6,2,,3,,,2,,,,,,3
"Starnaman, Sabrina","Thomas, Kathryn E",,,,,LIT,3316,501,21,16,7,19,9,5,3,3,3,,3,,,,,,,,0
"Prieto, Rene",,,,,,LIT,3317,001,,10,4,4,12,9,1,11,,,,,2,,,,,,2
"Herndon, Scott",,,,,,LIT,3335,001,,1,13,18,3,1,,,1,,,,,,,,,,0
"Hatfield, Charles D",,,,,,LIT,3339,501,,7,13,8,,,,,,,,,2,,,,,,0
"Evans, Kathryn C",,,,,,MUSI,3322,001,3,20,3,3,,,,,,,1,,,,,,,,0
"Gu, Ming D","Tang, Le",,,,,HUMA,1301,011,,15,4,9,5,3,9,9,3,3,1,1,1,,,,,,5
"Brewer, Kenneth L","Cook, Nina E",,,,,HUMA,1301,012,11,32,8,6,4,3,1,1,1,1,1,,,,,,,,1
"Walsh, Dennis P",,,,,,HUMA,1301,501,,14,,,20,,,8,,,1,,2,,,,,,2
"Burnett, Lora D","Dunham, Daniel C",,,,,HIST,1301,009,9,41,11,9,5,3,5,2,1,,,,3,,,,,,1
"Baker, Barbara L",,,,,,COMM,1311,001,,,4,3,4,3,3,2,,,,,4,,,,,,1
"Baker, Barbara L",,,,,,COMM,1311,002,1,3,7,4,7,1,,,1,,,,,,,,,,0
"Totusek, Patricia F",,,,,,COMM,1311,003,5,9,4,1,2,1,,,,,,,,,,,,,2
"Totusek, Patricia F",,,,,,COMM,1311,004,12,6,2,2,1,,,,1,,,,,,,,,,0
"Arnold, Bob",,,,,,COMM,1311,005,5,9,4,,2,2,,,,,,,1,,,,,,0
"Arnold, Bob",,,,,,COMM,1311,006,6,7,5,,2,1,,,,,,,,,,,,,1
"Juarez, Veronica",,,,,,COMM,1311,007,6,7,4,2,1,,1,1,1,,,,1,,,,,,0
"Saenz, Michael A",,,,,,COMM,1311,008,11,10,1,1,1,,,,,,,,,,,,,,0
"Stewart, Derek A",,,,,,COMM,1311,009,3,8,7,1,1,2,1,1,,,,,,,,,,,0
"Hanson, Jocyln Y",,,,,,COMM,1311,010,15,2,,1,,2,1,,,1,,,1,,,,,,1
"Baynham, Karen M",,,,,,COMM,1311,011,7,9,4,4,,,,,,,,,,,,,,,0
"Hanson, Jocyln Y",,,,,,COMM,1311,012,17,4,1,,1,,,,,,,,,,,,,,2
"Templeton, Allison A",,,,,,COMM,1311,013,1,11,3,,3,2,,1,2,,,,,,,,,,1
"Warren, Jason L",,,,,,COMM,1311,501,6,4,3,2,2,,2,1,,,,,,,,,,,2
"Williams, Alecia N",,,,,,COMM,1311,502,7,5,1,4,2,2,,,2,1,,,,,,,,,0
"Baynham, Karen M",,,,,,COMM,1311,0W1,3,2,6,3,,1,1,,,,,,2,,,,,,0
"Templeton, Allison A",,,,,,COMM,1311,0W2,5,4,4,3,,4,1,,,,,,,,,,,,0
"Templeton, Allison A",,,,,,COMM,1311,0W3,2,5,1,1,3,2,1,,,,,1,1,,,,,,0
"Tanner, Lari J",,,,,,COMM,1311,0W4,14,4,5,,1,,,,,,,,,,,,,,0
"Honea, Emily",,,,,,COMM,1311,0W5,5,7,4,2,2,1,1,,,,,,,,,,,,1
"Templeton, Allison A",,,,,,COMM,1311,014,2,7,2,1,5,1,1,2,,1,,,2,,,,,,0
"Stewart, Derek A",,,,,,COMM,1311,015,9,3,4,3,1,3,1,,,,,,,,,,,,0
"Juarez, Veronica",,,,,,COMM,1311,016,6,8,5,,1,,1,,,,,,,,,,,,2
"Tanner, Lari J",,,,,,COMM,1311,017,18,2,2,1,,,,,,,,,,,,,,,1
"Vazzi, Lisa",,,,,,COMM,1311,018,16,3,2,1,,,,,1,,,,,,,,,,1
"Ryan, Christopher J",,,,,,HUSL,7383,501,,5,2,1,,,,,,,,,,,,,,,0
"Shi, Carle",,,,,,ARTS,3341,001,,14,,,3,,,1,,,,,,,,,,,0
"Goode, Dianne H","Toombs, Kenady M",,,,,AHST,1304,002,23,21,6,6,8,3,6,5,3,2,,3,2,,,,,,2
"Goode, Dianne H",,,,,,AP,3340,001,,7,4,1,1,,,2,,1,2,,,,,,,,0
"Waligore, Marilyn A",,,,,,ARTS,3377,001,,8,4,3,2,,,,,,,,1,,,,,,0
"Loving, Emily",,,,,,ARTS,3379,501,,13,6,,,,,,,,,,,,,,,,0
"Zisman, Noah I",,,,,,CRWT,4354,501,3,1,,,3,2,,,1,,,,4,,,,,,1
"Saba, Monica",,,,,,DANC,1310,0H1,9,15,6,,1,,,,,,,,,,,,,,0
"Reynolds, Clay",,,,,,HUAS,6354,001,,4,3,1,,,,,,,,,1,,,,,,0
"Martinez, Manuel L",,,,,,HUAS,6381,501,,7,,,,,,,,,,,,,,,,,0
"Rodriguez, Robert X",,,,,,HUAS,6399,501,,2,1,2,1,,,,,,,,,,,,,,0
"Bambach, Charles",,,,,,HUHI,6395,001,,9,3,4,,,,,,,,,,,,,,,0
"Honea, Emily",,,,,,COMM,1311,0W6,7,4,6,1,,1,,1,1,,,,,,,,,,0
"Gonzalez, Cristina M",,,,,,SPAN,2341,001,3,5,2,2,,,1,,,,,,,,1,,,,0
"Anjum, Zafar",,,,,,HUMA,3351,001,,29,,,1,,,,,,,,,,,,,,0
"Wiesepape, Betty H",,,,,,CRWT,3307,001,,5,2,4,2,,,,,,,,,,,,,,0
"DeWitte, Debra J","Anderson, Linda K","Dunbar, Amanda R","K. Khiabani, Elham C","Christmann, Daniel W",,AHST,2331,001,67,117,125,73,32,22,4,6,3,,1,7,31,,,,,,8
"Lingo, Kathy A",,,,,,COMM,3320,001,2,9,2,,,,,,,,,,1,,,,,,0
"Goode, Dianne H",,,,,,AP,3340,002,,8,3,2,3,2,,1,,,,,1,,,,,,0
"Barnes, Ashley",,,,,,ARHM,3342,001,,10,5,3,2,2,,1,,,,,1,,,,,,0
"Wickberg, Daniel",,,,,,ARHM,3342,002,,4,8,9,3,2,2,3,4,,,,3,,,,,,1
"Curry, Val",,,,,,ARTS,3340,001,6,1,2,1,2,1,,,,,,,,,,,,,0
"Krayer, Karl","Tanner, Lari J",,,,,COMM,1311,503,16,2,1,1,,,,,,,,,1,,,,,,2
"Williams, Alecia N",,,,,,COMM,1311,504,1,3,8,3,4,1,,,1,,1,,1,,,,,,0
"Martinez, Manuel L",,,,,,CRWT,4307,001,4,8,1,1,,,,,,,,,1,,,,,,0
"Pfister, Debra H",,,,,,HIST,4344,501,14,14,4,5,3,1,,,,1,,,,,,,,,2
"Rosen, Mark S",,,,,,HUAS,6315,001,,6,5,,1,,,,,,,,,,,,,,0
"King, Carie S",,,,,,COMM,4375,001,1,2,2,1,,1,,1,,,,,1,,,,,,1
"Warren, Shilyh J",,,,,,HUAS,7360,001,,6,2,1,,1,,,,,,,1,,,,,,0
"Wickberg, Daniel",,,,,,HUHI,7305,001,,4,1,1,,,,,,,,,,,,,,,0
"Prieto, Rene",,,,,,HUSL,6350,501,,7,2,2,3,,,,,,,,1,,,,,,1
"Camacho-Guardado, Lorena",,,,,,SPAN,3365,001,5,3,2,,,,,1,,,,,,,,,,,0
"Ming, Adron",,,,,,MUSI,3118,501,,28,,,,,,,,,,,,,,,,,1
"Hustis, Gregory J",,,,,,MUSI,3120,501,,30,,,,,,1,,,,,,,,,,,1
"Gregory, Mona Y",,,,,,COMM,1311,0W7,3,5,2,2,2,,2,,,1,1,,2,,,,,,0
"Gregory, Mona Y",,,,,,COMM,1311,0W8,3,4,,2,1,1,1,,,1,,,1,,,,,,4
"Warren, Jason L",,,,,,COMM,1311,0W9,,5,2,3,1,,1,2,1,,,,1,,,,,,2
"Baker, Barbara L",,,,,,COMM,1311,5W1,,,1,4,2,,2,,1,,1,,3,,,,,,3
"Medrick, Mary A",,,,,,MUSI,3388,001,1,8,,1,4,,,,,,,,1,,,,,,0
"Stone, Winston",,,,,,MUSI,4V12,001,4,9,,,,,,,,,,,,,,,,,1
"Salisbury, Linda J",,,,,,MUSI,4V12,002,,11,,,,,,,,,,1,,,,,,,2
"Cohen, Milton",,,,,,LIT,4348,001,,3,6,4,5,2,2,2,,,,,2,,,,,,2
"Vincent, Shelby D",,,,,,LIT,4348,002,,7,3,1,2,,,1,,,,,1,,,,,,0
"Krishnaswamy, Nandini",,,,,,COMM,1311,019,12,4,2,1,3,1,,1,,,,,,,,,,,0
"Krishnaswamy, Nandini",,,,,,COMM,1311,020,5,9,3,3,,1,2,,,,,,,,,,,,1
"Schlereth, Eric R","Goldmann, Kerry",,,,,HIST,1301,011,7,17,13,12,21,9,2,2,3,,,,4,,,,,,0
"Salisbury, Linda J",,,,,,MUSI,1306,005,10,37,,2,,,,,,,,,,,,,,,0
"Waligore, Marilyn A",,,,,,HUAS,6391,501,,6,1,,,,,,,,,,,,,,,,0
"Gerard, Lori A",,,,,,MUSI,2322,001,,13,5,9,7,3,5,3,,,1,,3,,,,,,0
"Moss, Daniel J",,,,,,COMM,1311,505,4,4,,4,2,3,1,2,,1,1,,2,,,,,,0
"Skiles, Bradley W",,,,,,COMM,1311,506,10,4,2,3,2,,,,,,1,,2,,,,,,0
"Dennis, Patrick W",,,,,,HIST,3327,501,,6,8,5,4,7,2,2,,2,,,3,,,,,,4
"Petty, John E","Cochran, Tyler",,,,,FILM,2332,502,3,1,9,6,8,17,8,5,5,1,,2,5,,,,,,4
"Kroska, Nami",,,,,,JAPN,3311,501,1,3,,2,2,,1,1,,,1,,1,,,,,,0
"Norman, Susan M",,,,,,CRWT,3307,501,2,9,1,,,,,,,,,,,,,,,,0
"Wilson, Michael","Cohen, Milton","Brewer, Kenneth L","Towner, Theresa",,,HUSL,6372,001,,5,2,2,,,,,,,,,1,,,,,,0
"Kroska, Nami",,,,,,JAPN,1311,002,7,12,4,2,2,,1,2,,,,,,,,,,,0
"Skiles, Bradley W",,,,,,COMM,1311,507,10,7,2,,1,,,1,,,,,2,,,,,,0
"Krayer, Karl","Tanner, Lari J",,,,,COMM,1311,508,15,3,,1,,,,,,,,,1,,,,,,1
"Moss, Daniel J",,,,,,COMM,1311,021,8,6,1,2,5,,2,,,,,,,,,,,,0
"Ott, Lynette",,,,,,RHET,1302,038,,2,5,3,3,1,3,1,,,,,1,,,,,,0
"Balasa, Alexandra",,,,,,RHET,1302,039,,4,3,4,1,,,1,2,,1,,3,,,,,,0
"Ott, Lynette",,,,,,RHET,1302,505,,3,8,2,5,1,,,,,,,,,,,,,0
"Boyer, Kent L",,,,,,RHET,1302,506,3,7,4,,,,,,,,,,3,,,,,,2
"Vazzi, Lisa",,,,,,COMM,1311,5W2,11,3,1,1,1,,,,,,,,,,,,,,1
"Totusek, Patricia F",,,,,,COMM,1311,5W3,1,6,6,2,5,1,,,,,,,,,,,,,1
"Wilder, James E",,,,,,MUSI,1306,501,8,15,6,5,3,1,1,2,,2,,1,2,,,,,,2
